construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.017604623646490146,0.0,0.0013328,0.0,1.3328,0.0,0.7626811594202898,0.26434696213741093,0.6068840579710145,0.0,130566.36328125,1.0,7.2483826109375,0.47786524113808043,0.44921875,1.0,2246093.75,1.0,0.4
2,0.01769661443525434,0.016589299147328,0.0013288,0.012738853503185021,1.3288,0.00765990042129453,0.8822992700729928,0.6351452783186662,0.8038321167883211,0.5009922970836556,131629.35556640624,0.9916056631775575,7.2389266742578116,0.7755230825000264,0.5181796875,0.988936860177876,2246093.75,1.0,0.4029723546855119
3,0.02275643397255706,0.9290595699586421,0.0010344,0.9503184713375799,0.8754,0.8759096131750288,0.9717741935483871,0.9125042065285324,0.9455645161290323,0.8615281700609484,174177.1099609375,0.6556105798512883,7.238226492460938,0.7975636914082938,2.028048828125,0.7467143205576077,6152343.75,0.7278911564625851,0.8497432591172933
4,0.018176659620205402,0.10315897948566409,0.0012952,0.11974522292993643,1.2952,0.07200306396016867,0.6774038461538462,0.0,0.8067307692307693,0.5083658277206664,131014.29990234374,0.9964626922273335,7.231795535000001,1.0,0.83331640625,0.9383806799835941,2246093.75,1.0,0.43433372526859154
5,0.02055226260767201,0.5315669662395475,0.0011432,0.6038216560509555,1.2154,0.22481807736499415,0.9001275510204081,0.6904102922838283,0.7284256559766764,0.3091749405489648,175287.953125,0.6468383697362565,7.255937446875,0.24005102630409253,4.655990625,0.32512365492560513,12695312.5,0.272108843537415,0.4020908019013415
6,0.018420042299507167,0.14704976603566228,0.0012796,0.16942675159235665,1.2968,0.06893910379165077,0.9307692307692308,0.7853949329359166,0.8711538461538462,0.672243885147111,181223.01767578124,0.5999697973130115,7.231889121406249,0.9970540488363667,0.89795308203125,0.9280112649534509,2246093.75,1.0,0.4482876302653143
7,0.022764505280314103,0.9305151215490843,0.001036,0.9452229299363057,0.8722,0.8820375335120644,0.9808743169398907,0.9407132328390054,0.9658469945355191,0.9131223086802146,175837.14794921875,0.6425014367217741,7.234241475175781,0.9230056949950626,2.091792578125,0.7364881542002186,6152343.75,0.7278911564625851,0.8461503786795783
8,0.02270184305622994,0.9192148338296937,0.0010328,0.9554140127388538,0.8452,0.9337418613558024,0.9708333333333333,0.9095876800794833,0.9666666666666667,0.9152073732718894,176049.121875,0.6408275012140278,7.256657025312499,0.21739984201088422,6.2399675,0.07101229451760557,16601562.5,0.0,0.5900790593919123
9,0.020555770752511932,0.5321996128880155,0.0011456,0.5961783439490445,1.213,0.2294140176177708,0.9326705040990755,0.7912885969092056,0.8223692407365877,0.5481466400303981,178415.04814453132,0.6221440335343056,7.253994712138672,0.30120522472385314,4.720357178222656,0.31479757462586405,12695312.5,0.272108843537415,0.39747742474131176
10,0.02055434748282831,0.5319429453796037,0.0011448,0.5987261146496815,1.1802,0.2922252010723862,0.8167517006802721,0.4319575818404859,0.8522837706511176,0.6242425870940871,189887.247265625,0.5315492993472798,7.25470201328125,0.2789405101403926,5.03873828125,0.2637209102531738,12695312.5,0.272108843537415,0.3900672163216038
11,0.022766706587995646,0.930912097726102,0.0010352,0.9477707006369428,0.8378,0.9479126771351972,0.8541666666666666,0.5479384003974166,0.9830246913580247,0.9568185697217956,174459.96967773436,0.6533768668042134,7.23316877928711,0.9567724548069657,2.412065390625,0.6851080101017947,6152343.75,0.7278911564625851,0.8393622991403664
12,0.020850883227851932,0.5854191710774042,0.0011304,0.6445859872611469,1.1826,0.28762926081960916,0.971938775510204,0.9130143860823016,0.8892128279883382,0.7181819403205654,221049.8,0.28546194052790635,7.26356334140625,0.0,5.10769921875,0.25265777043104976,12695312.5,0.272108843537415,0.404589992004052
13,0.02314981202046734,1.0,0.00102,0.9961783439490445,0.8402,0.9433167368824206,1.0,1.0,0.9872685185185185,0.9676139272913465,224668.68745117186,0.25688397188989126,7.233274365693359,0.9534487627365023,2.47670206640625,0.6747385950716516,6152343.75,0.7278911564625851,0.8577944541949536
14,0.02270641038732394,0.9200384904461999,0.0010344,0.9503184713375799,0.8428,0.938337801608579,0.9775641025641025,0.9304520615996025,0.9775641025641025,0.9429280397022332,207721.09189453127,0.3907173283681656,7.2544120641015635,0.2880676489795838,6.30413747265625,0.06071775088733704,16601562.5,0.0,0.5860260530334067
15,0.022704242475418114,0.9196475367473139,0.0010352,0.9477707006369428,0.8106,1.0,0.890625,0.6609538002980626,1.0,1.0,236438.408984375,0.16393973491310113,7.255525661562501,0.2530133727510975,6.618558671875,0.01027635875868535,16601562.5,0.0,0.5775941909803256
16,0.02308063932252111,0.9875256360503737,0.0010188,1.0,0.8114,0.9984680199157411,1.0,1.0,1.0,1.0,257198.43769531252,0.0,7.2555958375781255,0.2508043434361081,6.682615291015625,0.0,16601562.5,0.0,0.597198731193223
