construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.01797931955736893,0.6058353055279616,0.0012784,1.0,1.2784,1.0,1.0,1.0,1.0,1.0,43522.12109375,1.0,6.9524321875,0.607227880584573,0.44921875,1.0,2246093.75,1.0,0.9211670611055923
2,0.018003062946613656,0.8322909495418626,0.0012784,1.0,1.2784,1.0,1.0,1.0,1.0,1.0,87356.6244140625,0.7507032344898781,6.943262953125,0.8331038639765658,0.5126953125,0.9897314375987362,2246093.75,1.0,0.962350764947867
3,0.018004706376232627,0.8479653719640261,0.0012784,1.0,1.2784,1.0,1.0,1.0,1.0,1.0,86957.1783203125,0.7529749750509577,6.9426291875,0.8487161199111841,2.01171875,0.7472353870458136,6152343.75,0.7278911564625851,0.8684872292111308
4,0.018020646881349443,1.0,0.00128,0.49999999999996614,1.28,0.5,1.0,1.0,1.0,1.0,87209.14365234374,0.7515419910420579,6.936487953125,1.0,0.8251953125,0.9391785150078988,2246093.75,1.0,0.7756714060031529
5,0.01793844742863075,0.21601209451862607,0.00128,0.49999999999996614,1.28,0.5,0.9999999999999999,0.0,1.0,1.0,87431.078125,0.7502797993437944,6.9682730625,0.2170019280044926,4.62890625,0.32385466034755134,12695312.5,0.272108843537415,0.372744283042739
6,0.018020463037689904,0.9982465673333474,0.00128,0.49999999999996614,1.28,0.5,1.0,1.0,1.0,1.0,131099.00810546876,0.5019303742093537,6.93655871875,0.9982567513836518,0.888671875,0.9289099526066351,2246093.75,1.0,0.7712132945093167
7,0.01801451780532309,0.9415431451486616,0.00128,0.49999999999996614,1.28,0.5,1.0,1.0,1.0,1.0,130790.06318359375,0.5036874140731663,6.938847953125,0.9418634861969958,2.0751953125,0.7369668246445498,6152343.75,0.7278911564625851,0.6830953588875455
8,0.017915799023182265,0.0,0.00128,0.49999999999996614,1.28,0.5,1.0,1.0,1.0,1.0,131662.3859375,0.4987263166600029,6.9770820625,0.0,6.19140625,0.07109004739336493,16601562.5,0.0,0.22843601895733923
9,0.017944167382637075,0.27056689522047944,0.00128,0.49999999999996614,1.28,0.5,0.9999999999999999,0.0,0.9999999999999999,0.0,131274.11826171877,0.5009344830219459,6.966051828125,0.2717200733018944,4.6923828125,0.3135860979462875,12695312.5,0.272108843537415,0.3795478182226042
10,0.017941620134532866,0.2462721871669508,0.0012816,0.0,1.2816,0.0,0.9999999999999999,0.0,1.0,1.0,131233.568359375,0.5011650995164955,6.967040828125,0.24735693255988422,5.0048828125,0.26303317535545023,12695312.5,0.272108843537415,0.15446770757557027
11,0.018017246806811795,0.9675713496004261,0.00128,0.49999999999996614,1.28,0.5,1.0,1.0,1.0,1.0,130654.81342773438,0.5044566101200656,6.937796953125,0.967753942132152,2.3876953125,0.6864139020537124,6152343.75,0.7278911564625851,0.6680798307415634
12,0.017941437899765236,0.24453409951484323,0.0012816,0.0,1.2816,0.0,1.0,1.0,1.0,1.0,175123.4328125,0.25155348268379146,6.96711159375,0.2456136839435141,5.068359375,0.2527646129541864,12695312.5,0.272108843537415,0.15001266508464323
13,0.01801706303251935,0.9658185785314124,0.00128,0.49999999999996614,1.28,0.5,1.0,1.0,1.0,1.0,174544.67788085938,0.25484499328736154,6.93786771875,0.9660106935158038,2.451171875,0.6761453396524486,6152343.75,0.7278911564625851,0.6636218515672552
14,0.017921504540414294,0.05441710810088639,0.00128,0.49999999999996614,1.28,0.5,1.0,1.0,1.0,1.0,175505.42607421876,0.24938100033815436,6.974860828125,0.0547181452974018,6.2548828125,0.060821484992101105,16601562.5,0.0,0.23521201561701097
15,0.01791896372195817,0.030183723647068582,0.0012816,0.0,1.2816,0.0,1.0,1.0,1.0,1.0,175464.876171875,0.24961161683270397,6.975849828125,0.03035500455539162,6.5673828125,0.010268562401263823,16601562.5,0.0,0.010144169689919246
16,0.01791878194714435,0.028450022863888917,0.0012816,0.0,1.2816,0.0,1.0,1.0,1.0,1.0,219354.74062499998,0.0,6.97592059375,0.028611755939043387,6.630859375,0.0,16601562.5,0.0,0.005690004572777784
