construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.017604623646490146,0.6067906099047147,0.0013328,1.0,1.3328,1.0,1.0,1.0,1.0,1.0,130566.36328125,1.0,7.2483826109375,0.6090983765686568,0.44921875,1.0,2246093.75,1.0,0.8427162439618858
2,0.01762771359735434,0.831404094630527,0.001336,0.7142857142857226,1.336,0.7142857142857086,1.0,1.0,1.0,1.0,131629.35556640624,0.9924556782609201,7.2389266742578116,0.8319430185707887,0.5181796875,0.9889614038803759,2246093.75,1.0,0.8160682043425724
3,0.01764504501971145,1.0,0.0013344,0.857142857142871,1.3344,0.8571428571428543,1.0,1.0,1.0,1.0,131014.29990234374,0.9968208819241329,7.231795535000001,1.0,0.83331640625,0.9385173831513243,2246093.75,1.0,0.93056061948741
4,0.017564774430489236,0.21914702754282558,0.001336,0.7142857142857226,1.336,0.7142857142857086,0.9999999999999999,0.0,1.0,1.0,175287.953125,0.6825997072830826,7.264723134375,0.22400716679153018,4.6605046875,0.32589830861398594,12695312.5,0.272108843537415,0.4385527584542137
5,0.01762934194054752,0.8472442253047505,0.0013344,0.857142857142871,1.3344,0.8571428571428543,1.0,1.0,1.0,1.0,174177.1099609375,0.6904836386609224,7.238226492460938,0.848443949905903,2.028048828125,0.747276237740583,6152343.75,0.7278911564625851,0.8312100805271618
6,0.017644810451007888,0.9977181721076632,0.0013376,0.5714285714285742,1.3376,0.5714285714285827,1.0,1.0,1.0,1.0,181223.01767578124,0.6404770718335507,7.231889121406249,0.9977944829895566,0.89795308203125,0.9281709727872786,2246093.75,1.0,0.8132928919719524
7,0.017570314937172843,0.27304374307379664,0.0013392,0.4285714285714258,1.3392,0.42857142857143704,0.9999999999999999,0.0,0.9999999999999999,0.0,177907.7911132813,0.6640060627535244,7.2624442186914075,0.277713549021656,4.724790228515625,0.31560810448787446,12695312.5,0.272108843537415,0.34376768955566617
8,0.017639031908176336,0.9415058982199339,0.0013376,0.5714285714285742,1.3376,0.5714285714285827,1.0,1.0,1.0,1.0,175837.14794921875,0.6787019344495434,7.234241475175781,0.9423574119313567,2.091792578125,0.737072758250469,6152343.75,0.7278911564625851,0.7525883395094988
9,0.017567880186177862,0.24935907138961869,0.0013376,0.5714285714285742,1.3376,0.5714285714285827,0.9999999999999999,0.0,1.0,1.0,200808.536328125,0.5014737543087082,7.263463167578125,0.2537003488944967,5.044380859375,0.26445114482977045,12695312.5,0.272108843537415,0.38120528609323295
10,0.017641675332541955,0.9672204942302521,0.001336,0.7142857142857226,1.336,0.7142857142857086,1.0,1.0,1.0,1.0,174459.96967773436,0.6884761126042052,7.23316877928711,0.9676372482273728,2.412065390625,0.685806601590641,6152343.75,0.7278911564625851,0.8097638037245153
11,0.017542246423748346,0.0,0.0013344,0.857142857142871,1.3344,0.8571428571428543,1.0,1.0,1.0,1.0,219977.559375,0.3654264101191822,7.2742284003124995,0.0,6.248995625,0.0716281299531228,16601562.5,0.0,0.3571827688477696
12,0.01757134231090717,0.28303778749337366,0.0013408,0.2857142857142774,1.3408,0.28571428571429136,1.0,1.0,1.0,1.0,222945.654296875,0.34436109915179103,7.2605645284374996,0.3220115298453626,5.10528070703125,0.25470288956534654,12695312.5,0.272108843537415,0.27844140719613253
13,0.017641410976309557,0.9646489004266514,0.0013408,0.2857142857142774,1.3408,0.28571428571429136,1.0,1.0,1.0,1.0,224668.68745117186,0.332132302513623,7.233274365693359,0.9651489315541792,2.47670206640625,0.6754601912265953,6152343.75,0.7278911564625851,0.6352373127016935
14,0.017547696304187597,0.05301512523776595,0.0013392,0.4285714285714258,1.3392,0.42857142857143704,1.0,1.0,1.0,1.0,222199.91269531252,0.3496538135533608,7.27197553015625,0.053092576701061225,6.313396734375,0.061319426768129646,16601562.5,0.0,0.2048985068773049
15,0.01754519711218817,0.02870358697197723,0.0013392,0.4285714285714258,1.3392,0.42857142857143704,1.0,1.0,1.0,1.0,241934.80546875,0.2095903505836642,7.2730279003125,0.028291749594526697,6.6340003125,0.010000324364276085,16601562.5,0.0,0.1849100710902187
16,0.01754499416750613,0.02672938994972415,0.001344,0.0,1.344,0.0,1.0,1.0,1.0,1.0,271466.0123046875,0.0,7.27309795328125,0.026640836599743502,6.696474900390625,0.0,16601562.5,0.0,0.01069175597988966
