construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.00040517571264852984,0.0,0.0580712,0.0,58.2596,0.0,0.5198780823822668,0.0,0.5907065015862553,0.0,175772.0026953125,0.9882549107641398,40.69996042417186,0.0,1.4329205078125,1.0,4443359.375,1.0,0.4
2,0.00040517571264852984,0.0,0.0580712,0.0,58.2596,0.0,0.5198780823822668,0.0,0.5907065015862553,0.0,175772.0026953125,0.9882549107641398,40.69996042417186,0.0,1.4329205078125,1.0,4443359.375,1.0,0.4
3,0.00040536983840779717,0.000129917417751685,0.0580372,0.0007449801484702981,58.19,0.0018908932840687137,0.7376110292804856,0.4534951205280633,0.7886761292626316,0.4836862262499312,190723.476328125,0.8874456844365228,40.69960877187499,0.0019854215060375333,1.58365625,0.9662810037265489,4443359.375,1.0,0.38706555966067774
4,0.00040536983840779717,0.000129917417751685,0.0580372,0.0007449801484702981,58.19,0.0018908932840687137,0.7376110292804856,0.4534951205280633,0.7886761292626316,0.4836862262499312,190723.476328125,0.8874456844365228,40.69960877187499,0.0019854215060375333,1.58365625,0.9662810037265489,4443359.375,1.0,0.38706555966067774
5,0.00040902180826999594,0.0025739747957860405,0.057568,0.011025706197358437,57.7656,0.013420995435774826,0.6804511408318104,0.3344422584294302,0.7280414970648502,0.33554160036953823,175748.403671875,0.9884140254676964,40.64677358364844,0.30029178809017,1.585408447265625,0.9658890440478918,4443359.375,1.0,0.3917597529049406
6,0.00040902180826999594,0.0025739747957860405,0.057568,0.011025706197358437,57.7656,0.013420995435774826,0.6804511408318104,0.3344422584294302,0.7280414970648502,0.33554160036953823,175748.403671875,0.9884140254676964,40.64677358364844,0.30029178809017,1.585408447265625,0.9658890440478918,4443359.375,1.0,0.3917597529049406
7,0.000406017066716682,0.0005630708070981746,0.0579912,0.0017528944669886954,58.1736,0.002336448598130801,0.6799501185811507,0.3333987271256614,0.7272517529387503,0.3336120702666643,233633.7568359375,0.5981262310014911,40.67777040704819,0.12528437211613805,2.6804030379570314,0.7209430346465829,7521777.34375,0.6555729160975929,0.2893076966330767
8,0.000406017066716682,0.0005630708070981746,0.0579912,0.0017528944669886954,58.1736,0.002336448598130801,0.6799501185811507,0.3333987271256614,0.7272517529387503,0.3336120702666643,233633.7568359375,0.5981262310014911,40.67777040704819,0.12528437211613805,2.6804030379570314,0.7209430346465829,7521777.34375,0.6555729160975929,0.2893076966330767
9,0.0004200238338122751,0.009937009737082128,0.056152,0.04205193826305693,56.5336,0.046891980004346856,0.6241640342639232,0.21720723019499283,0.6684683506929623,0.1899904332907323,174030.03523437498,1.0,40.61561713739063,0.4762004313789697,1.988429638671875,0.8757347790146839,4443359.375,1.0,0.37007009720677075
10,0.0013610051435850301,0.6396827085030268,0.0173472,0.8923109284205544,23.352,0.9483699195826994,0.7195701437423092,0.4159194863481208,0.8863029629853089,0.7222114754929295,225341.955546875,0.6540330996714986,40.59085276295703,0.6160195709709463,3.8078734375,0.46873231375912244,10302734.375,0.34442708390240706,0.6835656368049051
11,0.0013610051435850301,0.6396827085030268,0.0173472,0.8923109284205544,23.352,0.9483699195826994,0.7195701437423092,0.4159194863481208,0.8863029629853089,0.7222114754929295,225341.955546875,0.6540330996714986,40.59085276295703,0.6160195709709463,3.8078734375,0.46873231375912244,10302734.375,0.34442708390240706,0.6835656368049051
