construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.006423854918431504,0.0,0.0035816,0.0,7.1632,0.0,1.0,0.5,1.0,0.5,87029.17457031249,0.9991893174915014,38.917441812499995,0.0,1.42578125,1.0,4443359.375,1.0,0.4
2,0.006423854918431504,0.0,0.0035816,0.0,7.1632,0.0,1.0,0.5,1.0,0.5,87029.17457031249,0.9991893174915014,38.917441812499995,0.0,1.42578125,1.0,4443359.375,1.0,0.4
3,0.006423912221819738,0.002089580782134486,0.0035816,0.0,7.1632,0.0,1.0,0.5,1.0,0.5,130541.71851562499,0.6811870757594697,38.91709465624999,0.0020984824679304796,1.572265625,0.9667473597403634,4443359.375,1.0,0.3871168600525723
4,0.006423912221819738,0.002089580782134486,0.0035816,0.0,7.1632,0.0,1.0,0.5,1.0,0.5,130541.71851562499,0.6811870757594697,38.91709465624999,0.0020984824679304796,1.572265625,0.9667473597403634,4443359.375,1.0,0.3871168600525723
5,0.006432417133580215,0.31222307752790845,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,86992.5042578125,0.9994573147291408,38.86563865625,0.3131385800306203,1.572265625,0.9667473597403634,4443359.375,1.0,0.7158102260683938
6,0.006432417133580215,0.31222307752790845,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,86992.5042578125,0.9994573147291408,38.86563865625,0.3131385800306203,1.572265625,0.9667473597403634,4443359.375,1.0,0.7158102260683938
7,0.006430451410370351,0.2405425439869826,0.0035792,1.0,7.1584,1.0,1.0,0.5,1.0,0.5,136914.06125664062,0.6346161540667583,38.87751948437499,0.24132161137537936,2.6571484375,0.7204738722921267,7521777.34375,0.6555729160975929,0.7362980577142473
8,0.006430451410370351,0.2405425439869826,0.0035792,1.0,7.1584,1.0,1.0,0.5,1.0,0.5,136914.06125664062,0.6346161540667583,38.87751948437499,0.24132161137537936,2.6571484375,0.7204738722921267,7521777.34375,0.6555729160975929,0.7362980577142473
9,0.006440453731607707,0.6052794099626598,0.0035808,0.3333333333333333,7.1616,0.3333333333333333,1.0,0.5,1.0,0.5,86918.248125,1.0,38.81714090625,0.6062967130291272,1.962890625,0.8780736523813324,4443359.375,1.0,0.6056186762783983
10,0.006444088317989634,0.7378154098174645,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,130375.88669921874,0.6823990225818379,38.7952473125,0.7386386272082087,3.76953125,0.46795775584581417,10302734.375,0.34442708390240706,0.6014128509684853
11,0.006444088317989634,0.7378154098174645,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,130375.88669921874,0.6823990225818379,38.7952473125,0.7386386272082087,3.76953125,0.46795775584581417,10302734.375,0.34442708390240706,0.6014128509684853
12,0.00643247458982779,0.31431823235988915,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,130505.048203125,0.6814550729971092,38.8652915,0.31523706249855077,1.71875,0.9334947194807268,4443359.375,1.0,0.7029282009309352
13,0.00643247458982779,0.31431823235988915,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,130505.048203125,0.6814550729971092,38.8652915,0.31523706249855077,1.71875,0.9334947194807268,4443359.375,1.0,0.7029282009309352
14,0.006430508831506296,0.2426364184655527,0.0035792,1.0,7.1584,1.0,1.0,0.5,1.0,0.5,180426.60520195312,0.3166139123347266,38.87717232812499,0.24342009384330984,2.8036328125,0.6872212320324901,7521777.34375,0.6555729160975929,0.7234157765061067
15,0.006430508831506296,0.2426364184655527,0.0035792,1.0,7.1584,1.0,1.0,0.5,1.0,0.5,180426.60520195312,0.3166139123347266,38.87717232812499,0.24342009384330984,2.8036328125,0.6872212320324901,7521777.34375,0.6555729160975929,0.7234157765061067
16,0.006440511331516143,0.6073798034198196,0.0035808,0.3333333333333333,7.1616,0.3333333333333333,1.0,0.5,1.0,0.5,130431.373125,0.6819935117524478,38.81679375,0.6083951954970577,2.109375,0.8448210121216958,4443359.375,1.0,0.5927376988659756
17,0.006440511331516143,0.6073798034198196,0.0035808,0.3333333333333333,7.1616,0.3333333333333333,1.0,0.5,1.0,0.5,130431.373125,0.6819935117524478,38.81679375,0.6083951954970577,2.109375,0.8448210121216958,4443359.375,1.0,0.5927376988659756
18,0.006438917795294699,0.5492711510944411,0.0035808,0.3333333333333333,7.1616,0.3333333333333333,1.0,0.5,1.0,0.5,136839.43893378906,0.6351615155602134,38.826400328125,0.5503255632434374,2.8036328125,0.6872212320324901,7521777.34375,0.6555729160975929,0.5180760563652176
19,0.006438917795294699,0.5492711510944411,0.0035808,0.3333333333333333,7.1616,0.3333333333333333,1.0,0.5,1.0,0.5,136839.43893378906,0.6351615155602134,38.826400328125,0.5503255632434374,2.8036328125,0.6872212320324901,7521777.34375,0.6555729160975929,0.5180760563652176
20,0.006444145982928225,0.7399181746136684,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,173888.43064453124,0.3643967808498062,38.79490015625,0.7407371096761391,3.916015625,0.4347051155861775,10302734.375,0.34442708390240706,0.5885323478238713
21,0.006448979225922969,0.916163454141185,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,180236.63879296876,0.31800224173203173,38.765824984375,0.9164900694214163,5.0008984375,0.18843162813794082,13381152.34375,0.0,0.52527200875008
22,0.006444145982928225,0.7399181746136684,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,173888.43064453124,0.3643967808498062,38.79490015625,0.7407371096761391,3.916015625,0.4347051155861775,10302734.375,0.34442708390240706,0.5885323478238713
23,0.006448979225922969,0.916163454141185,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,180236.63879296876,0.31800224173203173,38.765824984375,0.9164900694214163,5.0008984375,0.18843162813794082,13381152.34375,0.0,0.52527200875008
24,0.006445601418261131,0.7929909473588395,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,130321.76609374999,0.6827945516018049,38.78614015625,0.7936893650914487,3.916015625,0.4347051155861775,10302734.375,0.34442708390240706,0.5991469023729056
25,0.006445601418261131,0.7929909473588395,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,130321.76609374999,0.6827945516018049,38.78614015625,0.7936893650914487,3.916015625,0.4347051155861775,10302734.375,0.34442708390240706,0.5991469023729056
26,0.006446268504754057,0.8173164045193009,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,130273.31199218749,0.6831486681741973,38.78212640625,0.8179515928509314,4.306640625,0.34603140822714656,10302734.375,0.34442708390240706,0.5685425108613854
27,0.006446745223257635,0.8347000506571834,0.0035792,1.0,7.1584,1.0,1.0,0.5,1.0,0.5,136799.1098828125,0.6354562519156328,38.779258578125,0.8352869772529938,3.1942578125,0.5985475246734591,7521777.34375,0.6555729160975929,0.8063590200008204
28,0.006440568932454873,0.6094802344468755,0.0035808,0.3333333333333333,7.1616,0.3333333333333333,1.0,0.5,1.0,0.5,130430.7920703125,0.6819977582679682,38.81644659375,0.6104936779649882,2.255859375,0.8115683718620592,4443359.375,1.0,0.579856728967532
29,0.006438975367733133,0.5513705428518766,0.0035808,0.3333333333333333,7.1616,0.3333333333333333,1.0,0.5,1.0,0.5,180351.98287910156,0.3171592738281817,38.826053171875,0.552424045711325,2.9501171875,0.6539685917728534,7521777.34375,0.6555729160975929,0.50519487861285
30,0.006438975367733133,0.5513705428518766,0.0035808,0.3333333333333333,7.1616,0.3333333333333333,1.0,0.5,1.0,0.5,180351.98287910156,0.3171592738281817,38.826053171875,0.552424045711325,2.9501171875,0.6539685917728534,7521777.34375,0.6555729160975929,0.50519487861285
31,0.006449036978427771,0.9182694120587345,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,223749.18273828126,0.0,38.765477828125,0.9185885518893468,5.1473828125,0.1551789878783042,13381152.34375,0.0,0.5123921442297352
32,0.006449036978427771,0.9182694120587345,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,223749.18273828126,0.0,38.765477828125,0.9185885518893468,5.1473828125,0.1551789878783042,13381152.34375,0.0,0.5123921442297352
33,0.006445659110282984,0.7950946997522349,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,173834.3100390625,0.3647923098697732,38.785793,0.7957878475593793,4.0625,0.40145247532654094,10302734.375,0.34442708390240706,0.5862665967477301
34,0.006445659110282984,0.7950946997522349,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,173834.3100390625,0.3647923098697732,38.785793,0.7957878475593793,4.0625,0.40145247532654094,10302734.375,0.34442708390240706,0.5862665967477301
35,0.006446326208718235,0.8194205923922209,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,173786.4369921875,0.36514217992664516,38.78177925,0.8200500753188619,4.453125,0.31277876796751,10302734.375,0.34442708390240706,0.5556622923321148
36,0.006446326208718235,0.8194205923922209,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,173786.4369921875,0.36514217992664516,38.78177925,0.8200500753188619,4.453125,0.31277876796751,10302734.375,0.34442708390240706,0.5556622923321148
37,0.006446802935756887,0.8368045497634615,0.0035792,1.0,7.1584,1.0,1.0,0.5,1.0,0.5,180312.2348828125,0.31744976366808075,38.778911421875,0.8373854597209243,3.3407421875,0.5652948844138225,7521777.34375,0.6555729160975929,0.7934788637182214
38,0.006446802935756887,0.8368045497634615,0.0035792,1.0,7.1584,1.0,1.0,0.5,1.0,0.5,180312.2348828125,0.31744976366808075,38.778911421875,0.8373854597209243,3.3407421875,0.5652948844138225,7521777.34375,0.6555729160975929,0.7934788637182214
39,0.006450494624149515,0.9714227871239338,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,180182.5181875,0.31839777075199865,38.756717828125,0.9715408073046564,5.1473828125,0.1551789878783042,13381152.34375,0.0,0.523022819242775
40,0.006450494624149515,0.9714227871239338,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,180182.5181875,0.31839777075199865,38.756717828125,0.9715408073046564,5.1473828125,0.1551789878783042,13381152.34375,0.0,0.523022819242775
41,0.006451162723922514,0.9957851937673503,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,180134.0640859375,0.318751887324391,38.752704078125,0.995803035064139,5.5380078125,0.06650528051927324,13381152.34375,0.0,0.49242581762784604
42,0.006446383913715499,0.8215248179368492,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,173785.8559375,0.36514642644216555,38.78143209375,0.8221485577867924,4.599609375,0.27952612770787333,10302734.375,0.34442708390240706,0.5427820813371859
43,0.006446860649289454,0.8389090865498297,0.0035792,1.0,7.1584,1.0,1.0,0.5,1.0,0.5,180311.653828125,0.3174540101836011,38.778564265625,0.8394839421888548,3.4872265625,0.5320422441541859,7521777.34375,0.6555729160975929,0.7805987149716404
44,0.0064505524037993004,0.97352973488933,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,223695.0621328125,0.0003955290199669284,38.756370671875,0.9736392897725868,5.2938671875,0.1219263476186676,13381152.34375,0.0,0.5101431526919997
45,0.0064505524037993004,0.97352973488933,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,223695.0621328125,0.0003955290199669284,38.756370671875,0.9736392897725868,5.2938671875,0.1219263476186676,13381152.34375,0.0,0.5101431526919997
46,0.006451220515541844,0.9978925780048694,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,223647.1890859375,0.0007453990768389457,38.752356921875,0.9979015175320696,5.6844921875,0.03325264025963662,13381152.34375,0.0,0.4795462383714952
47,0.006451220515541844,0.9978925780048694,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,223647.1890859375,0.0007453990768389457,38.752356921875,0.9979015175320696,5.6844921875,0.03325264025963662,13381152.34375,0.0,0.4795462383714952
48,0.006451278308196616,1.0,0.00358,0.6666666666666666,7.16,0.6666666666666666,1.0,0.5,1.0,0.5,223646.60803125,0.0007496455923593008,38.752009765625,1.0,5.8309765625,0.0,13381152.34375,0.0,0.4666666666666667
