construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.006280030301318284,0.0,0.0037472,0.7,7.4944,0.7000000000000333,1.0,0.5,1.0,0.5,175772.0026953125,0.9882549107641398,40.69996042417186,0.0,1.4329205078125,1.0,4443359.375,1.0,0.62000000000001
2,0.006280030301318284,0.0,0.0037472,0.7,7.4944,0.7000000000000333,1.0,0.5,1.0,0.5,175772.0026953125,0.9882549107641398,40.69996042417186,0.0,1.4329205078125,1.0,4443359.375,1.0,0.62000000000001
3,0.00628008636866348,0.002066436519885947,0.003748,0.6,7.496,0.5999999999999889,1.0,0.5,1.0,0.5,190723.476328125,0.8874456844365228,40.69960877187499,0.0019854215060375333,1.58365625,0.9662810037265489,4443359.375,1.0,0.5536694880492836
4,0.00628008636866348,0.002066436519885947,0.003748,0.6,7.496,0.5999999999999889,1.0,0.5,1.0,0.5,190723.476328125,0.8874456844365228,40.69960877187499,0.0019854215060375333,1.58365625,0.9662810037265489,4443359.375,1.0,0.5536694880492836
5,0.006288319743999005,0.30551842655011757,0.003748,0.6,7.496,0.5999999999999889,1.0,0.5,1.0,0.5,175748.403671875,0.9884140254676964,40.64677358364844,0.30029178809017,1.585408447265625,0.9658890440478918,4443359.375,1.0,0.6142814941195985
6,0.006288319743999005,0.30551842655011757,0.003748,0.6,7.496,0.5999999999999889,1.0,0.5,1.0,0.5,175748.403671875,0.9884140254676964,40.64677358364844,0.30029178809017,1.585408447265625,0.9658890440478918,4443359.375,1.0,0.6142814941195985
7,0.006284931500687505,0.18064021637730787,0.0037464,0.8,7.4928,0.8000000000000222,1.0,0.5,1.0,0.5,233633.7568359375,0.5981262310014911,40.67777040704819,0.12528437211613805,2.6804030379570314,0.7209430346465829,7521777.34375,0.6555729160975929,0.6603166502047848
8,0.006284931500687505,0.18064021637730787,0.0037464,0.8,7.4928,0.8000000000000222,1.0,0.5,1.0,0.5,233633.7568359375,0.5981262310014911,40.67777040704819,0.12528437211613805,2.6804030379570314,0.7209430346465829,7521777.34375,0.6555729160975929,0.6603166502047848
9,0.0062946303419827146,0.5381039019352388,0.003748,0.6,7.496,0.5999999999999889,1.0,0.5,1.0,0.5,174030.03523437498,1.0,40.61561713739063,0.4762004313789697,1.988429638671875,0.8757347790146839,4443359.375,1.0,0.6427677361899812
10,0.006298329913735891,0.6744565355771158,0.0037464,0.8,7.4928,0.8000000000000222,1.0,0.5,1.0,0.5,225341.955546875,0.6540330996714986,40.59085276295703,0.6160195709709463,3.8078734375,0.46873231375912244,10302734.375,0.34442708390240706,0.7086377698672544
11,0.006298329913735891,0.6744565355771158,0.0037464,0.8,7.4928,0.8000000000000222,1.0,0.5,1.0,0.5,225341.955546875,0.6540330996714986,40.59085276295703,0.6160195709709463,3.8078734375,0.46873231375912244,10302734.375,0.34442708390240706,0.7086377698672544
12,0.006288377954012473,0.30766383395674307,0.003748,0.6,7.496,0.5999999999999889,1.0,0.5,1.0,0.5,177638.856796875,0.9756677824136579,40.646408711703124,0.30235184745456145,1.73646875,0.9320974448488718,4443359.375,1.0,0.6079522557611197
13,0.006288377954012473,0.30766383395674307,0.003748,0.6,7.496,0.5999999999999889,1.0,0.5,1.0,0.5,177638.856796875,0.9756677824136579,40.646408711703124,0.30235184745456145,1.73646875,0.9320974448488718,4443359.375,1.0,0.6079522557611197
14,0.006284942918458181,0.18106103348962674,0.0037504,0.3,7.5008,0.3000000000000222,1.0,0.5,1.0,0.5,277148.53125,0.30473102125605217,40.67793703614976,0.12434358769720968,2.8296892977226564,0.6875482819246105,7521777.34375,0.6555729160975929,0.35372186308285414
15,0.006284942918458181,0.18106103348962674,0.0037504,0.3,7.5008,0.3000000000000222,1.0,0.5,1.0,0.5,277148.53125,0.30473102125605217,40.67793703614976,0.12434358769720968,2.8296892977226564,0.6875482819246105,7521777.34375,0.6555729160975929,0.35372186308285414
16,0.006294892433504504,0.5477636332867106,0.0037512,0.2,7.5024,0.20000000000003332,1.0,0.5,1.0,0.5,190439.52546874998,0.8893602025068913,40.61258506338281,0.49331945774845076,2.136650634765625,0.8425783216117971,4443359.375,1.0,0.39806839097971153
17,0.006294892433504504,0.5477636332867106,0.0037512,0.2,7.5024,0.20000000000003332,1.0,0.5,1.0,0.5,190439.52546874998,0.8893602025068913,40.61258506338281,0.49331945774845076,2.136650634765625,0.8425783216117971,4443359.375,1.0,0.39806839097971153
18,0.006293305349013613,0.4892695251620764,0.0037504,0.3,7.5008,0.3000000000000222,1.0,0.5,1.0,0.5,233657.28515625,0.5979675930086256,40.623009499264725,0.434463311002279,2.8343365940957033,0.6865086998931008,7521777.34375,0.6555729160975929,0.4151556450110421
19,0.006293305349013613,0.4892695251620764,0.0037504,0.3,7.5008,0.3000000000000222,1.0,0.5,1.0,0.5,233657.28515625,0.5979675930086256,40.623009499264725,0.434463311002279,2.8343365940957033,0.6865086998931008,7521777.34375,0.6555729160975929,0.4151556450110421
20,0.006298401059772816,0.6770787173200837,0.0037488,0.5,7.4976,0.5,1.0,0.5,1.0,0.5,239519.58298828124,0.5584414751514408,40.590279182390624,0.6192579948405331,3.95626953125,0.43553668769502174,10302734.375,0.34442708390240706,0.5225230810030211
21,0.006304393258740034,0.8979291738046097,0.0037456,0.9,7.4912,0.9000000000000111,1.0,0.5,1.0,0.5,275974.33349609375,0.3126479644306126,40.54388829266953,0.8811799869789185,5.0539560348437504,0.18998850790064392,13381152.34375,0.0,0.7575835363410541
