construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.0032669433504423306,0.0,0.0070424,0.0,7.1632,0.0,0.7502678093197643,0.0,0.9866095340117838,0.7010920312008635,87029.17457031249,0.9991893174915014,38.917441812499995,0.0,1.42578125,1.0,4443359.375,1.0,0.2
2,0.0032669433504423306,0.0,0.0070424,0.0,6.982,0.9486910994764384,0.7502678093197643,0.0,0.9996652383502946,0.9925273007800226,87029.17457031249,0.9991893174915014,38.917441812499995,0.0,1.42578125,1.0,4443359.375,1.0,0.3897382198952877
3,0.003266958171191511,4.665527701135321e-06,0.0070424,0.0,7.1632,0.0,0.833511872879843,0.33333333333333365,0.9910730226745225,0.8007280208005748,130541.71851562499,0.6811870757594697,38.91709465624999,0.0020984824679304796,1.572265625,0.9667473597403634,4443359.375,1.0,0.19335133815915315
4,0.003266958171191511,4.665527701135321e-06,0.0070424,0.0,6.982,0.9486910994764384,0.833511872879843,0.33333333333333365,0.9997768255668631,0.9950182005200151,130541.71851562499,0.6811870757594697,38.91709465624999,0.0020984824679304796,1.572265625,0.9667473597403634,4443359.375,1.0,0.38308955805444084
5,0.003284359306098318,0.005482490970298262,0.0070112,0.009019426456984118,7.118,0.23664921465968325,0.8335133189344852,0.333339123754818,0.9930255579553636,0.8443133863374039,86992.5042578125,0.9994573147291408,38.86563865625,0.3131385800306203,1.572265625,0.9667473597403634,4443359.375,1.0,0.2446761965595255
6,0.003284359306098318,0.005482490970298262,0.0070112,0.009019426456984118,6.9788,0.9654450261780119,0.8335133189344852,0.333339123754818,0.9997750179985602,0.9949778511721754,86992.5042578125,0.9994573147291408,38.86563865625,0.3131385800306203,1.572265625,0.9667473597403634,4443359.375,1.0,0.3904353588631912
7,0.006422816092029083,0.9934593398675574,0.0035832,1.0,7.1534,0.051308900523556925,1.0,1.0,0.9912868632707775,0.8055014662004323,136914.06125664062,0.6346161540667583,38.87751948437499,0.24132161137537936,2.6571484375,0.7204738722921267,7521777.34375,0.6555729160975929,0.7517402905101597
8,0.006422816092029083,0.9934593398675574,0.0035832,1.0,6.9722,1.0,1.0,1.0,1.0,1.0,136914.06125664062,0.6346161540667583,38.87751948437499,0.24132161137537936,2.6571484375,0.7204738722921267,7521777.34375,0.6555729160975929,0.9414785104054484
9,0.0033327656078212596,0.02072065058345311,0.00692,0.035383903792784444,6.9804,0.9570680628272229,0.8335183129855716,0.3333591213813664,0.9997687754347022,0.9948385018706261,86918.248125,1.0,38.81714090625,0.6062967130291272,1.962890625,0.8780736523813324,4443359.375,1.0,0.3823933840336492
10,0.0036268447876875846,0.1132959005448625,0.0063624,0.19657724329324702,7.16,0.01675392670156885,0.833555259653795,0.3335070665386277,0.9552020441542175,0.0,130375.88669921874,0.6823990225818379,38.7952473125,0.7386386272082087,3.76953125,0.46795775584581417,10302734.375,0.34442708390240706,0.18157614538607103
11,0.0036268447876875846,0.1132959005448625,0.0063624,0.19657724329324702,6.9788,0.9654450261780119,0.833555259653795,0.3335070665386277,0.999722592099423,0.9938075768114971,130375.88669921874,0.6823990225818379,38.7952473125,0.7386386272082087,3.76953125,0.46795775584581417,10302734.375,0.34442708390240706,0.37131436528135964
12,0.0032843742852867986,0.0054872063742192525,0.0070112,0.009019426456984118,7.118,0.23664921465968325,0.875134989200864,0.5000043428161137,0.9947691684665227,0.8832350397530536,130505.048203125,0.6814550729971092,38.8652915,0.31523706249855077,1.71875,0.9334947194807268,4443359.375,1.0,0.23802755466916656
13,0.0032843742852867986,0.0054872063742192525,0.0070112,0.009019426456984118,6.9788,0.9654450261780119,0.875134989200864,0.5000043428161137,0.9998312634989202,0.9962333883791322,130505.048203125,0.6814550729971092,38.8652915,0.31523706249855077,1.71875,0.9334947194807268,4443359.375,1.0,0.3837867169728323
