construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.003193287373832657,0.0,0.0073688,0.0,7.4944,0.015533980582526842,0.7502678093197643,0.0,0.9866095340117838,0.7010920312008635,175772.0026953125,0.9882549107641398,40.69996042417186,0.0,1.4329205078125,1.0,4443359.375,1.0,0.20466019417475806
2,0.003193287373832657,0.0,0.0073688,0.0,7.306,0.9300970873786399,0.7502678093197643,0.0,0.9996652383502946,0.9925273007800226,175772.0026953125,0.9882549107641398,40.69996042417186,0.0,1.4329205078125,1.0,4443359.375,1.0,0.479029126213592
3,0.0031934792019884936,6.176573225995894e-05,0.0073688,0.0,7.496,0.007766990291261266,0.833511872879843,0.33333333333333365,0.9910730226745225,0.8007280208005748,190723.476328125,0.8874456844365228,40.69960877187499,0.0019854215060375333,1.58365625,0.9662810037265489,4443359.375,1.0,0.19559865097914017
4,0.0031934792019884936,6.176573225995894e-05,0.0073688,0.0,7.3052,0.9339805825242706,0.833511872879843,0.33333333333333365,0.9997768255668631,0.9950182005200151,190723.476328125,0.8874456844365228,40.69960877187499,0.0019854215060375333,1.58365625,0.9662810037265489,4443359.375,1.0,0.473462728649043
5,0.0032105201935561643,0.005548704383278212,0.0073376,0.008620689655172504,7.448,0.2407766990291251,0.8335133189344852,0.333339123754818,0.9930255579553636,0.8443133863374039,175748.403671875,0.9884140254676964,40.64677358364844,0.30029178809017,1.585408447265625,0.9658890440478918,4443359.375,1.0,0.2691067662915233
6,0.0032105201935561643,0.005548704383278212,0.0073376,0.008620689655172504,7.3064,0.9281553398058247,0.8335133189344852,0.333339123754818,0.9997750179985602,0.9949778511721754,175748.403671875,0.9884140254676964,40.64677358364844,0.30029178809017,1.585408447265625,0.9658890440478918,4443359.375,1.0,0.47532035852453314
7,0.006276851000236423,0.9928603260791059,0.0037512,0.9995579133510167,7.4868,0.05242718446602216,1.0,1.0,0.9912868632707775,0.8055014662004323,233633.7568359375,0.5981262310014911,40.67777040704819,0.12528437211613805,2.6804030379570314,0.7209430346465829,7521777.34375,0.6555729160975929,0.6583562014902494
8,0.006276851000236423,0.9928603260791059,0.0037512,0.9995579133510167,7.2984,0.9669902912621353,1.0,1.0,1.0,1.0,233633.7568359375,0.5981262310014911,40.67777040704819,0.12528437211613805,2.6804030379570314,0.7209430346465829,7521777.34375,0.6555729160975929,0.9327251335290834
9,0.0032573748456294575,0.020635185731505634,0.0072416,0.035145888594164475,7.3016,0.9514563106796128,0.8335183129855716,0.3333591213813664,0.9997687754347022,0.9948385018706261,174030.03523437498,1.0,40.61561713739063,0.4762004313789697,1.988429638671875,0.8757347790146839,4443359.375,1.0,0.47525465273137113
10,0.0035454487457730987,0.11339057562597835,0.0066552,0.19717064544650753,7.4928,0.02330097087378811,0.833555259653795,0.3335070665386277,0.9552020441542175,0.0,225341.955546875,0.6540330996714986,40.59085276295703,0.6160195709709463,3.8078734375,0.46873231375912244,10302734.375,0.34442708390240706,0.18256606277310886
