construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.002247414944671116,0.0,0.0102272,0.0,10.2272,0.0,0.26403985507246375,0.0,0.2977807971014493,0.0,43522.12109375,1.0,6.9524321875,0.607227880584573,0.44921875,1.0,2246093.75,1.0,0.2
2,0.0022659265900605123,0.002993283953218139,0.0101552,0.009579563597658446,10.16,0.009373430787256557,0.6327554744525548,0.5009994385176867,0.6495209854014599,0.5008979914649618,87356.6244140625,0.7507032344898781,6.943262953125,0.8331038639765658,0.5126953125,0.9897314375987362,2246093.75,1.0,0.20423084262586538
3,0.004899476449540791,0.42883131015577974,0.0046832,0.7376263970196913,4.7712,0.7610333091558332,0.7842741935483871,0.70687841191067,0.8122479838709677,0.732630473000385,86957.1783203125,0.7529749750509577,6.9426291875,0.8487161199111841,2.01171875,0.7472353870458136,6152343.75,0.7278911564625851,0.684811251292976
4,0.0023832333750342174,0.02196147990118819,0.009676,0.07333688131985097,9.7324,0.0690174635942643,0.6382211538461539,0.5084260355029586,0.6408653846153847,0.4885719246893062,87209.14365234374,0.7515419910420579,6.936487953125,1.0,0.8251953125,0.9391785150078988,2246093.75,1.0,0.234934302456052
5,0.00589498306375787,0.5898020888724796,0.0038784,0.8447046301224055,4.7872,0.7588015399207722,0.5669642857142857,0.4116043956043956,0.5759486607142857,0.39612682544801214,87431.078125,0.7502797993437944,6.9682730625,0.2170019280044926,4.62890625,0.32385466034755134,12695312.5,0.272108843537415,0.6637832008569594
6,0.002383231767296541,0.02196121993427078,0.009676,0.07333688131985097,9.73,0.06935222897952344,0.7588141025641025,0.672284023668639,0.7689102564102565,0.6709150894252475,131099.00810546876,0.5019303742093537,6.93655871875,0.9982567513836518,0.888671875,0.9289099526066351,2246093.75,1.0,0.23298096759799353
7,0.004979752917539118,0.4418118020799642,0.004624,0.7455029270888772,4.7168,0.768621324555041,0.858948087431694,0.8083430012610341,0.8775614754098361,0.825640591876761,130790.06318359375,0.5036874140731663,6.938847953125,0.9418634861969958,2.0751953125,0.7369668246445498,6152343.75,0.7278911564625851,0.6899930008380782
8,0.006992293290119842,0.7672342416163368,0.0032624,0.9266631186801491,3.5552,0.9306477710204765,0.9375,0.9150769230769231,0.9434895833333333,0.9195259593679457,131662.3859375,0.4987263166600029,6.9770820625,0.0,6.19140625,0.07109004739336493,16601562.5,0.0,0.724858124712128
9,0.006007978095497641,0.6080730857604048,0.0038064,0.8542841937200639,4.72,0.7681749707080288,0.7177197802197802,0.6164463229078614,0.7233287545787546,0.6060044437987037,131274.11826171877,0.5009344830219459,6.966051828125,0.2717200733018944,4.6923828125,0.3135860979462875,12695312.5,0.272108843537415,0.6710695860697662
10,0.006886118198404383,0.7500660109389387,0.0033272,0.9180415114422565,4.2924,0.8278190035150366,0.7738095238095238,0.6926593406593406,0.7654761904761904,0.6660247846316855,131233.568359375,0.5011650995164955,6.967040828125,0.24735693255988422,5.0048828125,0.26303317535545023,12695312.5,0.272108843537415,0.7263779917460658
11,0.005572366572869109,0.5376358581075993,0.004132,0.8109632783395423,4.2764,0.8300507727500976,0.8811728395061729,0.8385413105413105,0.8898148148148148,0.8430900426385755,130654.81342773438,0.5044566101200656,6.937796953125,0.967753942132152,2.3876953125,0.6864139020537124,6152343.75,0.7278911564625851,0.7371141673591542
12,0.006886104775996335,0.7500638405711632,0.0033272,0.9180415114422565,4.29,0.8281537689002957,0.8303571428571429,0.7694945054945056,0.8303571428571429,0.7584189431980466,175123.4328125,0.25155348268379146,6.96711159375,0.2456136839435141,5.068359375,0.2527646129541864,12695312.5,0.272108843537415,0.7244242748078357
13,0.00557235778343308,0.5376344368791092,0.004132,0.8109632783395423,4.274,0.8303855381353568,0.9108796296296297,0.878905982905983,0.9236111111111112,0.8912178867032141,174544.67788085938,0.25484499328736154,6.93786771875,0.9660106935158038,2.451171875,0.6761453396524486,6152343.75,0.7278911564625851,0.7351606002487813
14,0.0071518392559117,0.7930324010538019,0.0031904,0.9362426822778075,3.488,0.9400212018077331,0.9579326923076923,0.9428402366863905,0.962139423076923,0.9460843896509809,175505.42607421876,0.24938100033815436,6.974860828125,0.0547181452974018,6.2548828125,0.060821484992101105,16601562.5,0.0,0.7336499424348428
15,0.008431808299499315,1.0,0.0027112,1.0,3.0604,0.9996652346147409,1.0,1.0,0.99375,0.9910996452757174,175464.876171875,0.24961161683270397,6.975849828125,0.03035500455539162,6.5673828125,0.010268562401263823,16601562.5,0.0,0.801953282864675
16,0.008431788175108175,0.9999967459393372,0.0027112,1.0,3.058,1.0,1.0,1.0,1.0,1.0,219354.74062499998,0.0,6.97592059375,0.028611755939043387,6.630859375,0.0,16601562.5,0.0,0.7999993491878674
