data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
10,10MBps,fork_real,1,0.003259,39.045762,306.866445,1.425781,0.750268,0.986610,2,453.162972,379.289393,3290.646359,1241.427201,4477
10,10MBps,fork_real,2,0.003259,39.045762,306.866445,1.425781,0.750268,0.999665,2,453.162972,379.289393,3290.646359,1241.427201,4477
10,10MBps,fork_real,3,0.003258,39.058599,306.917791,1.572266,0.833512,0.991073,3,467.498953,457.070504,3347.990284,1553.204319,4477
10,10MBps,fork_real,4,0.003258,39.058599,306.917791,1.572266,0.833512,0.999777,3,467.498953,457.070504,3347.990284,1553.204319,4477
10,10MBps,fork_real,5,0.003276,39.007143,305.285496,1.572266,0.833513,0.993026,3,410.215154,435.334627,2866.475698,1486.502256,4475
10,10MBps,fork_real,6,0.003276,39.007143,305.285496,1.572266,0.833513,0.999775,3,410.215154,435.334627,2866.475698,1486.502256,4475
10,10MBps,fork_real,7,0.006375,39.116663,156.873165,2.657148,1.000000,0.991287,3,532.703223,2104.277429,2406.308463,16691.012212,4474
10,10MBps,fork_real,8,0.006375,39.116663,156.873165,2.657148,1.000000,1.000000,3,532.703223,2104.277429,2406.308463,16691.012212,4474
10,10MBps,fork_real,9,0.003323,38.993801,300.951104,1.962891,0.833518,0.999769,3,395.220132,561.620031,2492.296693,2001.607149,4476
10,10MBps,fork_real,10,0.003604,39.134505,277.500658,3.769531,0.833555,0.955202,3,552.519693,533.133014,3106.881006,1698.156823,4475
10,10MBps,fork_real,11,0.003604,39.134505,277.500658,3.769531,0.833555,0.999723,3,552.519693,533.133014,3106.881006,1698.156823,4475
10,10MBps,fork_real,12,0.003275,39.019979,305.336841,1.718750,0.875135,0.994769,4,424.557542,505.796849,2923.845251,1769.197271,4475
10,10MBps,fork_real,13,0.003275,39.019979,305.336841,1.718750,0.875135,0.999831,4,424.557542,505.796849,2923.845251,1769.197271,4475
10,10MBps,fork_real,14,0.006372,39.129499,156.924511,2.803633,1.000000,0.993465,4,547.048817,2119.150155,2463.690839,16720.146126,4474
10,10MBps,fork_real,15,0.006372,39.129499,156.924511,2.803633,1.000000,1.000000,4,547.048817,2119.150155,2463.690839,16720.146126,4474
10,10MBps,fork_real,16,0.003322,39.006637,301.002450,2.109375,0.875139,0.999827,4,409.559316,618.180096,2549.653429,2229.244096,4476
10,10MBps,fork_real,17,0.003322,39.006637,301.002450,2.109375,0.875139,0.999827,4,409.559316,618.180096,2549.653429,2229.244096,4476
10,10MBps,fork_real,18,0.006381,39.078727,156.721423,2.803633,1.000000,0.994932,4,490.088563,2115.871569,2235.726723,16714.479982,4476
10,10MBps,fork_real,19,0.006381,39.078727,156.721423,2.803633,1.000000,1.000000,4,490.088563,2115.871569,2235.726723,16714.479982,4476
10,10MBps,fork_real,20,0.003603,39.147342,277.552004,3.916016,0.875166,0.966402,4,566.862081,588.610346,3164.250559,1943.326161,4475
10,10MBps,fork_real,21,0.006358,39.215906,157.270137,5.000898,1.000000,0.966610,4,643.470216,2131.186960,2849.314874,16736.873531,4475
10,10MBps,fork_real,22,0.003603,39.147342,277.552004,3.916016,0.875166,0.999792,4,566.862081,588.610346,3164.250559,1943.326161,4475
10,10MBps,fork_real,23,0.006358,39.215906,157.270137,5.000898,1.000000,1.000000,4,643.470216,2131.186960,2849.314874,16736.873531,4475
10,10MBps,fork_real,24,0.003603,39.138582,277.516964,3.916016,0.875166,0.973006,4,557.074372,551.271958,3125.099721,1779.261505,4475
10,10MBps,fork_real,25,0.003603,39.138582,277.516964,3.916016,0.875166,0.999792,4,557.074372,551.271958,3125.099721,1779.261505,4475
10,10MBps,fork_real,26,0.003602,39.169724,277.641534,4.306641,0.875166,0.999792,4,591.870461,623.511311,3264.284078,2067.346935,4475
10,10MBps,fork_real,27,0.006383,39.066742,156.673481,3.194258,1.000000,1.000000,4,476.913032,2145.886392,2183.147701,16779.225079,4474
10,10MBps,fork_real,28,0.003322,39.019474,301.053795,2.255859,0.900111,0.999861,5,423.898500,669.675209,2607.010165,2434.347189,4476
10,10MBps,fork_real,29,0.006379,39.091564,156.772768,2.950117,1.000000,0.995946,5,504.427747,2130.943638,2293.083459,16744.144581,4476
10,10MBps,fork_real,30,0.006379,39.091564,156.772768,2.950117,1.000000,1.000000,5,504.427747,2130.943638,2293.083459,16744.144581,4476
10,10MBps,fork_real,31,0.006356,39.228742,157.321483,5.147383,1.000000,0.973288,5,657.812605,2145.129299,2906.684427,16764.405003,4475
10,10MBps,fork_real,32,0.006356,39.228742,157.321483,5.147383,1.000000,1.000000,5,657.812605,2145.129299,2906.684427,16764.405003,4475
10,10MBps,fork_real,33,0.003603,39.151418,277.568310,4.062500,0.900133,0.978405,5,571.416760,604.980513,3182.469274,2014.065692,4475
10,10MBps,fork_real,34,0.003603,39.151418,277.568310,4.062500,0.900133,0.999834,5,571.416760,604.980513,3182.469274,2014.065692,4475
10,10MBps,fork_real,35,0.003601,39.182561,277.692880,4.453125,0.900133,0.999834,5,606.212849,670.722493,3321.653631,2269.061259,4475
10,10MBps,fork_real,36,0.003601,39.182561,277.692880,4.453125,0.900133,0.999834,5,606.212849,670.722493,3321.653631,2269.061259,4475
10,10MBps,fork_real,37,0.006381,39.079578,156.724826,3.340742,1.000000,1.000000,5,491.258626,2160.843199,2240.530077,16808.968107,4474
10,10MBps,fork_real,38,0.006381,39.079578,156.724826,3.340742,1.000000,1.000000,5,491.258626,2160.843199,2240.530077,16808.968107,4474
10,10MBps,fork_real,39,0.006358,39.219982,157.286443,5.147383,1.000000,0.978571,5,648.024895,2135.602756,2867.533589,16745.577257,4475
10,10MBps,fork_real,40,0.006358,39.219982,157.286443,5.147383,1.000000,1.000000,5,648.024895,2135.602756,2867.533589,16745.577257,4475
10,10MBps,fork_real,41,0.006353,39.251125,157.411013,5.538008,1.000000,1.000000,5,682.820985,2153.911293,3006.717947,16780.769466,4475
10,10MBps,fork_real,42,0.003600,39.195397,277.744226,4.599609,0.916778,0.999861,6,620.555237,714.534444,3379.023184,2452.910647,4475
10,10MBps,fork_real,43,0.006379,39.092415,156.776172,3.487227,1.000000,1.000000,6,505.604220,2175.602577,2297.912453,16838.463006,4474
10,10MBps,fork_real,44,0.006356,39.232819,157.337788,5.293867,1.000000,0.982143,6,662.367284,2149.486056,2924.903142,16773.032114,4475
10,10MBps,fork_real,45,0.006356,39.232819,157.337788,5.293867,1.000000,1.000000,6,662.367284,2149.486056,2924.903142,16773.032114,4475
10,10MBps,fork_real,46,0.006351,39.263961,157.462358,5.684492,1.000000,1.000000,6,697.163373,2167.447043,3064.087500,16807.691663,4475
10,10MBps,fork_real,47,0.006351,39.263961,157.462358,5.684492,1.000000,1.000000,6,697.163373,2167.447043,3064.087500,16807.691663,4475
10,10MBps,fork_real,48,0.006349,39.276798,157.513704,5.830977,1.000000,1.000000,7,711.505761,2180.804442,3121.457053,16834.375254,4475
10,10MBps,fork_homo,1,0.006403,39.045762,156.183049,1.425781,1.000000,1.000000,2,453.162972,379.289393,1812.651887,1517.157571,4477
10,10MBps,fork_homo,2,0.006403,39.045762,156.183049,1.425781,1.000000,1.000000,2,453.162972,379.289393,1812.651887,1517.157571,4477
10,10MBps,fork_homo,3,0.006401,39.058599,156.234394,1.572266,1.000000,1.000000,3,467.498953,457.070504,1869.995812,1828.282017,4477
10,10MBps,fork_homo,4,0.006401,39.058599,156.234394,1.572266,1.000000,1.000000,3,467.498953,457.070504,1869.995812,1828.282017,4477
10,10MBps,fork_homo,5,0.006409,39.007143,156.028570,1.572266,1.000000,1.000000,3,410.215154,435.334627,1640.860615,1741.338508,4475
10,10MBps,fork_homo,6,0.006409,39.007143,156.028570,1.572266,1.000000,1.000000,3,410.215154,435.334627,1640.860615,1741.338508,4475
10,10MBps,fork_homo,7,0.006391,39.116663,156.466651,2.657148,1.000000,1.000000,3,532.703223,2104.277429,2130.812891,8417.109717,4474
10,10MBps,fork_homo,8,0.006391,39.116663,156.466651,2.657148,1.000000,1.000000,3,532.703223,2104.277429,2130.812891,8417.109717,4474
10,10MBps,fork_homo,9,0.006411,38.993801,155.975204,1.962891,1.000000,1.000000,3,395.220132,561.620031,1580.880529,2246.480126,4476
10,10MBps,fork_homo,10,0.006388,39.134505,156.538020,3.769531,1.000000,1.000000,3,552.519693,533.133014,2210.078771,2132.532055,4475
10,10MBps,fork_homo,11,0.006388,39.134505,156.538020,3.769531,1.000000,1.000000,3,552.519693,533.133014,2210.078771,2132.532055,4475
10,10MBps,fork_homo,12,0.006407,39.019979,156.079916,1.718750,1.000000,1.000000,4,424.557542,505.796849,1698.230168,2023.187396,4475
