data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
10,10MBps,case1_real,1,0.017333,7.430674,57.694383,0.449219,0.762681,0.606884,1,563.693704,68.695207,4509.549632,549.561654,170
10,10MBps,case1_real,2,0.017411,7.426742,57.435388,0.512695,0.882299,0.803832,2,536.018180,453.029940,4113.628725,1726.109712,172
10,10MBps,case1_real,3,0.017842,7.447188,56.047864,0.825195,0.677404,0.806731,2,661.104686,1004.196601,4209.963222,3649.979983,171
10,10MBps,case1_real,4,0.019353,7.844226,51.672103,4.674047,0.900128,0.728426,2,2899.561773,1696.870988,16959.037791,4078.355160,172
10,10MBps,case1_real,5,0.021960,7.568457,45.536529,2.028049,0.971774,0.945565,2,1346.329239,524.631816,7413.935376,1025.035704,171
10,10MBps,case1_real,6,0.018089,7.453056,55.282364,0.888672,0.930769,0.871154,3,687.378946,1123.427964,3782.680410,2304.162344,173
10,10MBps,case1_real,7,0.019348,7.847748,51.685962,4.738679,0.932671,0.822369,3,2902.838483,1732.946242,16941.157402,4336.982866,173
10,10MBps,case1_real,8,0.021957,7.570343,45.544357,2.091793,0.980874,0.965847,3,1334.375239,642.271373,7331.143195,1888.681936,174
10,10MBps,case1_real,9,0.019303,7.878890,51.806547,5.061309,0.816752,0.852284,3,3077.084515,2020.050706,17638.141528,5345.716334,173
10,10MBps,case1_real,10,0.021904,7.597581,45.652933,2.406444,0.854167,0.983025,3,1498.989242,958.606852,8001.123154,2995.479398,173
10,10MBps,case1_real,11,0.021181,7.995970,47.212972,6.251887,0.970833,0.966667,3,3753.359059,3692.057864,17018.602421,13266.400568,173
10,10MBps,case1_real,12,0.019592,7.884698,51.040687,5.124785,0.971939,0.889213,4,3075.104442,2068.050295,17060.219911,5801.716289,175
10,10MBps,case1_real,13,0.022278,7.603449,44.887313,2.469921,1.000000,0.987269,4,1506.777245,1068.416817,7491.899464,2109.998288,176
10,10MBps,case1_real,14,0.021174,7.999612,47.227311,6.316520,0.977564,0.977564,4,3730.957427,3698.324998,16906.079710,13327.616723,175
10,10MBps,case1_real,15,0.021120,8.030694,47.347656,6.639149,0.890625,1.000000,4,3902.869219,3807.707559,17593.726875,13712.038057,175
10,10MBps,case1_real,16,0.021468,8.036502,46.581796,6.702626,1.000000,1.000000,5,3891.580619,3815.549306,17022.837306,13835.061545,177
10,10MBps,case2_homo,1,0.017333,7.430674,57.694383,0.449219,1.000000,1.000000,1,563.693704,68.695207,4509.549632,549.561654,170
10,10MBps,case2_homo,2,0.017341,7.426742,57.665405,0.512695,1.000000,1.000000,2,536.018180,453.029940,4288.145440,3624.239517,172
10,10MBps,case2_homo,3,0.017291,7.447188,57.832351,0.825195,1.000000,1.000000,2,661.104686,1004.196601,5288.837491,8033.572808,171
10,10MBps,case2_homo,4,0.016416,7.844226,60.917746,4.674047,1.000000,1.000000,2,2899.561773,1696.870988,23196.494186,13574.967904,172
10,10MBps,case2_homo,5,0.017016,7.568457,58.769716,2.028049,1.000000,1.000000,2,1346.329239,524.631816,10770.633909,4197.054530,171
10,10MBps,case2_homo,6,0.017277,7.453056,57.879292,0.888672,1.000000,1.000000,3,687.378946,1123.427964,5499.031566,8987.423708,173
10,10MBps,case2_homo,7,0.016408,7.847748,60.945464,4.738679,1.000000,1.000000,3,2902.838483,1732.946242,23222.707867,13863.569939,173
10,10MBps,case2_homo,8,0.017011,7.570343,58.785371,2.091793,1.000000,1.000000,3,1334.375239,642.271373,10675.001908,5138.170986,174
10,10MBps,case2_homo,9,0.016343,7.878890,61.186634,5.061309,1.000000,1.000000,3,3077.084515,2020.050706,24616.676120,16160.405646,173
10,10MBps,case2_homo,10,0.016948,7.597581,59.002524,2.406444,1.000000,1.000000,3,1498.989242,958.606852,11991.913938,7668.854817,173
10,10MBps,case2_homo,11,0.016097,7.995970,62.122601,6.251887,1.000000,1.000000,3,3753.359059,3692.057864,30026.872471,29536.462908,173
10,10MBps,case2_homo,12,0.016331,7.884698,61.233095,5.124785,1.000000,1.000000,4,3075.104442,2068.050295,24600.835536,16544.402364,175
10,10MBps,case2_homo,13,0.016935,7.603449,59.049465,2.469921,1.000000,1.000000,4,1506.777245,1068.416817,12054.217962,8547.334536,176
10,10MBps,case2_homo,14,0.016090,7.999612,62.151279,6.316520,1.000000,1.000000,4,3730.957427,3698.324998,29847.659420,29586.599986,175
10,10MBps,case2_homo,15,0.016028,8.030694,62.391969,6.639149,1.000000,1.000000,4,3902.869219,3807.707559,31222.953750,30461.660475,175
10,10MBps,case2_homo,16,0.016016,8.036502,62.438430,6.702626,1.000000,1.000000,5,3891.580619,3815.549306,31132.644951,30524.394447,177
10,10MBps,case3_hetero,1,0.002167,7.430674,461.555068,0.449219,0.264040,0.297781,1,563.693704,68.695207,36076.397059,4396.493229,170
10,10MBps,case3_hetero,2,0.002184,7.426742,457.872987,0.512695,0.632755,0.649521,2,536.018180,453.029940,31687.412791,5081.197685,172
10,10MBps,case3_hetero,3,0.002294,7.447188,435.891497,0.825195,0.638221,0.640865,2,661.104686,1004.196601,26127.585892,3866.587670,171
10,10MBps,case3_hetero,4,0.004635,7.568457,215.768901,2.028049,0.784274,0.812248,2,1346.329239,524.631816,54214.331140,60802.116993,171
