data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
10,10MBps,case1_real,1,0.017503,7.290533,57.133581,0.449219,0.762681,0.606884,1,569.255655,57.579400,4554.045243,460.635202,833
10,10MBps,case1_real,2,0.017587,7.287854,56.859620,0.518180,0.882299,0.803832,2,549.549922,478.846941,4203.368685,1774.024331,835
10,10MBps,case1_real,3,0.022237,7.426948,44.970494,2.028049,0.971774,0.945565,2,1369.696042,512.546323,7522.104012,793.239623,834
10,10MBps,case1_real,4,0.018032,7.309249,55.457281,0.833316,0.677404,0.806731,2,678.210076,1043.852783,4297.522632,3795.811794,834
10,10MBps,case1_real,5,0.019561,7.687416,51.122856,4.655991,0.900128,0.728426,2,2959.279058,1685.263658,17302.700689,3648.785950,834
10,10MBps,case1_real,6,0.018291,7.315262,54.672573,0.897953,0.930769,0.871154,3,711.935411,1175.372760,3883.966255,2372.345775,836
10,10MBps,case1_real,7,0.022233,7.428714,44.977841,2.091793,0.980874,0.965847,3,1377.418011,627.456562,7548.103565,1617.917705,836
10,10MBps,case1_real,8,0.021454,7.837051,46.611853,6.239967,0.970833,0.966667,3,3890.886052,3768.375203,17611.775879,13500.228089,832
10,10MBps,case1_real,9,0.019555,7.691355,51.137742,4.720357,0.932671,0.822369,3,2969.984178,1718.327314,17325.931259,3856.079622,837
10,10MBps,case1_real,10,0.019510,7.721286,51.255807,5.038738,0.816752,0.852284,3,3150.989277,2031.277472,18056.466003,5066.077136,836
10,10MBps,case1_real,11,0.022178,7.457178,45.088916,2.412065,0.854167,0.983025,3,1545.342288,967.953383,8222.241906,2924.890304,835
10,10MBps,case1_real,12,0.019798,7.736999,50.509926,5.107699,0.971939,0.889213,4,3178.068390,2061.023380,17615.496815,5337.792563,839
10,10MBps,case1_real,13,0.022571,7.463202,44.304232,2.476702,1.000000,0.987269,4,1575.145121,1085.877430,7790.637118,1790.830152,838
10,10MBps,case1_real,14,0.021447,7.840647,46.626101,6.304137,0.977564,0.977564,4,3902.915834,3777.131189,17654.983181,13536.408396,834
10,10MBps,case1_real,15,0.021392,7.871531,46.746096,6.618559,0.890625,1.000000,4,4077.869751,3886.711376,18352.351759,13923.732958,835
10,10MBps,case1_real,16,0.021753,7.877417,45.970800,6.682615,1.000000,1.000000,5,4107.889693,3895.505367,17931.740043,14029.587170,836
10,10MBps,case2_homo,1,0.017503,7.290533,57.133581,0.449219,1.000000,1.000000,1,569.255655,57.579400,4554.045243,460.635202,833
10,10MBps,case2_homo,2,0.017510,7.287854,57.109136,0.518180,1.000000,1.000000,2,549.549922,478.846941,4396.399373,3830.775531,835
10,10MBps,case2_homo,3,0.017181,7.426948,58.202720,2.028049,1.000000,1.000000,2,1369.696042,512.546323,10957.568336,4100.370587,834
10,10MBps,case2_homo,4,0.017458,7.309249,57.280018,0.833316,1.000000,1.000000,2,678.210076,1043.852783,5425.680606,8350.822266,834
10,10MBps,case2_homo,5,0.016587,7.687416,60.289307,4.655991,1.000000,1.000000,2,2959.279058,1685.263658,23674.232464,13482.109263,834
10,10MBps,case2_homo,6,0.017444,7.315262,57.327299,0.897953,1.000000,1.000000,3,711.935411,1175.372760,5695.483291,9402.982077,836
10,10MBps,case2_homo,7,0.017177,7.428714,58.217416,2.091793,1.000000,1.000000,3,1377.418011,627.456562,11019.344091,5019.652495,836
