Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,38462,0,38462,0.000000,0.013569,9.212212,73.697698,0.449219,0.762681,0.606884,1
1,1.000000,38857,395,38462,1.026988,0.013500,9.306821,74.076134,0.449219,0.762681,0.606884,1
1,5.000000,40443,1981,38462,5.150538,0.013228,9.686695,75.595629,0.449219,0.762681,0.606884,1
1,10.000000,42709,4247,38462,11.042067,0.012859,10.229440,77.763735,0.449184,0.762681,0.606884,1
1,25.000000,51009,12547,38462,32.621809,0.011686,12.217429,85.573898,0.447455,0.762681,0.606884,1
2,0.000000,38446,0,38446,0.000000,0.014346,8.740527,69.707942,0.512695,0.882299,0.803832,2
2,1.000000,38842,395,38447,1.027388,0.014272,8.830369,70.066532,0.512924,0.882299,0.803832,2
2,5.000000,40429,1980,38449,5.149679,0.013986,9.190412,71.500829,0.514642,0.882299,0.803832,2
2,10.000000,42693,4245,38448,11.040886,0.013596,9.705431,73.550423,0.516888,0.882299,0.803832,2
2,25.000000,50994,12546,38448,32.631086,0.012353,11.593178,80.955098,0.520001,0.882299,0.803832,2
3,0.000000,38455,0,38455,0.000000,0.015553,8.265956,64.296271,0.825195,0.677404,0.806731,2
3,1.000000,38851,395,38456,1.027148,0.015473,8.350924,64.628313,0.826803,0.677404,0.806731,2
3,5.000000,40437,1980,38457,5.148608,0.015164,8.691545,65.947494,0.835505,0.677404,0.806731,2
3,10.000000,42703,4247,38456,11.043790,0.014738,9.179063,67.852165,0.844452,0.677404,0.806731,2
3,25.000000,51003,12547,38456,32.626898,0.013392,10.963221,74.670449,0.882324,0.677404,0.806731,2
4,0.000000,38435,0,38435,0.000000,0.018411,8.002073,54.314894,4.628906,0.900128,0.728426,2
4,1.000000,38831,395,38436,1.027682,0.018317,8.084333,54.594601,4.639533,0.900128,0.728426,2
4,5.000000,40414,1977,38437,5.143482,0.017950,8.413819,55.709951,4.682907,0.900128,0.728426,2
4,10.000000,42682,4246,38436,11.046935,0.017448,8.886089,57.312933,4.744542,0.900128,0.728426,2
4,25.000000,50993,12555,38438,32.662990,0.015847,10.615886,63.101705,4.955223,0.900128,0.728426,2
5,0.000000,38429,0,38429,0.000000,0.020723,8.001977,48.256135,2.011719,0.971774,0.945565,2
5,1.000000,38825,395,38430,1.027843,0.020616,8.084195,48.505028,2.015684,0.971774,0.945565,2
5,5.000000,40409,1979,38430,5.149623,0.020204,8.414563,49.495153,2.032109,0.971774,0.945565,2
5,10.000000,42670,4240,38430,11.033047,0.019639,8.884453,50.920074,2.054207,0.971774,0.945565,2
5,25.000000,50958,12527,38431,32.596081,0.017848,10.610002,56.030146,2.132182,0.971774,0.945565,2
6,0.000000,38455,0,38455,0.000000,0.015764,8.239915,63.436637,0.888672,0.930769,0.871154,3
6,1.000000,38853,395,38458,1.027094,0.015682,8.324692,63.765428,0.890429,0.930769,0.871154,3
6,5.000000,40440,1980,38460,5.148206,0.015368,8.664252,65.069165,0.899910,0.930769,0.871154,3
6,10.000000,42705,4247,38458,11.043216,0.014937,9.150098,66.947601,0.911821,0.930769,0.871154,3
6,25.000000,51005,12544,38461,32.614857,0.013576,10.927826,73.661304,0.958065,0.930769,0.871154,3
7,0.000000,38447,0,38447,0.000000,0.018597,7.866316,53.771865,4.692383,0.932671,0.822369,3
7,1.000000,38846,395,38451,1.027281,0.018502,7.947226,54.048944,4.703287,0.932671,0.822369,3
7,5.000000,40431,1979,38452,5.146676,0.018131,8.271410,55.154483,4.748411,0.932671,0.822369,3
7,10.000000,42697,4244,38453,11.036850,0.017625,8.734838,56.737781,4.811076,0.932671,0.822369,3
7,25.000000,51017,12563,38454,32.670203,0.016007,10.436941,62.473856,5.029372,0.932671,0.822369,3
8,0.000000,38415,0,38415,0.000000,0.021096,7.788532,47.402354,2.075195,0.980874,0.965847,3
8,1.000000,38813,395,38418,1.028164,0.020988,7.868668,47.647106,2.079320,0.980874,0.965847,3
8,5.000000,40395,1978,38417,5.148762,0.020568,8.190124,48.619312,2.097011,0.980874,0.965847,3
8,10.000000,42655,4234,38421,11.020015,0.019994,8.646670,50.015384,2.121044,0.980874,0.965847,3
8,25.000000,50948,12528,38420,32.608017,0.018167,10.328455,55.044104,2.206883,0.980874,0.965847,3
9,0.000000,38443,0,38443,0.000000,0.018737,7.765917,53.370269,5.004883,0.816752,0.852284,3
9,1.000000,38838,395,38443,1.027495,0.018642,7.845654,53.643634,5.017883,0.816752,0.852284,3
9,5.000000,40423,1976,38447,5.139543,0.018267,8.165572,54.743546,5.068476,0.816752,0.852284,3
9,10.000000,42686,4239,38447,11.025568,0.017763,8.622578,56.297335,5.142087,0.816752,0.852284,3
9,25.000000,51019,12568,38451,32.685756,0.016130,10.305484,61.997349,5.397130,0.816752,0.852284,3
10,0.000000,38426,0,38426,0.000000,0.021452,7.591857,46.615654,2.387695,0.854167,0.983025,3
10,1.000000,38821,395,38426,1.027950,0.021342,7.669868,46.856036,2.393361,0.854167,0.983025,3
10,5.000000,40406,1979,38427,5.150025,0.020915,7.983030,47.812181,2.417410,0.854167,0.983025,3
10,10.000000,42674,4244,38430,11.043456,0.020329,8.430465,49.190276,2.454074,0.854167,0.983025,3
10,25.000000,50956,12527,38429,32.597778,0.018476,10.067127,54.122898,2.570376,0.854167,0.983025,3
11,0.000000,38412,0,38412,0.000000,0.021274,7.689546,47.006410,6.191406,0.970833,0.966667,3
11,1.000000,38809,395,38414,1.028271,0.021164,7.768609,47.248945,6.205995,0.970833,0.966667,3
11,5.000000,40394,1979,38415,5.151633,0.020741,8.085983,48.214353,6.266149,0.970833,0.966667,3
11,10.000000,42658,4242,38416,11.042274,0.020159,8.538829,49.604697,6.348583,0.970833,0.966667,3
11,25.000000,50937,12521,38416,32.593190,0.018323,10.195199,54.577597,6.637235,0.970833,0.966667,3
12,0.000000,38443,0,38443,0.000000,0.019044,7.739876,52.510635,5.068359,0.971939,0.889213,4
12,1.000000,38841,395,38446,1.027415,0.018947,7.819424,52.779786,5.081565,0.971939,0.889213,4
12,5.000000,40429,1978,38451,5.144210,0.018565,8.138350,53.865088,5.133796,0.971939,0.889213,4
12,10.000000,42690,4241,38449,11.030196,0.018052,8.593558,55.395246,5.209497,0.971939,0.889213,4
12,25.000000,51000,12546,38454,32.625995,0.016401,10.266259,60.973125,5.469458,0.971939,0.889213,4
13,0.000000,38426,0,38426,0.000000,0.021855,7.565816,45.756020,2.451172,1.000000,0.987269,4
13,1.000000,38824,395,38429,1.027870,0.021743,7.643629,45.992364,2.457155,1.000000,0.987269,4
13,5.000000,40409,1979,38430,5.149623,0.021308,7.955673,46.930687,2.482966,1.000000,0.987269,4
13,10.000000,42675,4242,38433,11.037390,0.020712,8.401320,48.281638,2.517450,1.000000,0.987269,4
13,25.000000,50993,12558,38435,32.673345,0.018812,10.039246,53.157537,2.642209,1.000000,0.987269,4
14,0.000000,38424,0,38424,0.000000,0.021522,7.553789,46.463381,6.254883,0.977564,0.977564,4
14,1.000000,38824,395,38429,1.027870,0.021412,7.631514,46.703337,6.269750,0.977564,0.977564,4
14,5.000000,40407,1977,38430,5.144418,0.020984,7.942771,47.656022,6.330591,0.977564,0.977564,4
14,10.000000,42673,4239,38434,11.029297,0.020397,8.387150,49.027255,6.414830,0.977564,0.977564,4
14,25.000000,50965,12531,38434,32.603944,0.018533,10.017389,53.956685,6.713392,0.977564,0.977564,4
15,0.000000,38420,0,38420,0.000000,0.021710,7.453390,46.061785,6.567383,0.890625,1.000000,4
15,1.000000,38818,395,38423,1.028030,0.021599,7.530001,46.299440,6.584153,0.890625,1.000000,4
15,5.000000,40403,1979,38424,5.150427,0.021166,7.837387,47.244801,6.652243,0.890625,1.000000,4
15,10.000000,42669,4243,38426,11.042003,0.020572,8.277083,48.609682,6.746182,0.890625,1.000000,4
15,25.000000,50964,12536,38428,32.622046,0.018691,9.885563,53.501630,7.076292,0.890625,1.000000,4
16,0.000000,38420,0,38420,0.000000,0.022123,7.427349,45.202151,6.630859,1.000000,1.000000,5
16,1.000000,38820,395,38425,1.027977,0.022009,7.503759,45.435739,6.647856,1.000000,1.000000,5
16,5.000000,40407,1978,38429,5.147154,0.021569,7.810006,46.362956,6.717159,1.000000,1.000000,5
16,10.000000,42673,4243,38430,11.040853,0.020965,8.247807,47.699470,6.814210,1.000000,1.000000,5
16,25.000000,50990,12552,38438,32.655185,0.019046,9.854500,52.505310,7.151098,1.000000,1.000000,5
