Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,4794,0,4794,0.000000,0.017380,7.192132,57.537058,0.449219,0.762681,0.606884,1
1,1.000000,4848,54,4794,1.126408,0.017283,7.273147,57.861117,0.449219,0.762681,0.606884,1
1,5.000000,5024,230,4794,4.797664,0.016973,7.537196,58.917312,0.449219,0.762681,0.606884,1
1,10.000000,5298,504,4794,10.513141,0.016512,7.948272,60.561616,0.449219,0.762681,0.606884,1
1,25.000000,6338,1544,4794,32.206925,0.014992,9.508560,66.700750,0.447626,0.762681,0.606884,1
2,0.000000,4793,0,4793,0.000000,0.017585,7.133931,56.866838,0.512695,0.882299,0.803832,2
2,1.000000,4848,54,4794,1.126408,0.017486,7.214338,57.188465,0.512695,0.882299,0.803832,2
2,5.000000,5025,229,4796,4.774812,0.017174,7.475626,58.226189,0.514997,0.882299,0.803832,2
2,10.000000,5300,504,4796,10.508757,0.016705,7.884288,59.862372,0.514523,0.882299,0.803832,2
2,25.000000,6340,1545,4795,32.221064,0.015166,9.433376,65.935135,0.519885,0.882299,0.803832,2
3,0.000000,4795,0,4795,0.000000,0.018190,7.077536,54.975631,0.825195,0.677404,0.806731,2
3,1.000000,4850,54,4796,1.125938,0.018086,7.157265,55.291585,0.825872,0.677404,0.806731,2
3,5.000000,5026,230,4796,4.795663,0.017768,7.417101,56.280604,0.837377,0.677404,0.806731,2
3,10.000000,5301,503,4798,10.483535,0.017280,7.820597,57.869888,0.843016,0.677404,0.806731,2
3,25.000000,6344,1546,4798,32.221759,0.015687,9.360809,63.748664,0.885643,0.677404,0.806731,2
4,0.000000,4793,0,4793,0.000000,0.020694,7.077989,48.322334,4.628906,0.900128,0.728426,2
4,1.000000,4848,54,4794,1.126408,0.020579,7.157784,48.593699,4.640944,0.900128,0.728426,2
4,5.000000,5024,230,4794,4.797664,0.020218,7.417884,49.460762,4.684580,0.900128,0.728426,2
4,10.000000,5298,504,4794,10.513141,0.019665,7.822462,50.851942,4.741758,0.900128,0.728426,2
4,25.000000,6341,1546,4795,32.241919,0.017857,9.361614,55.999495,4.963604,0.900128,0.728426,2
5,0.000000,4794,0,4794,0.000000,0.022947,7.055189,43.578727,2.011719,0.971774,0.945565,2
5,1.000000,4848,54,4794,1.126408,0.022820,7.134701,43.822105,2.016254,0.971774,0.945565,2
5,5.000000,5025,229,4796,4.774812,0.022426,7.393067,44.591999,2.032258,0.971774,0.945565,2
5,10.000000,5299,503,4796,10.487907,0.021793,7.795953,45.886449,2.051519,0.971774,0.945565,2
5,25.000000,6346,1549,4797,32.291015,0.019808,9.338816,50.484205,2.139207,0.971774,0.945565,2
6,0.000000,4796,0,4796,0.000000,0.018433,7.074847,54.250229,0.888672,0.930769,0.871154,3
6,1.000000,4851,54,4797,1.125704,0.018327,7.154553,54.564645,0.889445,0.930769,0.871154,3
6,5.000000,5030,229,4801,4.769840,0.018008,7.413523,55.532281,0.901445,0.930769,0.871154,3
6,10.000000,5303,503,4800,10.479167,0.017526,7.818420,57.058704,0.919337,0.930769,0.871154,3
6,25.000000,6348,1547,4801,32.222454,0.015895,9.357065,62.913093,0.958230,0.930769,0.871154,3
7,0.000000,4794,0,4794,0.000000,0.020723,7.061560,48.256617,4.692383,0.932671,0.822369,3
7,1.000000,4850,54,4796,1.125938,0.020607,7.141168,48.527606,4.704728,0.932671,0.822369,3
7,5.000000,5026,228,4798,4.751980,0.020248,7.399057,49.387332,4.747737,0.932671,0.822369,3
7,10.000000,5302,504,4798,10.504377,0.019691,7.804279,50.785728,4.807632,0.932671,0.822369,3
7,25.000000,6340,1541,4799,32.110856,0.017888,9.335645,55.902985,5.034321,0.932671,0.822369,3
8,0.000000,4794,0,4794,0.000000,0.023002,7.029136,43.474514,2.075195,0.980874,0.965847,3
8,1.000000,4849,54,4795,1.126173,0.022874,7.108384,43.717436,2.079805,0.980874,0.965847,3
8,5.000000,5027,229,4798,4.772822,0.022479,7.366425,44.486633,2.096899,0.980874,0.965847,3
8,10.000000,5300,502,4798,10.462693,0.021848,7.765628,45.770737,2.117815,0.980874,0.965847,3
8,25.000000,6344,1544,4800,32.166667,0.019865,9.295482,50.339912,2.205727,0.980874,0.965847,3
9,0.000000,4794,0,4794,0.000000,0.020739,7.051761,48.217421,5.004883,0.816752,0.852284,3
9,1.000000,4851,54,4797,1.125704,0.020624,7.131265,48.488251,5.019666,0.816752,0.852284,3
9,5.000000,5027,230,4797,4.794663,0.020262,7.390301,49.353187,5.069729,0.816752,0.852284,3
9,10.000000,5300,503,4797,10.485720,0.019708,7.793285,50.741155,5.139293,0.816752,0.852284,3
9,25.000000,6335,1537,4798,32.034181,0.017909,9.314864,55.838923,5.390861,0.816752,0.852284,3
10,0.000000,4794,0,4794,0.000000,0.023048,7.007253,43.386982,2.387695,0.854167,0.983025,3
10,1.000000,4849,54,4795,1.126173,0.022920,7.086210,43.629299,2.393371,0.854167,0.983025,3
10,5.000000,5025,229,4796,4.774812,0.022524,7.343231,44.396406,2.419685,0.854167,0.983025,3
10,10.000000,5302,503,4799,10.481350,0.021888,7.743858,45.686482,2.447074,0.854167,0.983025,3
10,25.000000,6340,1539,4801,32.055822,0.019905,9.259348,50.238390,2.577135,0.854167,0.983025,3
11,0.000000,4793,0,4793,0.000000,0.022952,7.052766,43.569034,6.191406,0.970833,0.966667,3
11,1.000000,4849,54,4795,1.126173,0.022825,7.132305,43.812564,6.208046,0.970833,0.966667,3
11,5.000000,5025,229,4796,4.774812,0.022430,7.390988,44.582995,6.267293,0.970833,0.966667,3
11,10.000000,5298,502,4796,10.467056,0.021802,7.793266,45.867479,6.340882,0.970833,0.966667,3
11,25.000000,6341,1543,4798,32.159233,0.019814,9.327269,50.468145,6.655344,0.970833,0.966667,3
12,0.000000,4795,0,4795,0.000000,0.021056,7.049072,47.492019,5.068359,0.971939,0.889213,4
12,1.000000,4852,54,4798,1.125469,0.020937,7.128541,47.761238,5.083239,0.971939,0.889213,4
12,5.000000,5029,231,4798,4.814506,0.020576,7.387508,48.601068,5.134976,0.971939,0.889213,4
12,10.000000,5304,502,4802,10.453978,0.020005,7.789023,49.986972,5.205473,0.971939,0.889213,4
12,25.000000,6350,1547,4803,32.209036,0.018168,9.325291,55.041331,5.480339,0.971939,0.889213,4
13,0.000000,4795,0,4795,0.000000,0.023440,7.004564,42.661580,2.451172,1.000000,0.987269,4
13,1.000000,4849,54,4795,1.126173,0.023309,7.083487,42.902311,2.456944,1.000000,0.987269,4
13,5.000000,5030,230,4800,4.791667,0.022908,7.342224,43.653787,2.485839,1.000000,0.987269,4
13,10.000000,5303,502,4801,10.456155,0.022261,7.740582,44.921590,2.514313,1.000000,0.987269,4
13,25.000000,6344,1539,4805,32.029136,0.020257,9.257204,49.365387,2.650199,1.000000,0.987269,4
14,0.000000,4794,0,4794,0.000000,0.022987,7.036337,43.503317,6.254883,0.977564,0.977564,4
14,1.000000,4850,54,4796,1.125938,0.022859,7.115665,43.746376,6.271830,0.977564,0.977564,4
14,5.000000,5031,230,4801,4.790669,0.022462,7.375237,44.518707,6.331923,0.977564,0.977564,4
14,10.000000,5301,503,4798,10.483535,0.021834,7.775581,45.799273,6.407268,0.977564,0.977564,4
14,25.000000,6350,1545,4805,32.154006,0.019838,9.308092,50.408688,6.734841,0.977564,0.977564,4
15,0.000000,4794,0,4794,0.000000,0.023007,7.026538,43.464121,6.567383,0.890625,1.000000,4
15,1.000000,4850,54,4796,1.125938,0.022880,7.105750,43.706972,6.586768,0.890625,1.000000,4
15,5.000000,5027,228,4799,4.750990,0.022487,7.361919,44.469499,6.650750,0.890625,1.000000,4
15,10.000000,5301,503,4798,10.483535,0.021854,7.764818,45.758173,6.735445,0.890625,1.000000,4
15,25.000000,6341,1541,4800,32.104167,0.019872,9.286330,50.322108,7.077201,0.890625,1.000000,4
16,0.000000,4795,0,4795,0.000000,0.023398,7.023849,42.738719,6.630859,1.000000,1.000000,5
16,1.000000,4851,54,4797,1.125704,0.023267,7.103038,42.980032,6.650341,1.000000,1.000000,5
16,5.000000,5030,230,4800,4.791667,0.022870,7.361977,43.724538,6.718379,1.000000,1.000000,5
16,10.000000,5303,503,4800,10.479167,0.022224,7.761868,44.996920,6.801524,1.000000,1.000000,5
16,25.000000,6350,1541,4809,32.044084,0.020203,9.285665,49.496867,7.155255,1.000000,1.000000,5
