Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,38462,0,38462,0.000000,0.013569,9.212212,73.697698,0.449219,1.000000,1.000000,1
1,1.000000,38849,387,38462,0.996165,0.013501,9.304905,74.068470,0.449219,1.000000,1.000000,1
1,5.000000,40443,1981,38462,4.898252,0.013228,9.686695,75.595629,0.449219,1.000000,1.000000,1
1,10.000000,42670,4208,38462,9.861730,0.012865,10.220099,77.729244,0.449219,1.000000,1.000000,1
1,25.000000,51199,12737,38462,24.877439,0.011641,12.262938,85.900599,0.449219,1.000000,1.000000,1
2,0.000000,38446,0,38446,0.000000,0.014301,8.740527,69.924216,0.512695,1.000000,1.000000,2
2,1.000000,38834,387,38447,0.996549,0.014230,8.828581,70.276482,0.512810,1.000000,1.000000,2
2,5.000000,40426,1977,38449,4.890417,0.013943,9.190005,71.722270,0.514409,1.000000,1.000000,2
2,10.000000,42653,4204,38449,9.856282,0.013560,9.696165,73.746912,0.516012,1.000000,1.000000,2
2,25.000000,51189,12737,38452,24.886206,0.012269,11.636489,81.508255,0.521964,1.000000,1.000000,2
3,0.000000,38429,0,38429,0.000000,0.015621,8.001977,64.015817,2.011719,1.000000,1.000000,2
3,1.000000,38816,387,38429,0.997012,0.015543,8.082540,64.338069,2.015638,1.000000,1.000000,2
3,5.000000,40398,1968,38430,4.871528,0.015231,8.412196,65.656886,2.031951,1.000000,1.000000,2
3,10.000000,42601,4170,38431,9.788503,0.014818,8.869082,67.484622,2.053293,1.000000,1.000000,2
3,25.000000,51117,12684,38433,24.817575,0.013409,10.642413,74.577945,2.139954,1.000000,1.000000,2
4,0.000000,38455,0,38455,0.000000,0.015122,8.265956,66.127648,0.825195,1.000000,1.000000,2
4,1.000000,38844,388,38456,0.998867,0.015046,8.349377,66.461429,0.827141,1.000000,1.000000,2
4,5.000000,40433,1976,38457,4.887097,0.014743,8.690720,67.826898,0.835177,1.000000,1.000000,2
4,10.000000,42654,4197,38457,9.839640,0.014339,9.168406,69.737640,0.843637,1.000000,1.000000,2
4,25.000000,51184,12725,38459,24.865192,0.012975,11.001955,77.071835,0.884797,1.000000,1.000000,2
