Composition,Failure_Rate_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,0.015511,8.058592,64.468738,0.449219,1.000000,1.000000,1
1,1.000000,0.015425,8.148684,64.829106,0.449219,1.000000,1.000000,1
1,5.000000,0.015164,8.427342,65.943736,0.449219,1.000000,1.000000,1
1,10.000000,0.014739,8.902945,67.846148,0.449219,1.000000,1.000000,1
1,25.000000,0.013375,10.650315,74.768583,0.448284,1.000000,1.000000,1
2,0.000000,0.015979,7.822887,62.583096,0.512695,1.000000,1.000000,2
2,1.000000,0.015890,7.910339,62.933144,0.513838,1.000000,1.000000,2
2,5.000000,0.015621,8.181167,64.016697,0.513838,1.000000,1.000000,2
2,10.000000,0.015183,8.643140,65.864827,0.516131,1.000000,1.000000,2
2,25.000000,0.013779,10.338273,72.571829,0.519657,1.000000,1.000000,2
3,0.000000,0.016475,7.587332,60.698656,0.825195,1.000000,1.000000,2
3,1.000000,0.016383,7.672274,61.038904,0.827733,1.000000,1.000000,2
3,5.000000,0.016107,7.933849,62.084725,0.833310,1.000000,1.000000,2
3,10.000000,0.015656,8.381367,63.875275,0.840579,1.000000,1.000000,2
3,25.000000,0.014204,10.028458,70.400439,0.887124,1.000000,1.000000,2
4,0.000000,0.016726,7.473449,59.787593,4.628906,1.000000,1.000000,2
4,1.000000,0.016632,7.557368,60.123990,4.640191,1.000000,1.000000,2
4,5.000000,0.016350,7.816778,61.162347,4.677809,1.000000,1.000000,2
4,10.000000,0.015891,8.258509,62.929271,4.733294,1.000000,1.000000,2
4,25.000000,0.014435,9.868325,69.273725,4.968327,1.000000,1.000000,2
5,0.000000,0.016754,7.461017,59.688138,2.011719,1.000000,1.000000,2
5,1.000000,0.016660,7.544909,60.023705,2.016477,1.000000,1.000000,2
5,5.000000,0.016378,7.803533,61.059162,2.029844,1.000000,1.000000,2
5,10.000000,0.015917,8.244774,62.824125,2.052953,1.000000,1.000000,2
5,25.000000,0.014481,9.838579,69.054220,2.130985,1.000000,1.000000,2
6,0.000000,0.016503,7.574587,60.596694,0.888672,1.000000,1.000000,3
6,1.000000,0.016410,7.659475,60.937207,0.891572,1.000000,1.000000,3
6,5.000000,0.016135,7.919871,61.978792,0.896629,1.000000,1.000000,3
6,10.000000,0.015680,8.369041,63.775230,0.908420,1.000000,1.000000,3
6,25.000000,0.014229,10.010469,70.277981,0.963124,1.000000,1.000000,3
7,0.000000,0.016879,7.405684,59.245471,4.692383,1.000000,1.000000,3
7,1.000000,0.016785,7.488770,59.578297,4.704134,1.000000,1.000000,3
7,5.000000,0.016500,7.745867,60.607405,4.743499,1.000000,1.000000,3
7,10.000000,0.016037,8.183297,62.356883,4.799274,1.000000,1.000000,3
7,25.000000,0.014562,9.781451,68.672493,5.045462,1.000000,1.000000,3
8,0.000000,0.016997,7.354432,58.835456,2.075195,1.000000,1.000000,3
8,1.000000,0.016901,7.437522,59.169017,2.080266,1.000000,1.000000,3
8,5.000000,0.016615,7.691413,60.185541,2.094410,1.000000,1.000000,3
8,10.000000,0.016152,8.125305,61.913422,2.115619,1.000000,1.000000,3
8,25.000000,0.014684,9.702460,68.101164,2.202228,1.000000,1.000000,3
9,0.000000,0.016990,7.357149,58.857191,5.004883,1.000000,1.000000,3
9,1.000000,0.016895,7.439700,59.187636,5.020022,1.000000,1.000000,3
9,5.000000,0.016609,7.694712,60.208163,5.069109,1.000000,1.000000,3
9,10.000000,0.016143,8.129507,61.947825,5.138263,1.000000,1.000000,3
9,25.000000,0.014682,9.701035,68.110872,5.399947,1.000000,1.000000,3
10,0.000000,0.017223,7.257777,58.062216,2.387695,1.000000,1.000000,3
10,1.000000,0.017126,7.339527,58.390176,2.395762,1.000000,1.000000,3
10,5.000000,0.016836,7.590806,59.394813,2.415537,1.000000,1.000000,3
10,10.000000,0.016368,8.018016,61.095949,2.448398,1.000000,1.000000,3
10,25.000000,0.014849,9.595369,67.345152,2.577477,1.000000,1.000000,3
11,0.000000,0.017063,7.325694,58.605553,6.191406,1.000000,1.000000,3
11,1.000000,0.016968,7.407924,58.935434,6.208479,1.000000,1.000000,3
11,5.000000,0.016681,7.661715,59.949875,6.258584,1.000000,1.000000,3
11,10.000000,0.016212,8.094551,61.681460,6.339920,1.000000,1.000000,3
11,25.000000,0.014755,9.655448,67.772367,6.631805,1.000000,1.000000,3
12,0.000000,0.017020,7.344404,58.755229,5.068359,1.000000,1.000000,4
12,1.000000,0.016924,7.426969,59.086689,5.084190,1.000000,1.000000,4
12,5.000000,0.016638,7.680947,60.102842,5.133729,1.000000,1.000000,4
12,10.000000,0.016170,8.116046,61.842759,5.207982,1.000000,1.000000,4
12,25.000000,0.014684,9.700247,68.103332,5.494086,1.000000,1.000000,4
13,0.000000,0.017253,7.245032,57.960254,2.451172,1.000000,1.000000,4
13,1.000000,0.017156,7.326594,58.287462,2.459015,1.000000,1.000000,4
13,5.000000,0.016866,7.577650,59.292166,2.479756,1.000000,1.000000,4
13,10.000000,0.016396,8.003842,60.989010,2.513311,1.000000,1.000000,4
13,25.000000,0.014893,9.565701,67.146433,2.651246,1.000000,1.000000,4
14,0.000000,0.017223,7.257929,58.063431,6.254883,1.000000,1.000000,4
14,1.000000,0.017126,7.339743,58.392366,6.272196,1.000000,1.000000,4
14,5.000000,0.016837,7.590292,59.394084,6.323743,1.000000,1.000000,4
14,10.000000,0.016366,8.018710,61.100850,6.400999,1.000000,1.000000,4
14,25.000000,0.014884,9.572600,67.186348,6.702218,1.000000,1.000000,4
15,0.000000,0.017338,7.209394,57.675151,6.567383,1.000000,1.000000,4
15,1.000000,0.017241,7.290686,58.001521,6.587098,1.000000,1.000000,4
15,5.000000,0.016950,7.539174,58.995713,6.642996,1.000000,1.000000,4
15,10.000000,0.016472,7.967303,60.708467,6.735105,1.000000,1.000000,4
15,25.000000,0.015000,9.496923,66.668696,7.065628,1.000000,1.000000,4
16,0.000000,0.017369,7.196649,57.573189,6.630859,1.000000,1.000000,5
16,1.000000,0.017271,7.277775,57.899134,6.651266,1.000000,1.000000,5
16,5.000000,0.016979,7.527049,58.895992,6.709401,1.000000,1.000000,5
16,10.000000,0.016503,7.951795,60.595215,6.801834,1.000000,1.000000,5
16,25.000000,0.015013,9.488916,66.609734,7.157921,1.000000,1.000000,5
