Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,1199,0,1199,0.000000,0.017917,6.976432,55.811458,0.449219,1.000000,1.000000,1
1,1.000000,1214,15,1199,1.251043,0.017806,7.063770,56.160807,0.449219,1.000000,1.000000,1
1,5.000000,1254,55,1199,4.587156,0.017515,7.296669,57.092405,0.449219,1.000000,1.000000,1
1,10.000000,1328,129,1199,10.758966,0.017002,7.727533,58.815862,0.449219,1.000000,1.000000,1
1,25.000000,1574,375,1199,31.276063,0.015504,9.159866,64.498611,0.448469,1.000000,1.000000,1
2,0.000000,1199,0,1199,0.000000,0.017954,6.962355,55.698840,0.512695,1.000000,1.000000,2
2,1.000000,1215,15,1200,1.250000,0.017842,7.049535,56.047606,0.512695,1.000000,1.000000,2
2,5.000000,1256,55,1201,4.579517,0.017551,7.281994,56.977490,0.512695,1.000000,1.000000,2
2,10.000000,1329,128,1201,10.657785,0.017038,7.710859,58.692903,0.515604,1.000000,1.000000,2
2,25.000000,1576,375,1201,31.223980,0.015535,9.141615,64.369485,0.515613,1.000000,1.000000,2
3,0.000000,1199,0,1199,0.000000,0.017984,6.950576,55.604608,0.825195,1.000000,1.000000,2
3,1.000000,1215,15,1200,1.250000,0.017872,7.037676,55.953102,0.830609,1.000000,1.000000,2
3,5.000000,1255,55,1200,4.583333,0.017581,7.269659,56.881037,0.833316,1.000000,1.000000,2
3,10.000000,1328,129,1199,10.758966,0.017065,7.698964,58.598158,0.846852,1.000000,1.000000,2
3,25.000000,1573,371,1202,30.865225,0.015591,9.107976,64.141529,0.872341,1.000000,1.000000,2
4,0.000000,1199,0,1199,0.000000,0.017910,6.979241,55.833928,4.628906,1.000000,1.000000,2
4,1.000000,1215,15,1200,1.250000,0.017799,7.066703,56.183920,4.643953,1.000000,1.000000,2
4,5.000000,1254,54,1200,4.500000,0.017513,7.296028,57.101077,4.684116,1.000000,1.000000,2
4,10.000000,1328,127,1201,10.574521,0.017002,7.725326,58.818270,4.764263,1.000000,1.000000,2
4,25.000000,1573,372,1201,30.974188,0.015510,9.156403,64.472878,4.939749,1.000000,1.000000,2
5,0.000000,1199,0,1199,0.000000,0.017976,6.953909,55.631273,2.011719,1.000000,1.000000,2
