Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,19231,0,19231,0.000000,0.001939,8.058352,515.734540,0.449219,0.264040,0.297781,1
1,1.000000,19425,194,19231,1.008788,0.001929,8.139645,518.335901,0.449219,0.264040,0.297781,1
1,5.000000,20195,964,19231,5.012740,0.001892,8.462301,528.660888,0.449219,0.264040,0.297781,1
1,10.000000,21345,2114,19231,10.992668,0.001838,8.944189,544.067915,0.449195,0.264040,0.297781,1
1,25.000000,25571,6340,19231,32.967604,0.001667,10.715025,599.863077,0.447677,0.264040,0.297781,1
2,0.000000,19223,0,19223,0.000000,0.002010,7.822827,497.516900,0.512695,0.632755,0.649521,2
2,1.000000,19419,194,19225,1.009103,0.002000,7.901782,500.020159,0.513152,0.632755,0.649521,2
2,5.000000,20190,964,19226,5.014043,0.001961,8.215106,509.966958,0.514752,0.632755,0.649521,2
2,10.000000,21340,2114,19226,10.995527,0.001905,8.682751,524.814443,0.516825,0.632755,0.649521,2
2,25.000000,25561,6336,19225,32.957087,0.001728,10.400988,578.633448,0.521408,0.632755,0.649521,2
3,0.000000,19228,0,19228,0.000000,0.002175,7.587116,459.704610,0.825195,0.638221,0.640865,2
3,1.000000,19423,194,19229,1.008893,0.002165,7.663660,461.967086,0.827902,0.638221,0.640865,2
3,5.000000,20193,964,19229,5.013261,0.002122,7.967558,471.261098,0.834162,0.638221,0.640865,2
3,10.000000,21342,2113,19229,10.988611,0.002062,8.421018,485.071334,0.843934,0.638221,0.640865,2
3,25.000000,25566,6336,19230,32.948518,0.001870,10.087587,534.817929,0.882510,0.638221,0.640865,2
4,0.000000,19192,0,19192,0.000000,0.004355,7.460777,229.605876,2.011719,0.784274,0.812248,2
4,1.000000,19387,194,19193,1.010785,0.004334,7.536164,230.741789,2.015570,0.784274,0.812248,2
4,5.000000,20154,960,19194,5.001563,0.004244,7.834804,235.609833,2.032155,0.784274,0.812248,2
4,10.000000,21303,2109,19194,10.987809,0.004125,8.281403,242.429144,2.055103,0.784274,0.812248,2
4,25.000000,25506,6312,19194,32.885277,0.003735,9.917187,267.721687,2.136641,0.784274,0.812248,2
5,0.000000,19180,0,19180,0.000000,0.005423,7.473281,184.409019,4.628906,0.566964,0.575949,2
5,1.000000,19374,193,19181,1.006204,0.005395,7.548551,185.362787,4.639815,0.566964,0.575949,2
5,5.000000,20137,956,19181,4.984099,0.005284,7.846175,189.267547,4.685332,0.566964,0.575949,2
5,10.000000,21289,2107,19182,10.984256,0.005135,8.294675,194.745869,4.746663,0.566964,0.575949,2
5,25.000000,25479,6297,19182,32.827651,0.004653,9.927842,214.911296,4.966308,0.566964,0.575949,2
6,0.000000,19228,0,19228,0.000000,0.002176,7.574407,459.653773,0.888672,0.758814,0.768910,3
6,1.000000,19426,194,19232,1.008735,0.002165,7.650773,461.904092,0.892064,0.758814,0.768910,3
6,5.000000,20195,964,19231,5.012740,0.002123,7.954142,471.137770,0.900360,0.758814,0.768910,3
6,10.000000,21344,2113,19231,10.987468,0.002062,8.407047,484.971363,0.911619,0.758814,0.768910,3
6,25.000000,25566,6332,19234,32.920869,0.001870,10.069549,534.648156,0.956944,0.758814,0.768910,3
7,0.000000,19185,0,19185,0.000000,0.004553,7.354372,219.651916,2.075195,0.858948,0.877561,3
7,1.000000,19383,194,19189,1.010996,0.004530,7.428750,220.731495,2.079478,0.858948,0.877561,3
7,5.000000,20148,960,19188,5.003127,0.004438,7.722505,225.349517,2.098001,0.858948,0.877561,3
7,10.000000,21298,2108,19190,10.984888,0.004313,8.162789,231.830571,2.123105,0.858948,0.877561,3
7,25.000000,25511,6320,19191,32.932104,0.003901,9.778914,256.333847,2.211204,0.858948,0.877561,3
8,0.000000,19181,0,19181,0.000000,0.005652,7.405600,176.933395,4.692383,0.717720,0.723329,3
8,1.000000,19378,194,19184,1.011259,0.005623,7.480194,177.829377,4.703694,0.717720,0.723329,3
8,5.000000,20142,957,19185,4.988272,0.005507,7.775236,181.595741,4.750728,0.717720,0.723329,3
8,10.000000,21291,2105,19186,10.971542,0.005352,8.218831,186.851745,4.813105,0.717720,0.723329,3
8,25.000000,25485,6299,19186,32.831231,0.004850,9.838144,206.183896,5.040968,0.717720,0.723329,3
9,0.000000,19191,0,19191,0.000000,0.005243,7.257609,190.732298,2.387695,0.881173,0.889815,3
9,1.000000,19387,194,19193,1.010785,0.005220,7.331024,191.582465,2.394344,0.881173,0.889815,3
9,5.000000,20154,960,19194,5.001563,0.005114,7.621079,195.556704,2.419766,0.881173,0.889815,3
9,10.000000,21307,2112,19195,11.002865,0.004965,8.056803,201.414621,2.453398,0.881173,0.889815,3
