Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,1199,0,1199,0.000000,0.002240,6.976432,446.491660,0.449219,0.264040,0.297781,1
1,1.000000,1214,15,1199,1.251043,0.002226,7.063770,449.286455,0.449219,0.264040,0.297781,1
1,5.000000,1254,55,1199,4.587156,0.002189,7.296669,456.739241,0.449219,0.264040,0.297781,1
1,10.000000,1328,129,1199,10.758966,0.002125,7.727533,470.526895,0.449219,0.264040,0.297781,1
1,25.000000,1574,375,1199,31.276063,0.001938,9.159866,515.988891,0.448469,0.264040,0.297781,1
2,0.000000,1199,0,1199,0.000000,0.002260,6.962355,442.540292,0.512695,0.632755,0.649521,2
2,1.000000,1215,15,1200,1.250000,0.002246,7.049535,445.329704,0.512695,0.632755,0.649521,2
2,5.000000,1256,55,1201,4.579517,0.002209,7.281994,452.768056,0.512695,0.632755,0.649521,2
2,10.000000,1329,128,1201,10.657785,0.002144,7.710859,466.352235,0.515604,0.632755,0.649521,2
2,25.000000,1576,375,1201,31.223980,0.001954,9.141615,511.728327,0.515613,0.632755,0.649521,2
3,0.000000,1199,0,1199,0.000000,0.002378,6.950576,420.466530,0.825195,0.638221,0.640865,2
3,1.000000,1215,15,1200,1.250000,0.002365,7.037676,422.902126,0.830609,0.638221,0.640865,2
3,5.000000,1255,55,1200,4.583333,0.002325,7.269659,430.150141,0.833316,0.638221,0.640865,2
3,10.000000,1328,129,1199,10.758966,0.002257,7.698964,443.011247,0.846852,0.638221,0.640865,2
3,25.000000,1573,371,1202,30.865225,0.002059,9.107976,485.617468,0.872341,0.638221,0.640865,2
4,0.000000,1199,0,1199,0.000000,0.004886,6.953909,204.659041,2.011719,0.784274,0.812248,2
4,1.000000,1214,15,1199,1.251043,0.004859,7.040941,205.804552,2.016073,0.784274,0.812248,2
4,5.000000,1254,55,1199,4.587156,0.004775,7.273169,209.410317,2.029863,0.784274,0.812248,2
4,10.000000,1329,129,1200,10.750000,0.004636,7.702737,215.689122,2.053814,0.784274,0.812248,2
4,25.000000,1574,374,1200,31.166667,0.004261,9.121708,234.670080,2.123195,0.784274,0.812248,2
5,0.000000,1199,0,1199,0.000000,0.005884,6.979241,169.957371,4.628906,0.566964,0.575949,2
5,1.000000,1215,15,1200,1.250000,0.005843,7.066703,171.131056,4.643953,0.566964,0.575949,2
5,5.000000,1254,54,1200,4.500000,0.005739,7.296028,174.240074,4.684116,0.566964,0.575949,2
5,10.000000,1328,127,1201,10.574521,0.005545,7.725326,180.334257,4.764263,0.566964,0.575949,2
5,25.000000,1573,372,1201,30.974188,0.005103,9.156403,195.973430,4.939749,0.566964,0.575949,2
6,0.000000,1199,0,1199,0.000000,0.002378,6.950371,420.465709,0.888672,0.758814,0.768910,3
6,1.000000,1218,15,1203,1.246883,0.002365,7.037486,422.901384,0.894859,0.758814,0.768910,3
6,5.000000,1257,55,1202,4.575707,0.002325,7.269453,430.149341,0.897953,0.758814,0.768910,3
6,10.000000,1330,129,1201,10.741049,0.002257,7.698759,443.010476,0.913984,0.758814,0.768910,3
6,25.000000,1575,370,1205,30.705394,0.002061,9.104865,485.262960,0.948416,0.758814,0.768910,3
7,0.000000,1199,0,1199,0.000000,0.004970,6.947860,201.221464,2.075195,0.858948,0.877561,3
7,1.000000,1216,15,1201,1.248959,0.004942,7.034868,202.367025,2.079621,0.858948,0.877561,3
