Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,26945,0,26945,0.000000,0.000401,40.238450,2495.532734,1.425781,0.519878,0.590707,2
1,1.000000,27212,266,26946,0.977510,0.000399,40.635801,2508.026519,1.427269,0.519878,0.590707,2
1,5.000000,28329,1382,26947,4.878393,0.000391,42.302424,2559.679970,1.438572,0.519878,0.590707,2
1,10.000000,29915,2968,26947,9.921444,0.000380,44.671130,2633.535825,1.451660,0.519878,0.590707,2
1,25.000000,35884,8935,26949,24.902463,0.000344,53.582967,2910.576117,1.506479,0.519878,0.590707,2
2,0.000000,26945,0,26945,0.000000,0.000401,40.238450,2495.532734,1.425781,0.519878,0.590707,2
2,1.000000,27212,266,26946,0.977510,0.000399,40.635801,2508.026519,1.427269,0.519878,0.590707,2
2,5.000000,28329,1382,26947,4.878393,0.000391,42.302424,2559.679970,1.438572,0.519878,0.590707,2
2,10.000000,29915,2968,26947,9.921444,0.000380,44.671130,2633.535825,1.451660,0.519878,0.590707,2
2,25.000000,35884,8935,26949,24.902463,0.000344,53.582967,2910.576117,1.506479,0.519878,0.590707,2
3,0.000000,26946,0,26946,0.000000,0.000401,40.229091,2494.582500,1.572266,0.737611,0.788676,3
3,1.000000,27215,266,26949,0.977402,0.000399,40.626436,2507.121050,1.573813,0.737611,0.788676,3
3,5.000000,28333,1382,26951,4.877704,0.000391,42.292633,2558.702500,1.588473,0.737611,0.788676,3
3,10.000000,29915,2964,26951,9.914758,0.000380,44.656092,2632.522770,1.603820,0.737611,0.788676,3
3,25.000000,35888,8934,26954,24.899688,0.000344,53.569326,2909.429629,1.674889,0.737611,0.788676,3
4,0.000000,26946,0,26946,0.000000,0.000401,40.229091,2494.582500,1.572266,0.737611,0.788676,3
4,1.000000,27215,266,26949,0.977402,0.000399,40.626436,2507.121050,1.573813,0.737611,0.788676,3
4,5.000000,28333,1382,26951,4.877704,0.000391,42.292633,2558.702500,1.588473,0.737611,0.788676,3
4,10.000000,29915,2964,26951,9.914758,0.000380,44.656092,2632.522770,1.603820,0.737611,0.788676,3
4,25.000000,35888,8934,26954,24.899688,0.000344,53.569326,2909.429629,1.674889,0.737611,0.788676,3
5,0.000000,26886,0,26886,0.000000,0.000407,39.917055,2455.794697,1.572266,0.680451,0.728041,3
5,1.000000,27156,266,26890,0.979526,0.000405,40.312152,2468.126656,1.574348,0.680451,0.728041,3
5,5.000000,28267,1377,26890,4.878480,0.000397,41.962738,2519.052818,1.587334,0.680451,0.728041,3
5,10.000000,29848,2956,26892,9.910212,0.000386,44.308147,2591.670977,1.604313,0.680451,0.728041,3
5,25.000000,35805,8909,26896,24.893171,0.000349,53.147151,2864.525221,1.673105,0.680451,0.728041,3
6,0.000000,26886,0,26886,0.000000,0.000407,39.917055,2455.794697,1.572266,0.680451,0.728041,3
6,1.000000,27156,266,26890,0.979526,0.000405,40.312152,2468.126656,1.574348,0.680451,0.728041,3
6,5.000000,28267,1377,26890,4.878480,0.000397,41.962738,2519.052818,1.587334,0.680451,0.728041,3
6,10.000000,29848,2956,26892,9.910212,0.000386,44.308147,2591.670977,1.604313,0.680451,0.728041,3
6,25.000000,35805,8909,26896,24.893171,0.000349,53.147151,2864.525221,1.673105,0.680451,0.728041,3
