Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,26945,0,26945,0.000000,0.006213,40.238450,160.953799,1.425781,1.000000,1.000000,2
1,1.000000,27212,266,26946,0.977510,0.006182,40.635801,161.748549,1.427269,1.000000,1.000000,2
1,5.000000,28329,1382,26947,4.878393,0.006058,42.302424,165.081843,1.438572,1.000000,1.000000,2
1,10.000000,29915,2968,26947,9.921444,0.005889,44.671130,169.819256,1.451660,1.000000,1.000000,2
1,25.000000,35884,8935,26949,24.902463,0.005329,53.582967,187.642978,1.506479,1.000000,1.000000,2
2,0.000000,26945,0,26945,0.000000,0.006213,40.238450,160.953799,1.425781,1.000000,1.000000,2
2,1.000000,27212,266,26946,0.977510,0.006182,40.635801,161.748549,1.427269,1.000000,1.000000,2
2,5.000000,28329,1382,26947,4.878393,0.006058,42.302424,165.081843,1.438572,1.000000,1.000000,2
2,10.000000,29915,2968,26947,9.921444,0.005889,44.671130,169.819256,1.451660,1.000000,1.000000,2
2,25.000000,35884,8935,26949,24.902463,0.005329,53.582967,187.642978,1.506479,1.000000,1.000000,2
3,0.000000,26946,0,26946,0.000000,0.006214,40.229091,160.916363,1.572266,1.000000,1.000000,3
3,1.000000,27215,266,26949,0.977402,0.006184,40.626436,161.711125,1.573813,1.000000,1.000000,3
3,5.000000,28333,1382,26951,4.877704,0.006059,42.292633,165.043567,1.588473,1.000000,1.000000,3
3,10.000000,29915,2964,26951,9.914758,0.005890,44.656092,169.770437,1.603820,1.000000,1.000000,3
3,25.000000,35888,8934,26954,24.899688,0.005331,53.569326,187.596977,1.674889,1.000000,1.000000,3
4,0.000000,26946,0,26946,0.000000,0.006214,40.229091,160.916363,1.572266,1.000000,1.000000,3
4,1.000000,27215,266,26949,0.977402,0.006184,40.626436,161.711125,1.573813,1.000000,1.000000,3
4,5.000000,28333,1382,26951,4.877704,0.006059,42.292633,165.043567,1.588473,1.000000,1.000000,3
4,10.000000,29915,2964,26951,9.914758,0.005890,44.656092,169.770437,1.603820,1.000000,1.000000,3
4,25.000000,35888,8934,26954,24.899688,0.005331,53.569326,187.596977,1.674889,1.000000,1.000000,3
5,0.000000,26886,0,26886,0.000000,0.006263,39.917055,159.668219,1.572266,1.000000,1.000000,3
5,1.000000,27156,266,26890,0.979526,0.006232,40.312152,160.458558,1.574348,1.000000,1.000000,3
5,5.000000,28267,1377,26890,4.878480,0.006107,41.962738,163.759682,1.587334,1.000000,1.000000,3
5,10.000000,29848,2956,26892,9.910212,0.005936,44.308147,168.450547,1.604313,1.000000,1.000000,3
5,25.000000,35805,8909,26896,24.893171,0.005373,53.147151,186.128626,1.673105,1.000000,1.000000,3
6,0.000000,26886,0,26886,0.000000,0.006263,39.917055,159.668219,1.572266,1.000000,1.000000,3
