Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,13440,0,13440,0.000000,0.003223,39.444386,310.283179,1.425781,0.750268,0.986610,2
1,1.000000,13573,131,13442,0.965151,0.003207,39.828933,311.792174,1.428756,0.750268,0.986610,2
1,5.000000,14078,637,13441,4.524790,0.003148,41.314097,317.627725,1.439464,0.750268,0.986610,2
1,10.000000,14884,1443,13441,9.694974,0.003059,43.679842,326.927208,1.456121,0.750268,0.986610,2
1,25.000000,17855,4411,13444,24.721367,0.002768,52.395898,361.263247,1.509926,0.750268,0.986610,2
2,0.000000,13440,0,13440,0.000000,0.003223,39.444386,310.283179,1.425781,0.750268,0.999665,2
2,1.000000,13573,131,13442,0.965151,0.003207,39.828933,311.792174,1.428756,0.750268,0.999665,2
2,5.000000,14078,637,13441,4.524790,0.003148,41.314097,317.627725,1.439464,0.750268,0.999665,2
2,10.000000,14884,1443,13441,9.694974,0.003059,43.679842,326.927208,1.456121,0.750268,0.999665,2
2,25.000000,17855,4411,13444,24.721367,0.002768,52.395898,361.263247,1.509926,0.750268,0.999665,2
3,0.000000,13441,0,13441,0.000000,0.003223,39.440439,310.267390,1.572266,0.833512,0.991073,3
3,1.000000,13574,131,13443,0.965080,0.003207,39.824920,311.776205,1.576062,0.833512,0.991073,3
3,5.000000,14083,642,13441,4.558688,0.003148,41.324559,317.658320,1.591180,0.833512,0.991073,3
3,10.000000,14888,1443,13445,9.692370,0.003059,43.675513,326.916576,1.610234,0.833512,0.991073,3
3,25.000000,17864,4414,13450,24.725705,0.002768,52.401542,361.272609,1.681565,0.833512,0.991073,3
4,0.000000,13441,0,13441,0.000000,0.003223,39.440439,310.267390,1.572266,0.833512,0.999777,3
4,1.000000,13574,131,13443,0.965080,0.003207,39.824920,311.776205,1.576062,0.833512,0.999777,3
4,5.000000,14083,642,13441,4.558688,0.003148,41.324559,317.658320,1.591180,0.833512,0.999777,3
4,10.000000,14888,1443,13445,9.692370,0.003059,43.675513,326.916576,1.610234,0.833512,0.999777,3
4,25.000000,17864,4414,13450,24.725705,0.002768,52.401542,361.272609,1.681565,0.833512,0.999777,3
5,0.000000,13444,0,13444,0.000000,0.003249,39.286407,307.807274,1.572266,0.833513,0.993026,3
5,1.000000,13579,131,13448,0.964725,0.003233,39.669354,309.309866,1.575240,0.833513,0.993026,3
5,5.000000,14086,639,13447,4.536419,0.003174,41.154008,315.108431,1.589951,0.833513,0.993026,3
5,10.000000,14887,1438,13449,9.659434,0.003084,43.486422,324.251114,1.609658,0.833513,0.993026,3
5,25.000000,17865,4410,13455,24.696334,0.002791,52.178472,358.348125,1.680449,0.833513,0.993026,3
