Composition,Failure_Rate_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,0.018116,6.900000,55.200000,0.449219,0.762681,0.606884,1
1,1.000000,0.018003,6.986395,55.545580,0.449219,0.762681,0.606884,1
1,5.000000,0.017460,7.418369,57.273478,0.449219,0.762681,0.606884,1
1,10.000000,0.016850,7.936739,59.346955,0.449219,0.762681,0.606884,1
1,25.000000,0.015172,9.578242,65.912968,0.449219,0.762681,0.606884,1
2,0.000000,0.018182,6.900000,55.000000,0.512695,0.882299,0.803832,2
2,1.000000,0.018068,6.986399,55.345596,0.512695,0.882299,0.803832,2
2,5.000000,0.017521,7.418394,57.073577,0.512695,0.882299,0.803832,2
2,10.000000,0.016906,7.938050,59.149677,0.513496,0.882299,0.803832,2
2,25.000000,0.015298,9.578371,65.367886,0.507152,0.882299,0.803832,2
3,0.000000,0.018657,6.900000,53.600000,0.825195,0.677404,0.806731,2
3,1.000000,0.018537,6.986398,53.945592,0.825195,0.677404,0.806731,2
3,5.000000,0.017962,7.418388,55.673552,0.825195,0.677404,0.806731,2
3,10.000000,0.017421,7.936780,57.401520,0.906406,0.677404,0.806731,2
3,25.000000,0.015675,9.578340,63.794968,0.860803,0.677404,0.806731,2
4,0.000000,0.021186,6.900000,47.200000,4.628906,0.900128,0.728426,2
4,1.000000,0.021032,6.986397,47.545587,4.628906,0.900128,0.728426,2
4,5.000000,0.020366,7.418384,49.100736,4.674047,0.900128,0.728426,2
4,10.000000,0.019674,7.936771,50.828685,4.764328,0.900128,0.728426,2
4,25.000000,0.017614,9.613587,56.774221,4.963315,0.900128,0.728426,2
5,0.000000,0.023364,6.900000,42.800000,2.011719,0.971774,0.945565,2
5,1.000000,0.023177,6.986397,43.145587,2.011719,0.971774,0.945565,2
5,5.000000,0.022371,7.418381,44.700730,2.022605,0.971774,0.945565,2
5,10.000000,0.021671,7.881000,46.144348,2.048239,0.971774,0.945565,2
5,25.000000,0.019381,9.483889,51.596444,2.108689,0.971774,0.945565,2
6,0.000000,0.018904,6.900000,52.900000,0.888672,0.930769,0.871154,3
6,1.000000,0.018781,6.986398,53.245592,0.888672,0.930769,0.871154,3
6,5.000000,0.018191,7.418388,54.973552,0.888672,0.930769,0.871154,3
6,10.000000,0.017671,7.968112,56.591383,1.001373,0.930769,0.871154,3
6,25.000000,0.015871,9.578340,63.008568,0.930081,0.930769,0.871154,3
7,0.000000,0.021186,6.900000,47.200000,4.692383,0.932671,0.822369,3
7,1.000000,0.021032,6.986397,47.545587,4.692383,0.932671,0.822369,3
7,5.000000,0.020366,7.418383,49.100733,4.738680,0.932671,0.822369,3
7,10.000000,0.019671,7.941198,50.837538,4.834087,0.932671,0.822369,3
7,25.000000,0.017582,9.664712,56.876471,5.062762,0.932671,0.822369,3
8,0.000000,0.023364,6.900000,42.800000,2.075195,0.980874,0.965847,3
8,1.000000,0.023177,6.986397,43.145587,2.075195,0.980874,0.965847,3
8,5.000000,0.022371,7.418381,44.700731,2.086261,0.980874,0.965847,3
8,10.000000,0.021626,7.929315,46.240979,2.119938,0.980874,0.965847,3
8,25.000000,0.019242,9.583942,51.969344,2.175504,0.980874,0.965847,3
9,0.000000,0.021186,6.900000,47.200000,5.004883,0.816752,0.852284,3
9,1.000000,0.021032,6.986397,47.545587,5.004883,0.816752,0.852284,3
9,5.000000,0.020366,7.418384,49.100736,5.061309,0.816752,0.852284,3
9,10.000000,0.019674,7.936771,50.828685,5.174160,0.816752,0.852284,3
9,25.000000,0.017841,9.425088,56.051635,5.257741,0.816752,0.852284,3
10,0.000000,0.023364,6.900000,42.800000,2.387695,0.854167,0.983025,3
10,1.000000,0.023177,6.986397,43.145587,2.387695,0.854167,0.983025,3
10,5.000000,0.022371,7.418381,44.700731,2.400195,0.854167,0.983025,3
10,10.000000,0.021654,7.899342,46.181032,2.488491,0.854167,0.983025,3
10,25.000000,0.019421,9.517484,51.490840,2.544281,0.854167,0.983025,3
11,0.000000,0.023364,6.900000,42.800000,6.191406,0.970833,0.966667,3
11,1.000000,0.023177,6.986397,43.145587,6.191406,0.970833,0.966667,3
11,5.000000,0.022371,7.418384,44.700736,6.236547,0.970833,0.966667,3
11,10.000000,0.021666,7.886303,46.154954,6.339587,0.970833,0.966667,3
11,25.000000,0.019497,9.416821,51.289513,6.575181,0.970833,0.966667,3
12,0.000000,0.021505,6.900000,46.500000,5.068359,0.971939,0.889213,4
12,1.000000,0.021347,6.986397,46.845587,5.068359,0.971939,0.889213,4
12,5.000000,0.020661,7.418384,48.400736,5.124785,0.971939,0.889213,4
12,10.000000,0.019944,7.942006,50.139154,5.240959,0.971939,0.889213,4
12,25.000000,0.017911,9.513540,55.833079,5.416271,0.971939,0.889213,4
13,0.000000,0.023753,6.900000,42.100000,2.451172,1.000000,0.987269,4
13,1.000000,0.023560,6.986397,42.445587,2.451172,1.000000,0.987269,4
13,5.000000,0.022727,7.418381,44.000731,2.463671,1.000000,0.987269,4
13,10.000000,0.022036,7.935628,45.380806,2.586602,1.000000,0.987269,4
13,25.000000,0.019631,9.592499,50.940870,2.591505,1.000000,0.987269,4
14,0.000000,0.023364,6.900000,42.800000,6.254883,0.977564,0.977564,4
14,1.000000,0.023177,6.986397,43.145587,6.254883,0.977564,0.977564,4
14,5.000000,0.022363,7.426282,44.716532,6.306194,0.977564,0.977564,4
14,10.000000,0.021662,7.890729,46.163807,6.409346,0.977564,0.977564,4
14,25.000000,0.019425,9.511814,51.479501,6.653289,0.977564,0.977564,4
15,0.000000,0.023364,6.900000,42.800000,6.567383,0.890625,1.000000,4
15,1.000000,0.023177,6.986397,43.145587,6.567383,0.890625,1.000000,4
15,5.000000,0.022371,7.418384,44.700736,6.623809,0.890625,1.000000,4
15,10.000000,0.021666,7.886303,46.154954,6.749419,0.890625,1.000000,4
15,25.000000,0.019743,9.270060,50.650405,6.905867,0.890625,1.000000,4
16,0.000000,0.023753,6.900000,42.100000,6.630859,1.000000,1.000000,5
16,1.000000,0.023560,6.986397,42.445587,6.630859,1.000000,1.000000,5
16,5.000000,0.022697,7.477072,44.059424,6.718807,1.000000,1.000000,5
16,10.000000,0.022046,7.839175,45.360699,6.781398,1.000000,1.000000,5
16,25.000000,0.019862,9.407963,50.347495,7.066976,1.000000,1.000000,5
