Composition,Failure_Rate_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,0.018116,6.900000,55.200000,0.449219,1.000000,1.000000,1
1,1.000000,0.018003,6.986395,55.545580,0.449219,1.000000,1.000000,1
1,5.000000,0.017460,7.418369,57.273478,0.449219,1.000000,1.000000,1
1,10.000000,0.016850,7.936739,59.346955,0.449219,1.000000,1.000000,1
1,25.000000,0.015172,9.578242,65.912968,0.449219,1.000000,1.000000,1
2,0.000000,0.018116,6.900000,55.200000,0.512695,1.000000,1.000000,2
2,1.000000,0.018003,6.986399,55.545596,0.512695,1.000000,1.000000,2
2,5.000000,0.017460,7.418394,57.273577,0.512695,1.000000,1.000000,2
2,10.000000,0.016849,7.938050,59.352200,0.513496,1.000000,1.000000,2
2,25.000000,0.015251,9.578371,65.567886,0.507152,1.000000,1.000000,2
3,0.000000,0.018116,6.900000,55.200000,0.825195,1.000000,1.000000,2
3,1.000000,0.018003,6.986398,55.545592,0.825195,1.000000,1.000000,2
3,5.000000,0.017460,7.418388,57.273552,0.825195,1.000000,1.000000,2
3,10.000000,0.016850,7.936780,59.347120,0.906406,1.000000,1.000000,2
3,25.000000,0.015251,9.578340,65.567768,0.860803,1.000000,1.000000,2
4,0.000000,0.018116,6.900000,55.200000,4.628906,1.000000,1.000000,2
4,1.000000,0.018003,6.986397,55.545587,4.628906,1.000000,1.000000,2
4,5.000000,0.017460,7.418384,57.273536,4.674047,1.000000,1.000000,2
4,10.000000,0.016850,7.936771,59.347085,4.764328,1.000000,1.000000,2
4,25.000000,0.015139,9.613587,66.054349,4.963315,1.000000,1.000000,2
5,0.000000,0.018116,6.900000,55.200000,2.011719,1.000000,1.000000,2
5,1.000000,0.018003,6.986397,55.545587,2.011719,1.000000,1.000000,2
5,5.000000,0.017460,7.418381,57.273524,2.022605,1.000000,1.000000,2
5,10.000000,0.016914,7.881000,59.123998,2.048239,1.000000,1.000000,2
5,25.000000,0.015259,9.483889,65.535557,2.108689,1.000000,1.000000,2
6,0.000000,0.018116,6.900000,55.200000,0.888672,1.000000,1.000000,3
6,1.000000,0.018003,6.986398,55.545592,0.888672,1.000000,1.000000,3
6,5.000000,0.017460,7.418388,57.273552,0.888672,1.000000,1.000000,3
6,10.000000,0.016815,7.968112,59.472446,1.001373,1.000000,1.000000,3
6,25.000000,0.015251,9.578340,65.567768,0.930081,1.000000,1.000000,3
7,0.000000,0.018116,6.900000,55.200000,4.692383,1.000000,1.000000,3
7,1.000000,0.018003,6.986397,55.545587,4.692383,1.000000,1.000000,3
7,5.000000,0.017460,7.418383,57.273531,4.738680,1.000000,1.000000,3
7,10.000000,0.016845,7.941198,59.364791,4.834087,1.000000,1.000000,3
7,25.000000,0.015092,9.664712,66.258850,5.062762,1.000000,1.000000,3
8,0.000000,0.018116,6.900000,55.200000,2.075195,1.000000,1.000000,3
8,1.000000,0.018003,6.986397,55.545587,2.075195,1.000000,1.000000,3
8,5.000000,0.017460,7.418381,57.273525,2.086261,1.000000,1.000000,3
8,10.000000,0.016858,7.929315,59.317260,2.119938,1.000000,1.000000,3
8,25.000000,0.015166,9.583942,65.935769,2.175504,1.000000,1.000000,3
9,0.000000,0.018116,6.900000,55.200000,5.004883,1.000000,1.000000,3
