Composition,Failure_Rate_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,0.002264,6.900000,441.600000,0.449219,0.264040,0.297781,1
1,1.000000,0.002254,6.964798,443.673533,0.449219,0.264040,0.297781,1
1,5.000000,0.002183,7.418383,458.188262,0.449219,0.264040,0.297781,1
1,10.000000,0.002125,7.807171,470.629459,0.449219,0.264040,0.297781,1
1,25.000000,0.001922,9.427118,520.394246,0.445000,0.264040,0.297781,1
2,0.000000,0.002280,6.900000,438.600000,0.512695,0.632755,0.649521,2
2,1.000000,0.002269,6.964794,440.673413,0.512695,0.632755,0.649521,2
2,5.000000,0.002197,7.418353,455.187302,0.512695,0.632755,0.649521,2
2,10.000000,0.002138,7.807118,467.627779,0.512695,0.632755,0.649521,2
2,25.000000,0.001932,9.400827,517.466985,0.537228,0.632755,0.649521,2
3,0.000000,0.002395,6.900000,417.600000,0.825195,0.638221,0.640865,2
3,1.000000,0.002383,6.964798,419.673552,0.825195,0.638221,0.640865,2
3,5.000000,0.002303,7.418388,434.188416,0.825195,0.638221,0.640865,2
3,10.000000,0.002239,7.807179,446.629728,0.825195,0.638221,0.640865,2
3,25.000000,0.002022,9.444087,494.614510,0.894066,0.638221,0.640865,2
4,0.000000,0.004946,6.900000,202.200000,2.011719,0.784274,0.812248,2
4,1.000000,0.004945,6.964798,202.232399,2.011719,0.784274,0.812248,2
4,5.000000,0.004794,7.418386,208.582727,2.036214,0.784274,0.812248,2
4,10.000000,0.004743,7.807173,210.818298,2.044380,0.784274,0.812248,2
4,25.000000,0.004311,9.425410,231.985000,2.125815,0.784274,0.812248,2
5,0.000000,0.005981,6.900000,167.200000,4.628906,0.566964,0.575949,2
5,1.000000,0.005972,6.964798,167.459190,4.628906,0.566964,0.575949,2
5,5.000000,0.005784,7.418386,172.902342,4.696617,0.566964,0.575949,2
5,10.000000,0.005615,7.807176,178.086304,4.764328,0.566964,0.575949,2
5,25.000000,0.005231,9.415222,191.183584,4.865895,0.566964,0.575949,2
6,0.000000,0.002395,6.900000,417.600000,0.888672,0.758814,0.768910,3
6,1.000000,0.002383,6.964798,419.673552,0.888672,0.758814,0.768910,3
6,5.000000,0.002303,7.418388,434.188416,0.888672,0.758814,0.768910,3
6,10.000000,0.002239,7.807179,446.629728,0.888672,0.758814,0.768910,3
6,25.000000,0.002022,9.426514,494.579363,0.960461,0.758814,0.768910,3
7,0.000000,0.005020,6.900000,199.200000,2.075195,0.858948,0.877561,3
7,1.000000,0.005019,6.964798,199.232399,2.075195,0.858948,0.877561,3
7,5.000000,0.004864,7.418380,205.582530,2.100092,0.858948,0.877561,3
7,10.000000,0.004812,7.807165,207.818036,2.108391,0.858948,0.877561,3
7,25.000000,0.004407,9.427101,226.933227,2.160422,0.858948,0.877561,3
8,0.000000,0.006090,6.900000,164.200000,4.692383,0.717720,0.723329,3
8,1.000000,0.006081,6.964798,164.459190,4.692383,0.717720,0.723329,3
8,5.000000,0.005886,7.418383,169.902246,4.761828,0.717720,0.723329,3
8,10.000000,0.005711,7.807170,175.086112,4.831274,0.717720,0.723329,3
8,25.000000,0.005205,9.530261,192.124029,5.025437,0.717720,0.723329,3
9,0.000000,0.005612,6.900000,178.200000,2.387695,0.881173,0.889815,3
9,1.000000,0.005611,6.964798,178.232399,2.387695,0.881173,0.889815,3
9,5.000000,0.005418,7.418388,184.582794,2.415820,0.881173,0.889815,3
9,10.000000,0.005353,7.807176,186.818388,2.425195,0.881173,0.889815,3
9,25.000000,0.004895,9.444307,204.283901,2.599625,0.881173,0.889815,3
10,0.000000,0.006983,6.900000,143.200000,5.004883,0.773810,0.765476,3
10,1.000000,0.006971,6.964798,143.459190,5.004883,0.773810,0.765476,3
10,5.000000,0.006716,7.418386,148.902342,5.089521,0.773810,0.765476,3
10,10.000000,0.006490,7.807176,154.086304,5.174160,0.773810,0.765476,3
10,25.000000,0.006165,9.365959,162.205187,5.255091,0.773810,0.765476,3
11,0.000000,0.007112,6.900000,140.600000,6.191406,0.937500,0.943490,3
11,1.000000,0.007111,6.964798,140.632399,6.191406,0.937500,0.943490,3
11,5.000000,0.006889,7.418388,145.168394,6.282129,0.937500,0.943490,3
11,10.000000,0.006653,7.841280,150.309716,6.344646,0.937500,0.943490,3
11,25.000000,0.006087,9.517962,164.274672,6.658613,0.937500,0.943490,3
12,0.000000,0.005612,6.900000,178.200000,2.451172,0.910880,0.923611,4
12,1.000000,0.005611,6.964798,178.232399,2.451172,0.910880,0.923611,4
12,5.000000,0.005418,7.418388,184.582794,2.479297,0.910880,0.923611,4
12,10.000000,0.005352,7.819112,186.842261,2.495083,0.910880,0.923611,4
12,25.000000,0.004807,9.526103,208.028341,2.674632,0.910880,0.923611,4
