Composition,Failure_Rate_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,0.018020,6.936592,55.492737,0.449219,0.762681,0.606884,1
1,1.000000,0.017936,7.001732,55.753298,0.449219,0.762681,0.606884,1
1,5.000000,0.017368,7.457713,57.577220,0.449219,0.762681,0.606884,1
1,10.000000,0.016909,7.848553,59.140582,0.449219,0.762681,0.606884,1
1,25.000000,0.015292,9.477056,65.394031,0.445000,0.762681,0.606884,1
2,0.000000,0.018102,6.930627,55.241846,0.512695,0.882299,0.803832,2
2,1.000000,0.018017,6.995763,55.502389,0.512695,0.882299,0.803832,2
2,5.000000,0.017445,7.451293,57.324509,0.512695,0.882299,0.803832,2
2,10.000000,0.016982,7.841747,58.886326,0.512695,0.882299,0.803832,2
2,25.000000,0.015335,9.442900,65.212266,0.537228,0.882299,0.803832,2
3,0.000000,0.018588,6.927272,53.796847,0.825195,0.677404,0.806731,2
3,1.000000,0.018499,6.992408,54.057391,0.825195,0.677404,0.806731,2
3,5.000000,0.017896,7.447400,55.877358,0.825195,0.677404,0.806731,2
3,10.000000,0.017410,7.837496,57.437742,0.825195,0.677404,0.806731,2
3,25.000000,0.015695,9.481412,63.716309,0.894066,0.677404,0.806731,2
4,0.000000,0.021024,6.960989,47.564030,4.628906,0.900128,0.728426,2
4,1.000000,0.020909,7.026363,47.825526,4.628906,0.900128,0.728426,2
4,5.000000,0.020246,7.483938,49.392616,4.696617,0.900128,0.728426,2
4,10.000000,0.019724,7.876319,50.698930,4.764328,0.900128,0.728426,2
4,25.000000,0.017725,9.496548,56.416758,4.865895,0.900128,0.728426,2
5,0.000000,0.023263,6.935177,42.986119,2.011719,0.971774,0.945565,2
5,1.000000,0.023123,7.000408,43.247042,2.011719,0.971774,0.945565,2
5,5.000000,0.022382,7.456261,44.678674,2.036214,0.971774,0.945565,2
5,10.000000,0.021688,7.846511,46.109084,2.044380,0.971774,0.945565,2
5,25.000000,0.019488,9.473331,51.312928,2.125815,0.971774,0.945565,2
6,0.000000,0.018837,6.927487,53.088197,0.888672,0.930769,0.871154,3
6,1.000000,0.018745,6.992623,53.348621,0.888672,0.930769,0.871154,3
6,5.000000,0.018126,7.447675,55.168948,0.888672,0.930769,0.871154,3
