Composition,Failure_Rate_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,0.017856,7.000492,56.003937,0.449219,1.000000,1.000000,1
1,1.000000,0.017717,7.110047,56.442159,0.449219,1.000000,1.000000,1
1,5.000000,0.017473,7.307247,57.230957,0.449219,1.000000,1.000000,1
1,10.000000,0.016904,7.789290,59.159130,0.449219,1.000000,1.000000,1
1,25.000000,0.015233,9.476442,65.644804,0.445001,1.000000,1.000000,1
2,0.000000,0.017904,6.981627,55.853016,0.512695,1.000000,1.000000,2
2,1.000000,0.017765,7.090946,56.290534,0.512695,1.000000,1.000000,2
2,5.000000,0.017520,7.287674,57.077682,0.512695,1.000000,1.000000,2
2,10.000000,0.016949,7.768416,59.000650,0.512695,1.000000,1.000000,2
2,25.000000,0.015255,9.450478,65.553846,0.523148,1.000000,1.000000,2
3,0.000000,0.017948,6.964712,55.717696,0.825195,1.000000,1.000000,2
3,1.000000,0.017808,7.073792,56.154495,0.825195,1.000000,1.000000,2
3,5.000000,0.017563,7.269970,56.938730,0.835347,1.000000,1.000000,2
3,10.000000,0.016990,7.749634,58.858345,0.835347,1.000000,1.000000,2
3,25.000000,0.015311,9.428300,65.311505,0.872204,1.000000,1.000000,2
4,0.000000,0.017882,6.990269,55.922152,4.628906,1.000000,1.000000,2
4,1.000000,0.017743,7.100054,56.361294,4.662762,1.000000,1.000000,2
4,5.000000,0.017498,7.296779,57.148913,4.674047,1.000000,1.000000,2
4,10.000000,0.016929,7.777420,59.070755,4.719188,1.000000,1.000000,2
4,25.000000,0.015206,9.477198,65.762985,4.939655,1.000000,1.000000,2
5,0.000000,0.017946,6.965237,55.721897,2.011719,1.000000,1.000000,2
5,1.000000,0.017807,7.074415,56.158607,2.019883,1.000000,1.000000,2
5,5.000000,0.017562,7.270207,56.942737,2.022605,1.000000,1.000000,2
5,10.000000,0.017007,7.734314,58.798207,2.045202,1.000000,1.000000,2
5,25.000000,0.015299,9.418958,65.363232,2.128132,1.000000,1.000000,2
6,0.000000,0.017949,6.964267,55.714134,0.888672,1.000000,1.000000,3
6,1.000000,0.017809,7.073287,56.150454,0.888672,1.000000,1.000000,3
6,5.000000,0.017564,7.269554,56.935522,0.900273,1.000000,1.000000,3
6,10.000000,0.016991,7.749038,58.853697,0.900273,1.000000,1.000000,3
6,25.000000,0.015285,9.434643,65.422025,0.960702,1.000000,1.000000,3
7,0.000000,0.017895,6.985264,55.882111,4.692383,1.000000,1.000000,3
7,1.000000,0.017755,7.094942,56.321061,4.727103,1.000000,1.000000,3
7,5.000000,0.017534,7.272410,57.030694,4.728966,1.000000,1.000000,3
7,10.000000,0.016941,7.772028,59.029406,4.784971,1.000000,1.000000,3
7,25.000000,0.015283,9.459800,65.432205,4.974955,1.000000,1.000000,3
8,0.000000,0.017967,6.957052,55.656416,2.075195,1.000000,1.000000,3
8,1.000000,0.017828,7.066110,56.092886,2.083493,1.000000,1.000000,3
8,5.000000,0.017582,7.261842,56.876776,2.086259,1.000000,1.000000,3
8,10.000000,0.017026,7.726674,58.735384,2.106634,1.000000,1.000000,3
8,25.000000,0.015273,9.455013,65.475673,2.213273,1.000000,1.000000,3
9,0.000000,0.017898,6.984069,55.872551,5.004883,1.000000,1.000000,3
9,1.000000,0.017759,7.093670,56.310956,5.047202,1.000000,1.000000,3
9,5.000000,0.017514,7.290123,57.096768,5.057354,1.000000,1.000000,3
9,10.000000,0.016943,7.770819,59.020030,5.113779,1.000000,1.000000,3
9,25.000000,0.015259,9.464979,65.534929,5.355364,1.000000,1.000000,3
10,0.000000,0.017981,6.951837,55.614696,2.387695,1.000000,1.000000,3
10,1.000000,0.017841,7.060674,56.050043,2.397069,1.000000,1.000000,3
10,5.000000,0.017595,7.256385,56.833369,2.407221,1.000000,1.000000,3
10,10.000000,0.017045,7.715154,58.668443,2.432509,1.000000,1.000000,3
10,25.000000,0.015270,9.441873,65.488081,2.625473,1.000000,1.000000,3
11,0.000000,0.017877,6.992274,55.938192,6.191406,1.000000,1.000000,3
11,1.000000,0.017737,7.102084,56.378392,6.225262,1.000000,1.000000,3
11,5.000000,0.017494,7.297936,57.161801,6.232932,1.000000,1.000000,3
11,10.000000,0.016928,7.775880,59.073574,6.318873,1.000000,1.000000,3
11,25.000000,0.015178,9.501086,65.885507,6.615215,1.000000,1.000000,3
12,0.000000,0.017899,6.983624,55.868989,5.068359,1.000000,1.000000,4
12,1.000000,0.017760,7.093285,56.307874,5.110679,1.000000,1.000000,4
12,5.000000,0.017515,7.289888,57.094768,5.124785,1.000000,1.000000,4
12,10.000000,0.016944,7.770342,59.016342,5.178706,1.000000,1.000000,4
12,25.000000,0.015289,9.433261,65.405795,5.404484,1.000000,1.000000,4
13,0.000000,0.017982,6.951392,55.611134,2.451172,1.000000,1.000000,4
13,1.000000,0.017842,7.060289,56.046961,2.460546,1.000000,1.000000,4
13,5.000000,0.017597,7.255788,56.828721,2.472147,1.000000,1.000000,4
13,10.000000,0.017046,7.714617,58.664275,2.497435,1.000000,1.000000,4
13,25.000000,0.015230,9.463058,65.659000,2.698211,1.000000,1.000000,4
14,0.000000,0.017890,6.987269,55.898151,6.254883,1.000000,1.000000,4
14,1.000000,0.017750,7.096911,56.337680,6.289603,1.000000,1.000000,4
14,5.000000,0.017531,7.272870,57.041276,6.291061,1.000000,1.000000,4
14,10.000000,0.016940,7.770307,59.030785,6.384657,1.000000,1.000000,4
14,25.000000,0.015217,9.463575,65.716820,6.710446,1.000000,1.000000,4
15,0.000000,0.017893,6.986074,55.888591,6.567383,1.000000,1.000000,4
15,1.000000,0.017754,7.095520,56.326614,6.609702,1.000000,1.000000,4
15,5.000000,0.017510,7.291111,57.108980,6.619854,1.000000,1.000000,4
