Composition,Failure_Rate_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,0.002232,7.000492,448.031500,0.449219,0.264040,0.297781,1
1,1.000000,0.002215,7.110047,451.537270,0.449219,0.264040,0.297781,1
1,5.000000,0.002184,7.307247,457.847655,0.449219,0.264040,0.297781,1
1,10.000000,0.002113,7.789290,473.273042,0.449219,0.264040,0.297781,1
1,25.000000,0.001904,9.476442,525.158433,0.445001,0.264040,0.297781,1
2,0.000000,0.002253,6.981627,443.769380,0.512695,0.632755,0.649521,2
2,1.000000,0.002236,7.090946,447.265925,0.512695,0.632755,0.649521,2
2,5.000000,0.002205,7.287674,453.559514,0.512695,0.632755,0.649521,2
2,10.000000,0.002132,7.768416,468.943255,0.512695,0.632755,0.649521,2
2,25.000000,0.001920,9.450478,520.731085,0.523148,0.632755,0.649521,2
3,0.000000,0.002373,6.964712,421.335234,0.825195,0.638221,0.640865,2
3,1.000000,0.002354,7.073792,424.822433,0.825195,0.638221,0.640865,2
3,5.000000,0.002323,7.269970,430.444628,0.835347,0.638221,0.640865,2
3,10.000000,0.002243,7.749634,445.787152,0.835347,0.638221,0.640865,2
3,25.000000,0.002021,9.428300,494.776918,0.872204,0.638221,0.640865,2
4,0.000000,0.004873,6.965237,205.217713,2.011719,0.784274,0.812248,2
4,1.000000,0.004823,7.074415,207.344065,2.019883,0.784274,0.812248,2
4,5.000000,0.004804,7.270207,208.147789,2.022605,0.784274,0.812248,2
4,10.000000,0.004671,7.734314,214.103922,2.045202,0.784274,0.812248,2
4,25.000000,0.004203,9.418958,237.910257,2.128132,0.784274,0.812248,2
5,0.000000,0.005873,6.990269,170.281467,4.628906,0.566964,0.575949,2
5,1.000000,0.005795,7.100054,172.573163,4.662762,0.566964,0.575949,2
5,5.000000,0.005748,7.296779,173.988380,4.674047,0.566964,0.575949,2
5,10.000000,0.005606,7.777420,178.370215,4.719188,0.566964,0.575949,2
5,25.000000,0.005058,9.477198,197.707902,4.939655,0.566964,0.575949,2
6,0.000000,0.002373,6.964267,421.333453,0.888672,0.758814,0.768910,3
6,1.000000,0.002354,7.073287,424.820412,0.888672,0.758814,0.768910,3
6,5.000000,0.002323,7.269554,430.443024,0.900273,0.758814,0.768910,3
6,10.000000,0.002243,7.749038,445.784828,0.900273,0.758814,0.768910,3
6,25.000000,0.002021,9.434643,494.832178,0.960702,0.758814,0.768910,3
7,0.000000,0.004959,6.957052,201.639112,2.075195,0.858948,0.877561,3
7,1.000000,0.004908,7.066110,203.759951,2.083493,0.858948,0.877561,3
7,5.000000,0.004889,7.261842,204.558157,2.086259,0.858948,0.877561,3
7,10.000000,0.004765,7.726674,209.855735,2.106634,0.858948,0.877561,3
7,25.000000,0.004242,9.455013,235.765008,2.213273,0.858948,0.877561,3
8,0.000000,0.005991,6.985264,166.906387,4.692383,0.717720,0.723329,3
8,1.000000,0.005910,7.094942,169.192959,4.727103,0.717720,0.723329,3
8,5.000000,0.005886,7.272410,169.896756,4.728966,0.717720,0.723329,3
8,10.000000,0.005715,7.772028,174.981071,4.784971,0.717720,0.723329,3
8,25.000000,0.005179,9.459800,193.091550,4.974955,0.717720,0.723329,3
9,0.000000,0.005557,6.951837,179.953766,2.387695,0.881173,0.889815,3
9,1.000000,0.005492,7.060674,182.069217,2.397069,0.881173,0.889815,3
9,5.000000,0.005488,7.256385,182.200437,2.407221,0.881173,0.889815,3
9,10.000000,0.005319,7.715154,187.993407,2.432509,0.881173,0.889815,3
9,25.000000,0.004829,9.441873,207.068965,2.625473,0.881173,0.889815,3
10,0.000000,0.006874,6.984069,145.478321,5.004883,0.773810,0.765476,3
10,1.000000,0.006768,7.093670,147.764129,5.047202,0.773810,0.765476,3
10,5.000000,0.006734,7.290123,148.506016,5.057354,0.773810,0.765476,3
10,10.000000,0.006541,7.770819,152.892001,5.113779,0.773810,0.765476,3
10,25.000000,0.005890,9.464979,169.768667,5.355364,0.773810,0.765476,3
11,0.000000,0.006965,6.992274,143.568900,6.191406,0.937500,0.943490,3
11,1.000000,0.006862,7.102084,145.719809,6.225262,0.937500,0.943490,3
11,5.000000,0.006854,7.297936,145.895517,6.232932,0.937500,0.943490,3
11,10.000000,0.006671,7.775880,149.907367,6.318873,0.937500,0.943490,3
11,25.000000,0.005999,9.501086,166.704194,6.615215,0.937500,0.943490,3
12,0.000000,0.005557,6.951392,179.951985,2.451172,0.910880,0.923611,4
12,1.000000,0.005492,7.060289,182.067676,2.460546,0.910880,0.923611,4
12,5.000000,0.005489,7.255788,182.198113,2.472147,0.910880,0.923611,4
12,10.000000,0.005319,7.714617,187.991323,2.497435,0.910880,0.923611,4
12,25.000000,0.004758,9.463058,210.175253,2.698211,0.910880,0.923611,4
13,0.000000,0.006874,6.983624,145.476540,5.068359,0.830357,0.830357,4
13,1.000000,0.006768,7.093285,147.762588,5.110679,0.830357,0.830357,4
13,5.000000,0.006704,7.289888,149.164803,5.124785,0.830357,0.830357,4
13,10.000000,0.006541,7.770342,152.890157,5.178706,0.830357,0.830357,4
13,25.000000,0.005962,9.433261,167.724741,5.404484,0.830357,0.830357,4
14,0.000000,0.007133,6.987269,140.193820,6.254883,0.957933,0.962139,4
14,1.000000,0.007026,7.096911,142.335764,6.289603,0.957933,0.962139,4
14,5.000000,0.007021,7.272870,142.427119,6.291061,0.957933,0.962139,4
14,10.000000,0.006826,7.770307,146.506703,6.384657,0.957933,0.962139,4
14,25.000000,0.006143,9.463575,162.795452,6.710446,0.957933,0.962139,4
15,0.000000,0.008420,6.986074,118.765754,6.567383,1.000000,0.993750,4
15,1.000000,0.008271,7.095520,120.899254,6.609702,1.000000,0.993750,4
15,5.000000,0.008262,7.291111,121.029994,6.619854,1.000000,0.993750,4
15,10.000000,0.007998,7.768868,125.032511,6.719901,1.000000,0.993750,4
15,25.000000,0.007427,9.503754,134.644953,7.010585,1.000000,0.993750,4
16,0.000000,0.008420,6.985629,118.763973,6.630859,1.000000,1.000000,5
16,1.000000,0.008271,7.095134,120.897713,6.673179,1.000000,1.000000,5
16,5.000000,0.008218,7.290876,121.688780,6.687285,1.000000,1.000000,5
16,10.000000,0.007998,7.768391,125.030667,6.784828,1.000000,1.000000,5
16,25.000000,0.007332,9.531046,136.383221,7.170466,1.000000,1.000000,5
