Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,4794,0,4794,0.000000,0.002173,7.192132,460.296460,0.449219,0.264040,0.297781,1
1,1.000000,4843,49,4794,1.011770,0.002161,7.265646,462.648894,0.449219,0.264040,0.297781,1
1,5.000000,5024,230,4794,4.578025,0.002122,7.537196,471.338499,0.449219,0.264040,0.297781,1
1,10.000000,5298,504,4794,9.513024,0.002064,7.948272,484.492929,0.449219,0.264040,0.297781,1
1,25.000000,6345,1551,4794,24.444444,0.001870,9.519062,534.758212,0.449219,0.264040,0.297781,1
2,0.000000,4793,0,4793,0.000000,0.002205,7.133931,453.502436,0.512695,0.632755,0.649521,2
2,1.000000,4846,51,4795,1.052414,0.002194,7.208402,455.839952,0.513616,0.632755,0.649521,2
2,5.000000,5024,229,4795,4.578025,0.002154,7.474991,464.278600,0.515531,0.632755,0.649521,2
2,10.000000,5300,504,4796,9.509434,0.002095,7.884288,477.424455,0.514523,0.632755,0.649521,2
2,25.000000,6348,1550,4798,24.417139,0.001898,9.441464,526.899893,0.521836,0.632755,0.649521,2
3,0.000000,4794,0,4794,0.000000,0.004770,7.055189,209.644081,2.011719,0.784274,0.812248,2
3,1.000000,4846,51,4795,1.052414,0.004745,7.130308,210.766623,2.015891,0.784274,0.812248,2
3,5.000000,5024,228,4796,4.558121,0.004649,7.391574,215.095543,2.032077,0.784274,0.812248,2
3,10.000000,5292,497,4795,9.410431,0.004536,7.787296,220.472750,2.052063,0.784274,0.812248,2
3,25.000000,6333,1536,4797,24.269698,0.004099,9.317656,243.975019,2.139723,0.784274,0.812248,2
4,0.000000,4795,0,4795,0.000000,0.002335,7.077536,428.292450,0.825195,0.638221,0.640865,2
4,1.000000,4845,50,4795,1.031992,0.002323,7.151350,430.476864,0.827902,0.638221,0.640865,2
4,5.000000,5024,227,4797,4.518312,0.002281,7.412680,438.394042,0.834670,0.638221,0.640865,2
4,10.000000,5302,503,4799,9.505847,0.002218,7.820617,450.943626,0.842339,0.638221,0.640865,2
4,25.000000,6351,1551,4800,24.437097,0.002009,9.368199,497.829752,0.882515,0.638221,0.640865,2
5,0.000000,4793,0,4793,0.000000,0.005785,7.077989,172.846012,4.628906,0.566964,0.575949,2
5,1.000000,4845,51,4794,1.052632,0.005754,7.153351,173.777216,4.640191,0.566964,0.575949,2
5,5.000000,5023,229,4794,4.559028,0.005642,7.416390,177.256087,4.683827,0.566964,0.575949,2
5,10.000000,5299,504,4795,9.511229,0.005490,7.822523,182.146288,4.742510,0.566964,0.575949,2
5,25.000000,6341,1545,4796,24.365242,0.004985,9.359788,200.598432,4.963699,0.566964,0.575949,2
6,0.000000,4796,0,4796,0.000000,0.002335,7.074847,428.281693,0.888672,0.758814,0.768910,3
6,1.000000,4851,51,4800,1.051330,0.002323,7.150147,430.513454,0.891906,0.758814,0.768910,3
6,5.000000,5028,227,4801,4.514718,0.002281,7.409861,438.338772,0.900554,0.758814,0.768910,3
6,10.000000,5300,498,4802,9.433962,0.002219,7.811367,450.698310,0.908985,0.758814,0.768910,3
6,25.000000,6345,1545,4800,24.397163,0.002010,9.356661,497.491184,0.957230,0.758814,0.768910,3
7,0.000000,4794,0,4794,0.000000,0.004880,7.029136,204.907528,2.075195,0.858948,0.877561,3
7,1.000000,4847,51,4796,1.052197,0.004855,7.103946,205.973811,2.080166,0.858948,0.877561,3
7,5.000000,5026,228,4798,4.556307,0.004755,7.364944,210.295298,2.096715,0.858948,0.877561,3
7,10.000000,5295,497,4798,9.405099,0.004639,7.758012,215.541693,2.115759,0.858948,0.877561,3
7,25.000000,6337,1534,4803,24.254379,0.004191,9.280905,238.595300,2.208068,0.858948,0.877561,3
8,0.000000,4793,0,4793,0.000000,0.006860,7.052766,145.767780,6.191406,0.937500,0.943490,3
8,1.000000,4848,51,4797,1.051980,0.006823,7.127915,146.557860,6.206782,0.937500,0.943490,3
8,5.000000,5022,226,4796,4.520112,0.006688,7.386510,149.526948,6.265277,0.937500,0.943490,3
8,10.000000,5289,492,4797,9.321233,0.006524,7.777577,153.291384,6.336864,0.937500,0.943490,3
8,25.000000,6344,1542,4802,24.353720,0.005891,9.325371,169.741371,6.660754,0.937500,0.943490,3
9,0.000000,4794,0,4794,0.000000,0.005927,7.061560,168.725395,4.692383,0.717720,0.723329,3
9,1.000000,4848,51,4797,1.051980,0.005896,7.136748,169.605804,4.704099,0.717720,0.723329,3
9,5.000000,5026,229,4797,4.556307,0.005783,7.397329,172.920649,4.747292,0.717720,0.723329,3
9,10.000000,5304,504,4800,9.502262,0.005629,7.803966,177.661335,4.805159,0.717720,0.723329,3
9,25.000000,6350,1547,4803,24.409449,0.005106,9.340464,195.835627,5.038735,0.717720,0.723329,3
10,0.000000,4794,0,4794,0.000000,0.006826,7.051761,146.497553,5.004883,0.773810,0.765476,3
10,1.000000,4848,51,4797,1.051980,0.006792,7.126869,147.240916,5.017935,0.773810,0.765476,3
10,5.000000,5019,223,4796,4.443116,0.006667,7.379928,150.001436,5.064464,0.773810,0.765476,3
10,10.000000,5294,498,4796,9.406876,0.006482,7.784496,154.268610,5.133017,0.773810,0.765476,3
10,25.000000,6348,1546,4802,24.432892,0.005867,9.327028,170.439532,5.404605,0.773810,0.765476,3
11,0.000000,4794,0,4794,0.000000,0.005497,7.007253,181.906310,2.387695,0.881173,0.889815,3
11,1.000000,4848,51,4797,1.051980,0.005469,7.081895,182.833886,2.394360,0.881173,0.889815,3
11,5.000000,5023,226,4797,4.519212,0.005359,7.339162,186.590012,2.417353,0.881173,0.889815,3
11,10.000000,5292,493,4799,9.334845,0.005226,7.729169,191.337693,2.442493,0.881173,0.889815,3
11,25.000000,6329,1528,4801,24.206036,0.004740,9.240202,210.968622,2.571368,0.881173,0.889815,3
12,0.000000,4795,0,4795,0.000000,0.006827,7.049072,146.486796,5.068359,0.830357,0.830357,4
12,1.000000,4850,51,4799,1.051546,0.006790,7.124131,147.274264,5.081965,0.830357,0.830357,4
12,5.000000,5021,223,4798,4.441346,0.006671,7.377102,149.901954,5.129004,0.830357,0.830357,4
12,10.000000,5294,495,4799,9.406876,0.006485,7.779375,154.209598,5.197994,0.830357,0.830357,4
12,25.000000,6346,1540,4806,24.346045,0.005869,9.316513,170.381330,5.476843,0.830357,0.830357,4
13,0.000000,4795,0,4795,0.000000,0.005498,7.004564,181.895553,2.451172,0.910880,0.923611,4
13,1.000000,4849,51,4798,1.051763,0.005470,7.079141,182.822952,2.458223,0.910880,0.923611,4
13,5.000000,5027,226,4801,4.515616,0.005360,7.336346,186.579026,2.482323,0.910880,0.923611,4
