Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,9597,0,9597,0.000000,0.016711,7.480312,59.842498,0.449219,1.000000,1.000000,1
1,1.000000,9694,97,9597,1.000619,0.016627,7.555919,60.144923,0.449219,1.000000,1.000000,1
1,5.000000,10058,461,9597,4.583416,0.016319,7.839638,61.279800,0.449219,1.000000,1.000000,1
1,10.000000,10644,1047,9597,9.836528,0.015846,8.296394,63.106826,0.449219,1.000000,1.000000,1
1,25.000000,12724,3127,9597,24.575605,0.014370,9.917646,69.591834,0.449219,1.000000,1.000000,1
2,0.000000,9594,0,9594,0.000000,0.016977,7.363119,58.904952,0.512695,1.000000,1.000000,2
2,1.000000,9692,97,9595,1.000825,0.016891,7.437599,59.202920,0.512695,1.000000,1.000000,2
2,5.000000,10057,460,9597,4.583872,0.016579,7.716440,60.318333,0.513727,1.000000,1.000000,2
2,10.000000,10642,1045,9597,9.838376,0.016099,8.166153,62.117137,0.516468,1.000000,1.000000,2
2,25.000000,12716,3116,9600,24.528154,0.014604,9.755206,68.473446,0.522042,1.000000,1.000000,2
3,0.000000,9587,0,9587,0.000000,0.017385,7.190213,57.521706,2.011719,1.000000,1.000000,2
3,1.000000,9682,94,9588,0.970874,0.017300,7.260719,57.803919,2.015438,1.000000,1.000000,2
3,5.000000,10048,460,9588,4.578025,0.016977,7.535403,58.902658,2.030766,1.000000,1.000000,2
3,10.000000,10625,1036,9589,9.750588,0.016493,7.967781,60.632360,2.054984,1.000000,1.000000,2
3,25.000000,12683,3092,9591,24.402744,0.014970,9.510209,66.801882,2.136503,1.000000,1.000000,2
4,0.000000,9598,0,9598,0.000000,0.017248,7.247108,57.976864,0.825195,1.000000,1.000000,2
4,1.000000,9695,96,9599,0.990201,0.017162,7.319629,58.267045,0.826549,1.000000,1.000000,2
4,5.000000,10059,459,9600,4.563078,0.016845,7.593752,59.363633,0.835008,1.000000,1.000000,2
4,10.000000,10641,1041,9600,9.782915,0.016361,8.032828,61.119935,0.845644,1.000000,1.000000,2
4,25.000000,12716,3113,9603,24.488833,0.014841,9.597996,67.380799,0.884768,1.000000,1.000000,2
5,0.000000,9590,0,9590,0.000000,0.017338,7.209785,57.678280,4.628906,1.000000,1.000000,2
5,1.000000,9688,97,9591,1.001239,0.017250,7.282746,57.970267,4.639439,1.000000,1.000000,2
5,5.000000,10052,460,9592,4.576204,0.016931,7.555671,59.062112,4.678561,1.000000,1.000000,2
5,10.000000,10633,1040,9593,9.790276,0.016445,7.992196,60.808214,4.743814,1.000000,1.000000,2
