Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,38462,0,38462,0.000000,0.013569,9.212212,73.697698,0.449219,0.762681,0.606884,1
1,1.000000,38849,387,38462,0.996165,0.013501,9.304905,74.068470,0.449219,0.762681,0.606884,1
1,5.000000,40443,1981,38462,4.898252,0.013228,9.686695,75.595629,0.449219,0.762681,0.606884,1
1,10.000000,42670,4208,38462,9.861730,0.012865,10.220099,77.729244,0.449219,0.762681,0.606884,1
1,25.000000,51199,12737,38462,24.877439,0.011641,12.262938,85.900599,0.449219,0.762681,0.606884,1
2,0.000000,38446,0,38446,0.000000,0.014346,8.740527,69.707942,0.512695,0.882299,0.803832,2
2,1.000000,38834,387,38447,0.996549,0.014274,8.828581,70.059771,0.512810,0.882299,0.803832,2
2,5.000000,40426,1977,38449,4.890417,0.013986,9.190005,71.500013,0.514409,0.882299,0.803832,2
2,10.000000,42653,4204,38449,9.856282,0.013602,9.696165,73.519171,0.516012,0.882299,0.803832,2
2,25.000000,51189,12737,38452,24.886206,0.012306,11.636489,81.260141,0.521964,0.882299,0.803832,2
3,0.000000,38429,0,38429,0.000000,0.020723,8.001977,48.256135,2.011719,0.971774,0.945565,2
3,1.000000,38816,387,38429,0.997012,0.020619,8.082540,48.499320,2.015638,0.971774,0.945565,2
3,5.000000,40398,1968,38430,4.871528,0.020207,8.412196,49.488886,2.031951,0.971774,0.945565,2
3,10.000000,42601,4170,38431,9.788503,0.019652,8.869082,50.885910,2.053293,0.971774,0.945565,2
3,25.000000,51117,12684,38433,24.817575,0.017784,10.642413,56.230987,2.139954,0.971774,0.945565,2
4,0.000000,38455,0,38455,0.000000,0.015553,8.265956,64.296271,0.825195,0.677404,0.806731,2
4,1.000000,38844,388,38456,0.998867,0.015475,8.349377,64.620479,0.827141,0.677404,0.806731,2
4,5.000000,40433,1976,38457,4.887097,0.015164,8.690720,65.946708,0.835177,0.677404,0.806731,2
4,10.000000,42654,4197,38457,9.839640,0.014746,9.168406,67.816246,0.843637,0.677404,0.806731,2
4,25.000000,51184,12725,38459,24.865192,0.013342,11.001955,74.949937,0.884797,0.677404,0.806731,2
5,0.000000,38435,0,38435,0.000000,0.018411,8.002073,54.314894,4.628906,0.900128,0.728426,2
5,1.000000,38825,389,38436,1.001932,0.018318,8.083094,54.590082,4.639439,0.900128,0.728426,2
5,5.000000,40415,1977,38438,4.896697,0.017950,8.413764,55.710250,4.683023,0.900128,0.728426,2
5,10.000000,42647,4211,38436,9.874083,0.017453,8.878583,57.297921,4.741570,0.900128,0.728426,2
5,25.000000,51134,12693,38441,24.828881,0.015798,10.644843,63.299030,4.970736,0.900128,0.728426,2
6,0.000000,38455,0,38455,0.000000,0.015764,8.239915,63.436637,0.888672,0.930769,0.871154,3
6,1.000000,38846,387,38459,0.996242,0.015684,8.322938,63.757220,0.890623,0.930769,0.871154,3
6,5.000000,40440,1979,38461,4.893670,0.015368,8.664050,65.069579,0.899955,0.930769,0.871154,3
6,10.000000,42663,4204,38459,9.853972,0.014944,9.141208,66.917237,0.910720,0.930769,0.871154,3
