Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,4794,0,4794,0.000000,0.017380,7.192132,57.537058,0.449219,0.762681,0.606884,1
1,1.000000,4843,49,4794,1.011770,0.017292,7.265646,57.831112,0.449219,0.762681,0.606884,1
1,5.000000,5024,230,4794,4.578025,0.016973,7.537196,58.917312,0.449219,0.762681,0.606884,1
1,10.000000,5298,504,4794,9.513024,0.016512,7.948272,60.561616,0.449219,0.762681,0.606884,1
1,25.000000,6345,1551,4794,24.444444,0.014960,9.519062,66.844776,0.449219,0.762681,0.606884,1
2,0.000000,4793,0,4793,0.000000,0.017585,7.133931,56.866838,0.512695,0.882299,0.803832,2
2,1.000000,4846,51,4795,1.052414,0.017494,7.208402,57.161729,0.513616,0.882299,0.803832,2
2,5.000000,5024,229,4795,4.578025,0.017176,7.474991,58.221916,0.515531,0.882299,0.803832,2
2,10.000000,5300,504,4796,9.509434,0.016705,7.884288,59.862372,0.514523,0.882299,0.803832,2
2,25.000000,6348,1550,4798,24.417139,0.015136,9.441464,66.067509,0.521836,0.882299,0.803832,2
3,0.000000,4794,0,4794,0.000000,0.022947,7.055189,43.578727,2.011719,0.971774,0.945565,2
3,1.000000,4846,51,4795,1.052414,0.022826,7.130308,43.810506,2.015891,0.971774,0.945565,2
3,5.000000,5024,228,4796,4.558121,0.022427,7.391574,44.589012,2.032077,0.971774,0.945565,2
3,10.000000,5292,497,4795,9.410431,0.021814,7.787296,45.842859,2.052063,0.971774,0.945565,2
3,25.000000,6333,1536,4797,24.269698,0.019794,9.317656,50.521065,2.139723,0.971774,0.945565,2
4,0.000000,4795,0,4795,0.000000,0.018190,7.077536,54.975631,0.825195,0.677404,0.806731,2
4,1.000000,4845,50,4795,1.031992,0.018097,7.151350,55.259044,0.827902,0.677404,0.806731,2
4,5.000000,5024,227,4797,4.518312,0.017770,7.412680,56.274762,0.834670,0.677404,0.806731,2
4,10.000000,5302,503,4799,9.505847,0.017279,7.820617,57.872927,0.842339,0.677404,0.806731,2
4,25.000000,6351,1551,4800,24.437097,0.015653,9.368199,63.887534,0.882515,0.677404,0.806731,2
5,0.000000,4793,0,4793,0.000000,0.020694,7.077989,48.322334,4.628906,0.900128,0.728426,2
5,1.000000,4845,51,4794,1.052632,0.020585,7.153351,48.578952,4.640191,0.900128,0.728426,2
5,5.000000,5023,229,4794,4.559028,0.020219,7.416390,49.457773,4.683827,0.900128,0.728426,2
5,10.000000,5299,504,4795,9.511229,0.019666,7.822523,50.849196,4.742510,0.900128,0.728426,2
5,25.000000,6341,1545,4796,24.365242,0.017819,9.359788,56.119620,4.963699,0.900128,0.728426,2
6,0.000000,4796,0,4796,0.000000,0.018433,7.074847,54.250229,0.888672,0.930769,0.871154,3
6,1.000000,4851,51,4800,1.051330,0.018337,7.150147,54.535229,0.891906,0.930769,0.871154,3
6,5.000000,5028,227,4801,4.514718,0.018009,7.409861,55.527015,0.900554,0.930769,0.871154,3
6,10.000000,5300,498,4802,9.433962,0.017518,7.811367,57.082690,0.908985,0.930769,0.871154,3
6,25.000000,6345,1545,4800,24.397163,0.015869,9.356661,63.015565,0.957230,0.930769,0.871154,3
7,0.000000,4794,0,4794,0.000000,0.023002,7.029136,43.474514,2.075195,0.980874,0.965847,3
7,1.000000,4847,51,4796,1.052197,0.022880,7.103946,43.705629,2.080166,0.980874,0.965847,3
7,5.000000,5026,228,4798,4.556307,0.022480,7.364944,44.483671,2.096715,0.980874,0.965847,3
7,10.000000,5295,497,4798,9.405099,0.021864,7.758012,45.738124,2.115759,0.980874,0.965847,3
7,25.000000,6337,1534,4803,24.254379,0.019841,9.280905,50.401321,2.208068,0.980874,0.965847,3
8,0.000000,4793,0,4793,0.000000,0.022952,7.052766,43.569034,6.191406,0.970833,0.966667,3
8,1.000000,4848,51,4797,1.051980,0.022831,7.127915,43.800971,6.206782,0.970833,0.966667,3
8,5.000000,5022,226,4796,4.520112,0.022435,7.386510,44.574039,6.265277,0.970833,0.966667,3
8,10.000000,5289,492,4797,9.321233,0.021824,7.777577,45.821653,6.336864,0.970833,0.966667,3
8,25.000000,6344,1542,4802,24.353720,0.019777,9.325371,50.563741,6.660754,0.970833,0.966667,3
9,0.000000,4794,0,4794,0.000000,0.020723,7.061560,48.256617,4.692383,0.932671,0.822369,3
9,1.000000,4848,51,4797,1.051980,0.020613,7.136748,48.512912,4.704099,0.932671,0.822369,3
9,5.000000,5026,229,4797,4.556307,0.020247,7.397329,49.389756,4.747292,0.932671,0.822369,3
9,10.000000,5304,504,4800,9.502262,0.019687,7.803966,50.793970,4.805159,0.932671,0.822369,3
9,25.000000,6350,1547,4803,24.409449,0.017842,9.340464,56.048090,5.038735,0.932671,0.822369,3
10,0.000000,4794,0,4794,0.000000,0.020739,7.051761,48.217421,5.004883,0.816752,0.852284,3
10,1.000000,4848,51,4797,1.051980,0.020630,7.126869,48.473580,5.017935,0.816752,0.852284,3
10,5.000000,5019,223,4796,4.443116,0.020271,7.379928,49.332393,5.064464,0.816752,0.852284,3
10,10.000000,5294,498,4796,9.406876,0.019714,7.784496,50.726518,5.133017,0.816752,0.852284,3
10,25.000000,6348,1546,4802,24.432892,0.017859,9.327028,55.995668,5.404605,0.816752,0.852284,3
11,0.000000,4794,0,4794,0.000000,0.023048,7.007253,43.386982,2.387695,0.854167,0.983025,3
11,1.000000,4848,51,4797,1.051980,0.022926,7.081895,43.617857,2.394360,0.854167,0.983025,3
11,5.000000,5023,226,4797,4.519212,0.022528,7.339162,44.388317,2.417353,0.854167,0.983025,3
11,10.000000,5292,493,4799,9.334845,0.021911,7.729169,45.639652,2.442493,0.854167,0.983025,3
11,25.000000,6329,1528,4801,24.206036,0.019881,9.240202,50.299324,2.571368,0.854167,0.983025,3
12,0.000000,4795,0,4795,0.000000,0.021056,7.049072,47.492019,5.068359,0.971939,0.889213,4
12,1.000000,4850,51,4799,1.051546,0.020945,7.124131,47.743623,5.081965,0.971939,0.889213,4
12,5.000000,5021,223,4798,4.441346,0.020582,7.377102,48.586112,5.129004,0.971939,0.889213,4
12,10.000000,5294,495,4799,9.406876,0.020013,7.779375,49.966741,5.197994,0.971939,0.889213,4
12,25.000000,6346,1540,4806,24.346045,0.018137,9.316513,55.136234,5.476843,0.971939,0.889213,4
13,0.000000,4795,0,4795,0.000000,0.023440,7.004564,42.661580,2.451172,1.000000,0.987269,4
13,1.000000,4849,51,4798,1.051763,0.023317,7.079141,42.886374,2.458223,1.000000,0.987269,4
13,5.000000,5027,226,4801,4.515616,0.022913,7.336346,43.643527,2.482323,1.000000,0.987269,4
13,10.000000,5293,493,4800,9.333081,0.022282,7.726232,44.879847,2.509130,1.000000,0.987269,4
13,25.000000,6336,1529,4807,24.210859,0.020213,9.242198,49.472403,2.646274,1.000000,0.987269,4
14,0.000000,4794,0,4794,0.000000,0.022987,7.036337,43.503317,6.254883,0.977564,0.977564,4
14,1.000000,4850,51,4799,1.051546,0.022865,7.111293,43.734820,6.270287,0.977564,0.977564,4
