Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,15m,0.013569,9.212392,73.699138,0.449219,0.762681,0.606884,1,7693,0,7693,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,30m,0.015511,8.058592,64.468738,0.449219,0.762681,0.606884,1,3847,0,3847,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1h,0.016710,7.480492,59.843938,0.449219,0.762681,0.606884,1,1920,0,1920,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2h,0.017380,7.192192,57.537537,0.449219,0.762681,0.606884,1,959,0,959,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,4h,0.017734,7.048492,56.387937,0.449219,0.762681,0.606884,1,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,8h,0.017917,6.976492,55.811937,0.449219,0.762681,0.606884,1,240,0,240,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,12h,0.017979,6.952492,55.619937,0.449219,0.762681,0.606884,1,160,0,160,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,24h,0.018041,6.928492,55.427937,0.449219,0.762681,0.606884,1,80,0,80,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,15m,0.014345,8.740647,69.708806,0.512695,0.882299,0.803832,2,7690,0,7690,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,30m,0.016032,7.822887,62.373446,0.512695,0.882299,0.803832,2,3845,0,3845,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1h,0.017036,7.363167,58.699046,0.512695,0.882299,0.803832,2,1919,0,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2h,0.017585,7.134027,56.867606,0.512695,0.882299,0.803832,2,959,0,959,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,4h,0.017872,7.019607,55.952966,0.512695,0.882299,0.803832,2,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,8h,0.018019,6.962367,55.495526,0.512695,0.882299,0.803832,2,240,0,240,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,12h,0.018069,6.943407,55.343846,0.512695,0.882299,0.803832,2,161,0,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,24h,0.018119,6.924387,55.191926,0.512695,0.882299,0.803832,2,81,0,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,15m,0.015553,8.266112,64.297327,0.825195,0.677404,0.806731,2,7692,0,7692,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,30m,0.016957,7.587332,58.973647,0.825195,0.677404,0.806731,2,3847,0,3847,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1h,0.017760,7.247312,56.306767,0.825195,0.677404,0.806731,2,1921,0,1921,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2h,0.018190,7.077692,54.976687,0.825195,0.677404,0.806731,2,960,0,960,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,4h,0.018412,6.992972,54.312367,0.825195,0.677404,0.806731,2,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,8h,0.018525,6.950612,53.980207,0.825195,0.677404,0.806731,2,240,0,240,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,12h,0.018563,6.936632,53.870287,0.825195,0.677404,0.806731,2,161,0,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,24h,0.018601,6.922532,53.759887,0.825195,0.677404,0.806731,2,81,0,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,15m,0.018411,8.002229,54.315710,4.628906,0.900128,0.728426,2,7688,0,7688,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,30m,0.019652,7.473449,50.885390,4.628906,0.900128,0.728426,2,3837,0,3837,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1h,0.020334,7.209929,49.177550,4.628906,0.900128,0.728426,2,1919,0,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2h,0.020694,7.078049,48.322670,4.628906,0.900128,0.728426,2,959,0,959,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,4h,0.020878,7.012229,47.896190,4.628906,0.900128,0.728426,2,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,8h,0.020972,6.979409,47.683310,4.628906,0.900128,0.728426,2,241,0,241,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,12h,0.021003,6.968429,47.612030,4.628906,0.900128,0.728426,2,161,0,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,24h,0.021035,6.957449,47.540750,4.628906,0.900128,0.728426,2,81,0,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
