Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,15m,0.011692,12.208747,85.531267,0.447350,0.762681,0.606884,1,10,5,50.000000,14433.959961,5987.919922,0.000000,2886.791992,1197.583984,0.000000,2886.791992,1197.583984,0.000000
1,30m,0.013375,10.650315,74.768583,0.448284,0.762681,0.606884,1,10,5,50.000000,28117.919922,10475.839844,0.000000,5623.583984,2095.167969,0.000000,5623.583984,2095.167969,0.000000
1,1h,0.014487,9.791556,69.025836,0.448283,0.762681,0.606884,1,10,5,50.000000,55591.101074,19486.202148,0.000000,11118.220215,3897.240430,0.000000,11118.220215,3897.240430,0.000000
1,2h,0.014995,9.510120,66.689228,0.447345,0.762681,0.606884,1,10,5,50.000000,110537.463379,37506.926758,0.000000,22107.492676,7501.385352,0.000000,22107.492676,7501.385352,0.000000
1,4h,0.015117,9.518558,66.150577,0.447345,0.762681,0.606884,1,10,5,50.000000,220324.926758,73513.853516,0.000000,44064.985352,14702.770703,0.000000,44064.985352,14702.770703,0.000000
1,8h,0.015058,9.625725,66.408868,0.449219,0.762681,0.606884,1,10,5,50.000000,440005.114746,145562.229492,0.000000,88001.022949,29112.445898,0.000000,88001.022949,29112.445898,0.000000
1,12h,0.015057,9.650864,66.413424,0.449219,0.762681,0.606884,1,10,5,50.000000,659685.302734,217610.605469,0.000000,131937.060547,43522.121094,0.000000,131937.060547,43522.121094,0.000000
1,24h,0.015109,9.617778,66.185080,0.449219,0.762681,0.606884,1,10,5,50.000000,1318725.866699,433755.733398,0.000000,263745.173340,86751.146680,0.000000,263745.173340,86751.146680,0.000000
2,15m,0.012359,11.585330,80.915165,0.521511,0.882299,0.803832,2,20,9,45.000000,21670.056396,9582.362793,2285.156250,2407.784044,1064.706977,253.906250,2864.737842,1137.925684,571.289062
2,30m,0.013825,10.338273,72.335290,0.519657,0.882299,0.803832,2,20,7,35.000000,35333.745605,13951.991211,2285.156250,5047.677944,1993.141602,326.450893,5609.475684,2035.851367,1142.578125
2,1h,0.014774,9.638671,67.687665,0.527769,0.882299,0.803832,2,20,9,45.000000,84624.986572,34043.723145,9140.625000,9402.776286,3782.635905,1015.625000,11119.903564,3838.557129,2285.156250
2,2h,0.015183,9.428071,65.862764,0.520327,0.882299,0.803832,2,18,7,38.888889,127746.863550,45924.327100,5370.466309,18249.551936,6560.618157,767.209473,22140.759326,7443.968652,4570.312500
2,4h,0.015211,9.482926,65.742840,0.513239,0.882299,0.803832,2,16,6,37.500000,225478.928320,75645.756641,1467.705078,37579.821387,12607.626107,244.617513,44161.518652,14647.937305,1467.705078
2,8h,0.015134,9.607758,66.074837,0.513362,0.882299,0.803832,2,15,6,40.000000,443154.884277,146405.768555,667.138672,73859.147380,24400.961426,111.189779,88203.037305,29055.874609,667.138672
2,12h,0.015146,9.632555,66.024968,0.536228,0.882299,0.803832,2,15,7,46.666667,735699.708350,255054.816699,23532.475586,105099.958336,36436.402386,3361.782227,132244.555957,43463.811914,22932.050781
2,24h,0.015245,9.612096,65.595983,0.507152,0.882299,0.803832,2,14,5,35.714286,1321950.320557,433472.391113,0.000000,264390.064111,86694.478223,0.000000,264390.064111,86694.478223,0.000000
3,15m,0.013403,10.957478,74.611121,0.889725,0.677404,0.806731,2,20,7,35.000000,16820.404541,7447.809082,845.947266,2402.914934,1063.972726,120.849609,2933.059424,1077.518848,422.973633
3,30m,0.014623,10.028458,68.386876,0.887124,0.677404,0.806731,2,20,8,40.000000,35165.916504,15695.833008,2537.841797,4395.739563,1961.979126,317.230225,5776.118848,1975.037695,845.947266
3,1h,0.015399,9.490090,64.939247,0.890555,0.677404,0.806731,2,20,7,35.000000,65674.627563,26403.755127,3383.789062,9382.089652,3771.965018,483.398438,11482.839575,3776.579150,1691.894531
3,2h,0.015680,9.366991,63.776932,0.885200,0.677404,0.806731,2,20,8,40.000000,139082.694214,59100.888428,10151.367188,17385.336777,7387.611053,1268.920898,22896.281030,7400.859375,3383.789062
3,4h,0.015767,9.390106,63.424280,0.863609,0.677404,0.806731,2,20,5,25.000000,228615.819702,72929.139404,0.000000,45723.163940,14585.827881,0.000000,45723.163940,14585.827881,0.000000
3,8h,0.015555,9.582479,64.288969,0.875794,0.677404,0.806731,2,20,8,40.000000,554646.795654,232688.591309,40605.468750,69330.849457,29086.073914,5075.683594,91356.327881,29243.437500,13535.156250
3,12h,0.015517,9.619744,64.444989,0.861740,0.677404,0.806731,2,19,6,31.578947,733953.046631,260825.093262,20302.734375,122325.507772,43470.848877,3383.789062,137010.093701,43805.156250,20302.734375
3,24h,0.015629,9.609222,63.985153,0.860803,0.677404,0.806731,2,18,6,33.333333,1467396.093262,520630.186523,40605.468750,244566.015544,86771.697754,6767.578125,273930.187402,87490.312500,40605.468750
4,15m,0.015862,10.606563,63.042088,4.956430,0.900128,0.728426,2,20,8,40.000000,21445.199707,8376.899414,1410.644531,2680.649963,1047.112427,176.330566,3246.112207,1091.425781,470.214844
4,30m,0.016981,9.868325,58.891049,4.968327,0.900128,0.728426,2,20,6,30.000000,35634.600098,11632.700195,940.429688,5939.100016,1938.783366,156.738281,6449.634863,2002.851562,940.429688
4,1h,0.017640,9.431618,56.689301,4.935687,0.900128,0.728426,2,20,8,40.000000,84244.903320,30136.806641,5642.578125,10530.612915,3767.100830,705.322266,12839.269727,3825.703125,1880.859375
4,2h,0.017857,9.365667,55.998969,4.960769,0.900128,0.728426,2,20,7,35.000000,154731.155762,51686.811523,7523.437500,22104.450823,7383.830218,1074.776786,25635.949902,7471.406250,3761.718750
