Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,15m,0.013569,9.212392,73.699138,0.449219,1.000000,1.000000,1,7693,0,7693,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,30m,0.015511,8.058592,64.468738,0.449219,1.000000,1.000000,1,3847,0,3847,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1h,0.016710,7.480492,59.843938,0.449219,1.000000,1.000000,1,1920,0,1920,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2h,0.017380,7.192192,57.537537,0.449219,1.000000,1.000000,1,959,0,959,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,4h,0.017734,7.048492,56.387937,0.449219,1.000000,1.000000,1,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,8h,0.017917,6.976492,55.811937,0.449219,1.000000,1.000000,1,240,0,240,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,12h,0.017979,6.952492,55.619937,0.449219,1.000000,1.000000,1,160,0,160,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,24h,0.018041,6.928492,55.427937,0.449219,1.000000,1.000000,1,80,0,80,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,15m,0.014301,8.740647,69.925176,0.512695,1.000000,1.000000,2,7690,0,7690,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,30m,0.015979,7.822887,62.583096,0.512695,1.000000,1.000000,2,3845,0,3845,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1h,0.016976,7.363167,58.905336,0.512695,1.000000,1.000000,2,1919,0,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2h,0.017522,7.134027,57.072216,0.512695,1.000000,1.000000,2,959,0,959,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,4h,0.017807,7.019607,56.156856,0.512695,1.000000,1.000000,2,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,8h,0.017954,6.962367,55.698936,0.512695,1.000000,1.000000,2,240,0,240,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,12h,0.018003,6.943407,55.547256,0.512695,1.000000,1.000000,2,161,0,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,24h,0.018052,6.924387,55.395096,0.512695,1.000000,1.000000,2,81,0,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,15m,0.015122,8.266112,66.128896,0.825195,1.000000,1.000000,2,7692,0,7692,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,30m,0.016475,7.587332,60.698656,0.825195,1.000000,1.000000,2,3847,0,3847,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1h,0.017248,7.247312,57.978496,0.825195,1.000000,1.000000,2,1921,0,1921,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2h,0.017661,7.077692,56.621536,0.825195,1.000000,1.000000,2,960,0,960,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,4h,0.017875,6.992972,55.943776,0.825195,1.000000,1.000000,2,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,8h,0.017984,6.950612,55.604896,0.825195,1.000000,1.000000,2,240,0,240,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,12h,0.018020,6.936632,55.493056,0.825195,1.000000,1.000000,2,161,0,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,24h,0.018057,6.922532,55.380256,0.825195,1.000000,1.000000,2,81,0,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,15m,0.015621,8.002229,64.017832,4.628906,1.000000,1.000000,2,7688,0,7688,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,30m,0.016726,7.473449,59.787593,4.628906,1.000000,1.000000,2,3837,0,3837,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1h,0.017337,7.209929,57.679432,4.628906,1.000000,1.000000,2,1919,0,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2h,0.017660,7.078049,56.624392,4.628906,1.000000,1.000000,2,959,0,959,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,4h,0.017826,7.012229,56.097833,4.628906,1.000000,1.000000,2,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,8h,0.017910,6.979409,55.835273,4.628906,1.000000,1.000000,2,241,0,241,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,12h,0.017938,6.968429,55.747432,4.628906,1.000000,1.000000,2,161,0,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,24h,0.017966,6.957449,55.659592,4.628906,1.000000,1.000000,2,81,0,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,15m,0.015621,8.002157,64.017257,2.011719,1.000000,1.000000,2,7687,0,7687,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,30m,0.016754,7.461017,59.688138,2.011719,1.000000,1.000000,2,3840,0,3840,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,1h,0.017384,7.190357,57.522858,2.011719,1.000000,1.000000,2,1918,0,1918,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,2h,0.017717,7.055237,56.441898,2.011719,1.000000,1.000000,2,959,0,959,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,4h,0.017888,6.987797,55.902378,2.011719,1.000000,1.000000,2,480,0,480,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,8h,0.017975,6.953957,55.631658,2.011719,1.000000,1.000000,2,240,0,240,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
