Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,15m,0.011692,12.208747,85.531267,0.447350,1.000000,1.000000,1,10,5,50.000000,18691.459961,5987.919922,0.000000,3738.291992,1197.583984,0.000000,3738.291992,1197.583984,0.000000
1,30m,0.013375,10.650315,74.768583,0.448284,1.000000,1.000000,1,10,5,50.000000,36632.919922,10475.839844,0.000000,7326.583984,2095.167969,0.000000,7326.583984,2095.167969,0.000000
1,1h,0.014487,9.791556,69.025836,0.448283,1.000000,1.000000,1,10,5,50.000000,72653.851074,19486.202148,0.000000,14530.770215,3897.240430,0.000000,14530.770215,3897.240430,0.000000
1,2h,0.014995,9.510120,66.689228,0.447345,1.000000,1.000000,1,10,5,50.000000,144695.713379,37506.926758,0.000000,28939.142676,7501.385352,0.000000,28939.142676,7501.385352,0.000000
1,4h,0.015117,9.518558,66.150577,0.447345,1.000000,1.000000,1,10,5,50.000000,288641.426758,73513.853516,0.000000,57728.285352,14702.770703,0.000000,57728.285352,14702.770703,0.000000
1,8h,0.015058,9.625725,66.408868,0.449219,1.000000,1.000000,1,10,5,50.000000,576670.864746,145562.229492,0.000000,115334.172949,29112.445898,0.000000,115334.172949,29112.445898,0.000000
1,12h,0.015057,9.650864,66.413424,0.449219,1.000000,1.000000,1,10,5,50.000000,864700.302734,217610.605469,0.000000,172940.060547,43522.121094,0.000000,172940.060547,43522.121094,0.000000
1,24h,0.015109,9.617778,66.185080,0.449219,1.000000,1.000000,1,10,5,50.000000,1728788.616699,433755.733398,0.000000,345757.723340,86751.146680,0.000000,345757.723340,86751.146680,0.000000
2,15m,0.012320,11.585330,81.168016,0.521511,1.000000,1.000000,2,20,9,45.000000,33094.806396,9582.362793,2285.156250,3677.200711,1064.706977,253.906250,3709.687842,1137.925684,571.289062
2,30m,0.013779,10.338273,72.571829,0.519657,1.000000,1.000000,2,20,7,35.000000,50983.245605,13951.991211,2285.156250,7283.320801,1993.141602,326.450893,7299.375684,2035.851367,1142.578125
