Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,15m,0.001461,12.208747,684.250138,0.447350,0.264040,0.297781,1,10195,2502,7693,2502,32.523073,38646.459961,5987.919922,0.000000,7729.291992,1197.583984,0.000000,7729.291992,1197.583984,0.000000
1,30m,0.001672,10.650315,598.148666,0.448284,0.264040,0.297781,1,5084,1237,3847,1237,32.154926,76542.919922,10475.839844,0.000000,15308.583984,2095.167969,0.000000,15308.583984,2095.167969,0.000000
1,1h,0.001811,9.791556,552.206688,0.448283,0.264040,0.297781,1,2513,593,1920,593,30.885417,152627.351074,19486.202148,0.000000,30525.470215,3897.240430,0.000000,30525.470215,3897.240430,0.000000
1,2h,0.001874,9.510120,533.513821,0.447345,0.264040,0.297781,1,1268,309,959,309,32.221064,304796.213379,37506.926758,0.000000,60959.242676,7501.385352,0.000000,60959.242676,7501.385352,0.000000
1,4h,0.001890,9.518558,529.204618,0.447345,0.264040,0.297781,1,648,168,480,168,35.000000,608842.426758,73513.853516,0.000000,121768.485352,14702.770703,0.000000,121768.485352,14702.770703,0.000000
1,8h,0.001882,9.625725,531.270942,0.449219,0.264040,0.297781,1,331,91,240,91,37.916667,1217226.364746,145562.229492,0.000000,243445.272949,29112.445898,0.000000,243445.272949,29112.445898,0.000000
1,12h,0.001882,9.650864,531.307388,0.449219,0.264040,0.297781,1,222,62,160,62,38.750000,1825610.302734,217610.605469,0.000000,365122.060547,43522.121094,0.000000,365122.060547,43522.121094,0.000000
1,24h,0.001889,9.617778,529.480638,0.449219,0.264040,0.297781,1,111,31,80,31,38.750000,3650762.116699,433755.733398,0.000000,730152.423340,86751.146680,0.000000,730152.423340,86751.146680,0.000000
2,15m,0.001549,11.585330,645.551368,0.521511,0.632755,0.649521,2,10194,2502,7692,2502,32.527301,46068.806396,9582.362793,2285.156250,5118.756266,1064.706977,253.906250,7744.487842,1137.925684,571.289062
2,30m,0.001733,10.338273,577.026546,0.519657,0.632755,0.649521,2,5083,1236,3847,1236,32.128932,84131.245605,13951.991211,2285.156250,12018.749372,1993.141602,326.450893,15368.975684,2035.851367,1142.578125
2,1h,0.001853,9.638671,539.690086,0.527769,0.632755,0.649521,2,2514,593,1921,593,30.869339,182406.236572,34043.723145,9140.625000,20267.359619,3782.635905,1015.625000,30676.153564,3838.557129,2285.156250
2,2h,0.001904,9.428071,525.241506,0.520327,0.632755,0.649521,2,1270,308,962,308,32.016632,323495.613550,45924.327100,5370.466309,46213.659079,6560.618157,767.209473,61290.509326,7443.968652,4570.312500
2,4h,0.001907,9.482926,524.480129,0.513239,0.632755,0.649521,2,650,168,482,168,34.854772,616976.428320,75645.756641,1467.705078,102829.404720,12607.626107,244.617513,122461.018652,14647.937305,1467.705078
2,8h,0.001897,9.607758,527.154019,0.513362,0.632755,0.649521,2,335,92,243,92,37.860082,1226149.884277,146405.768555,667.138672,204358.314046,24400.961426,111.189779,244802.037305,29055.874609,667.138672
2,12h,0.001900,9.632555,526.244212,0.536228,0.632755,0.649521,2,226,62,164,62,37.804878,1910192.208350,255054.816699,23532.475586,272884.601193,36436.402386,3361.782227,367143.055957,43463.811914,22932.050781
2,24h,0.001911,9.612096,523.340639,0.507152,0.632755,0.649521,2,115,31,84,31,36.904762,3671121.570557,433472.391113,0.000000,734224.314111,86694.478223,0.000000,734224.314111,86694.478223,0.000000
3,15m,0.001719,10.957478,581.806711,0.889725,0.638221,0.640865,2,10198,2504,7694,2504,32.544840,43856.404541,7447.809082,845.947266,6265.200649,1063.972726,120.849609,8025.259424,1077.518848,422.973633
