Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,2h,0.000401,40.238450,2495.532734,1.425781,0.519878,0.590707,2,26945,0,26945,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,4h,0.000409,39.444386,2445.362078,1.425781,0.519878,0.590707,2,13440,0,13440,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,8h,0.000413,39.048842,2420.372702,1.425781,0.519878,0.590707,2,6712,0,6712,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,12h,0.000415,38.917442,2412.071102,1.425781,0.519878,0.590707,2,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,24h,0.000416,38.785802,2403.754142,1.425781,0.519878,0.590707,2,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2h,0.000401,40.238450,2495.532734,1.425781,0.519878,0.590707,2,26945,0,26945,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,4h,0.000409,39.444386,2445.362078,1.425781,0.519878,0.590707,2,13440,0,13440,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,8h,0.000413,39.048842,2420.372702,1.425781,0.519878,0.590707,2,6712,0,6712,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,12h,0.000415,38.917442,2412.071102,1.425781,0.519878,0.590707,2,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,24h,0.000416,38.785802,2403.754142,1.425781,0.519878,0.590707,2,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2h,0.000401,40.229091,2494.582500,1.572266,0.737611,0.788676,3,26946,0,26946,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,4h,0.000409,39.440439,2444.437236,1.572266,0.737611,0.788676,3,13441,0,13441,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,8h,0.000413,39.047607,2419.460580,1.572266,0.737611,0.788676,3,6713,0,6713,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,12h,0.000415,38.917095,2411.163180,1.572266,0.737611,0.788676,3,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,24h,0.000416,38.786355,2402.850432,1.572266,0.737611,0.788676,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2h,0.000401,40.229091,2494.582500,1.572266,0.737611,0.788676,3,26946,0,26946,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,4h,0.000409,39.440439,2444.437236,1.572266,0.737611,0.788676,3,13441,0,13441,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,8h,0.000413,39.047607,2419.460580,1.572266,0.737611,0.788676,3,6713,0,6713,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,12h,0.000415,38.917095,2411.163180,1.572266,0.737611,0.788676,3,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,24h,0.000416,38.786355,2402.850432,1.572266,0.737611,0.788676,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,2h,0.000407,39.917055,2455.794697,1.572266,0.680451,0.728041,3,26886,0,26886,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,4h,0.000414,39.286407,2416.161289,1.572266,0.680451,0.728041,3,13444,0,13444,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,8h,0.000417,38.970711,2396.321497,1.572266,0.680451,0.728041,3,6715,0,6715,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,12h,0.000418,38.865639,2389.718497,1.572266,0.680451,0.728041,3,4475,0,4475,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,24h,0.000420,38.760723,2383.124725,1.572266,0.680451,0.728041,3,2239,0,2239,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2h,0.000407,39.917055,2455.794697,1.572266,0.680451,0.728041,3,26886,0,26886,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,4h,0.000414,39.286407,2416.161289,1.572266,0.680451,0.728041,3,13444,0,13444,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,8h,0.000417,38.970711,2396.321497,1.572266,0.680451,0.728041,3,6715,0,6715,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,12h,0.000418,38.865639,2389.718497,1.572266,0.680451,0.728041,3,4475,0,4475,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,24h,0.000420,38.760723,2383.124725,1.572266,0.680451,0.728041,3,2239,0,2239,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,2h,0.000404,39.932115,2473.323738,2.657148,0.679950,0.727252,3,26838,0,26838,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,4h,0.000411,39.299379,2433.487482,2.657148,0.679950,0.727252,3,13420,0,13420,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,8h,0.000414,38.982975,2413.567770,2.657148,0.679950,0.727252,3,6710,0,6710,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,12h,0.000415,38.877519,2406.927930,2.657148,0.679950,0.727252,3,4474,0,4474,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,24h,0.000417,38.772063,2400.288090,2.657148,0.679950,0.727252,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,2h,0.000404,39.932115,2473.323738,2.657148,0.679950,0.727252,3,26838,0,26838,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,4h,0.000411,39.299379,2433.487482,2.657148,0.679950,0.727252,3,13420,0,13420,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,8h,0.000414,38.982975,2413.567770,2.657148,0.679950,0.727252,3,6710,0,6710,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,12h,0.000415,38.877519,2406.927930,2.657148,0.679950,0.727252,3,4474,0,4474,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,24h,0.000417,38.772063,2400.288090,2.657148,0.679950,0.727252,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,2h,0.000421,39.607509,2375.424461,1.962891,0.624164,0.668468,3,26932,0,26932,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,4h,0.000426,39.132477,2346.321293,1.962891,0.624164,0.668468,3,13436,0,13436,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,8h,0.000429,38.895765,2331.822605,1.962891,0.624164,0.668468,3,6710,0,6710,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,12h,0.000430,38.817141,2327.006669,1.962891,0.624164,0.668468,3,4476,0,4476,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,24h,0.000431,38.738373,2322.181517,1.962891,0.624164,0.668468,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,2h,0.001370,39.384027,729.835620,3.769531,0.719570,0.886303,3,26895,0,26895,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,4h,0.001385,39.030375,721.939140,3.769531,0.719570,0.886303,3,13427,0,13427,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,8h,0.001393,38.854047,717.993924,3.769531,0.719570,0.886303,3,6714,0,6714,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,12h,0.001395,38.795247,716.679972,3.769531,0.719570,0.886303,3,4475,0,4475,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,24h,0.001398,38.736483,715.364292,3.769531,0.719570,0.886303,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,2h,0.001370,39.384027,729.835620,3.769531,0.719570,0.886303,3,26895,0,26895,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,4h,0.001385,39.030375,721.939140,3.769531,0.719570,0.886303,3,13427,0,13427,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,8h,0.001393,38.854047,717.993924,3.769531,0.719570,0.886303,3,6714,0,6714,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,12h,0.001395,38.795247,716.679972,3.769531,0.719570,0.886303,3,4475,0,4475,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,24h,0.001398,38.736483,715.364292,3.769531,0.719570,0.886303,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,2h,0.000407,39.907696,2454.844463,1.718750,0.803608,0.842185,4,26887,0,26887,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,4h,0.000414,39.282460,2415.236447,1.718750,0.803608,0.842185,4,13445,0,13445,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,8h,0.000417,38.969476,2395.409375,1.718750,0.803608,0.842185,4,6716,0,6716,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,12h,0.000419,38.865291,2388.810575,1.718750,0.803608,0.842185,4,4475,0,4475,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,24h,0.000420,38.761276,2382.221015,1.718750,0.803608,0.842185,4,2239,0,2239,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,2h,0.000407,39.907696,2454.844463,1.718750,0.803608,0.842185,4,26887,0,26887,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,4h,0.000414,39.282460,2415.236447,1.718750,0.803608,0.842185,4,13445,0,13445,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
