Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,2h,0.006213,40.238450,160.953799,1.425781,1.000000,1.000000,2,26945,0,26945,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,4h,0.006338,39.444386,157.777543,1.425781,1.000000,1.000000,2,13440,0,13440,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,8h,0.006402,39.048842,156.195367,1.425781,1.000000,1.000000,2,6712,0,6712,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,12h,0.006424,38.917442,155.669767,1.425781,1.000000,1.000000,2,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,24h,0.006446,38.785802,155.143207,1.425781,1.000000,1.000000,2,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2h,0.006213,40.238450,160.953799,1.425781,1.000000,1.000000,2,26945,0,26945,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,4h,0.006338,39.444386,157.777543,1.425781,1.000000,1.000000,2,13440,0,13440,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,8h,0.006402,39.048842,156.195367,1.425781,1.000000,1.000000,2,6712,0,6712,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,12h,0.006424,38.917442,155.669767,1.425781,1.000000,1.000000,2,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,24h,0.006446,38.785802,155.143207,1.425781,1.000000,1.000000,2,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2h,0.006214,40.229091,160.916363,1.572266,1.000000,1.000000,3,26946,0,26946,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,4h,0.006339,39.440439,157.761755,1.572266,1.000000,1.000000,3,13441,0,13441,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,8h,0.006402,39.047607,156.190427,1.572266,1.000000,1.000000,3,6713,0,6713,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,12h,0.006424,38.917095,155.668379,1.572266,1.000000,1.000000,3,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,24h,0.006446,38.786355,155.145419,1.572266,1.000000,1.000000,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2h,0.006214,40.229091,160.916363,1.572266,1.000000,1.000000,3,26946,0,26946,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,4h,0.006339,39.440439,157.761755,1.572266,1.000000,1.000000,3,13441,0,13441,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,8h,0.006402,39.047607,156.190427,1.572266,1.000000,1.000000,3,6713,0,6713,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,12h,0.006424,38.917095,155.668379,1.572266,1.000000,1.000000,3,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,24h,0.006446,38.786355,155.145419,1.572266,1.000000,1.000000,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,2h,0.006263,39.917055,159.668219,1.572266,1.000000,1.000000,3,26886,0,26886,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,4h,0.006364,39.286407,157.145627,1.572266,1.000000,1.000000,3,13444,0,13444,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,8h,0.006415,38.970711,155.882843,1.572266,1.000000,1.000000,3,6715,0,6715,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,12h,0.006432,38.865639,155.462555,1.572266,1.000000,1.000000,3,4475,0,4475,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,24h,0.006450,38.760723,155.042891,1.572266,1.000000,1.000000,3,2239,0,2239,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2h,0.006263,39.917055,159.668219,1.572266,1.000000,1.000000,3,26886,0,26886,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,4h,0.006364,39.286407,157.145627,1.572266,1.000000,1.000000,3,13444,0,13444,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,8h,0.006415,38.970711,155.882843,1.572266,1.000000,1.000000,3,6715,0,6715,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
