Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,2h,0.003159,40.238450,316.592395,1.425781,0.750268,0.986610,2,26945,0,26945,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,4h,0.003223,39.444386,310.283179,1.425781,0.750268,0.986610,2,13440,0,13440,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,8h,0.003256,39.048842,307.140523,1.425781,0.750268,0.986610,2,6712,0,6712,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,12h,0.003267,38.917442,306.096523,1.425781,0.750268,0.986610,2,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,24h,0.003278,38.785802,305.050603,1.425781,0.750268,0.986610,2,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2h,0.003159,40.238450,316.592395,1.425781,0.750268,0.999665,2,26945,0,26945,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,4h,0.003223,39.444386,310.283179,1.425781,0.750268,0.999665,2,13440,0,13440,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,8h,0.003256,39.048842,307.140523,1.425781,0.750268,0.999665,2,6712,0,6712,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,12h,0.003267,38.917442,306.096523,1.425781,0.750268,0.999665,2,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,24h,0.003278,38.785802,305.050603,1.425781,0.750268,0.999665,2,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2h,0.003159,40.229091,316.554958,1.572266,0.833512,0.991073,3,26946,0,26946,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,4h,0.003223,39.440439,310.267390,1.572266,0.833512,0.991073,3,13441,0,13441,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,8h,0.003256,39.047607,307.135582,1.572266,0.833512,0.991073,3,6713,0,6713,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,12h,0.003267,38.917095,306.095134,1.572266,0.833512,0.991073,3,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,24h,0.003278,38.786355,305.052814,1.572266,0.833512,0.991073,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2h,0.003159,40.229091,316.554958,1.572266,0.833512,0.999777,3,26946,0,26946,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,4h,0.003223,39.440439,310.267390,1.572266,0.833512,0.999777,3,13441,0,13441,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,8h,0.003256,39.047607,307.135582,1.572266,0.833512,0.999777,3,6713,0,6713,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,12h,0.003267,38.917095,306.095134,1.572266,0.833512,0.999777,3,4477,0,4477,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,24h,0.003278,38.786355,305.052814,1.572266,0.833512,0.999777,3,2238,0,2238,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,2h,0.003197,39.917055,312.804170,1.572266,0.833513,0.993026,3,26886,0,26886,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,4h,0.003249,39.286407,307.807274,1.572266,0.833513,0.993026,3,13444,0,13444,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,8h,0.003275,38.970711,305.305898,1.572266,0.833513,0.993026,3,6715,0,6715,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,12h,0.003284,38.865639,304.473386,1.572266,0.833513,0.993026,3,4475,0,4475,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,24h,0.003293,38.760723,303.642074,1.572266,0.833513,0.993026,3,2239,0,2239,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2h,0.003197,39.917055,312.804170,1.572266,0.833513,0.999775,3,26886,0,26886,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,4h,0.003249,39.286407,307.807274,1.572266,0.833513,0.999775,3,13444,0,13444,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,8h,0.003275,38.970711,305.305898,1.572266,0.833513,0.999775,3,6715,0,6715,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,12h,0.003284,38.865639,304.473386,1.572266,0.833513,0.999775,3,4475,0,4475,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,24h,0.003293,38.760723,303.642074,1.572266,0.833513,0.999775,3,2239,0,2239,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,2h,0.006253,39.932115,159.914433,2.657148,1.000000,0.991287,3,26838,0,26838,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,4h,0.006354,39.299379,157.382817,2.657148,1.000000,0.991287,3,13420,0,13420,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
