Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,1h,0.018116,6.900000,55.200000,0.449219,0.762681,0.606884,1
1,6h,0.018116,6.900000,55.200000,0.449219,0.762681,0.606884,1
1,12h,0.018116,6.900000,55.200000,0.449219,0.762681,0.606884,1
1,18h,0.018116,6.900000,55.200000,0.449219,0.762681,0.606884,1
1,24h,0.018116,6.900000,55.200000,0.449219,0.762681,0.606884,1
2,1h,0.018182,6.900000,55.000000,0.512695,0.882299,0.803832,2
2,6h,0.018182,6.900000,55.000000,0.512695,0.882299,0.803832,2
2,12h,0.018182,6.900000,55.000000,0.512695,0.882299,0.803832,2
2,18h,0.018182,6.900000,55.000000,0.512695,0.882299,0.803832,2
2,24h,0.018182,6.900000,55.000000,0.512695,0.882299,0.803832,2
3,1h,0.018657,6.900000,53.600000,0.825195,0.677404,0.806731,2
3,6h,0.018657,6.900000,53.600000,0.825195,0.677404,0.806731,2
3,12h,0.018657,6.900000,53.600000,0.825195,0.677404,0.806731,2
3,18h,0.018657,6.900000,53.600000,0.825195,0.677404,0.806731,2
3,24h,0.018657,6.900000,53.600000,0.825195,0.677404,0.806731,2
4,1h,0.021186,6.900000,47.200000,4.628906,0.900128,0.728426,2
4,6h,0.021186,6.900000,47.200000,4.628906,0.900128,0.728426,2
4,12h,0.021186,6.900000,47.200000,4.628906,0.900128,0.728426,2
4,18h,0.021186,6.900000,47.200000,4.628906,0.900128,0.728426,2
4,24h,0.021186,6.900000,47.200000,4.628906,0.900128,0.728426,2
5,1h,0.023364,6.900000,42.800000,2.011719,0.971774,0.945565,2
5,6h,0.023364,6.900000,42.800000,2.011719,0.971774,0.945565,2
5,12h,0.023364,6.900000,42.800000,2.011719,0.971774,0.945565,2
5,18h,0.023364,6.900000,42.800000,2.011719,0.971774,0.945565,2
5,24h,0.023364,6.900000,42.800000,2.011719,0.971774,0.945565,2
6,1h,0.018904,6.900000,52.900000,0.888672,0.930769,0.871154,3
6,6h,0.018904,6.900000,52.900000,0.888672,0.930769,0.871154,3
6,12h,0.018904,6.900000,52.900000,0.888672,0.930769,0.871154,3
6,18h,0.018904,6.900000,52.900000,0.888672,0.930769,0.871154,3
6,24h,0.018904,6.900000,52.900000,0.888672,0.930769,0.871154,3
7,1h,0.021186,6.900000,47.200000,4.692383,0.932671,0.822369,3
7,6h,0.021186,6.900000,47.200000,4.692383,0.932671,0.822369,3
7,12h,0.021186,6.900000,47.200000,4.692383,0.932671,0.822369,3
7,18h,0.021186,6.900000,47.200000,4.692383,0.932671,0.822369,3
7,24h,0.021186,6.900000,47.200000,4.692383,0.932671,0.822369,3
8,1h,0.023364,6.900000,42.800000,2.075195,0.980874,0.965847,3
8,6h,0.023364,6.900000,42.800000,2.075195,0.980874,0.965847,3
8,12h,0.023364,6.900000,42.800000,2.075195,0.980874,0.965847,3
8,18h,0.023364,6.900000,42.800000,2.075195,0.980874,0.965847,3
8,24h,0.023364,6.900000,42.800000,2.075195,0.980874,0.965847,3
9,1h,0.021186,6.900000,47.200000,5.004883,0.816752,0.852284,3
9,6h,0.021186,6.900000,47.200000,5.004883,0.816752,0.852284,3
9,12h,0.021186,6.900000,47.200000,5.004883,0.816752,0.852284,3
9,18h,0.021186,6.900000,47.200000,5.004883,0.816752,0.852284,3
9,24h,0.021186,6.900000,47.200000,5.004883,0.816752,0.852284,3
10,1h,0.023364,6.900000,42.800000,2.387695,0.854167,0.983025,3
10,6h,0.023364,6.900000,42.800000,2.387695,0.854167,0.983025,3
10,12h,0.023364,6.900000,42.800000,2.387695,0.854167,0.983025,3
10,18h,0.023364,6.900000,42.800000,2.387695,0.854167,0.983025,3
10,24h,0.023364,6.900000,42.800000,2.387695,0.854167,0.983025,3
11,1h,0.023364,6.900000,42.800000,6.191406,0.970833,0.966667,3
11,6h,0.023364,6.900000,42.800000,6.191406,0.970833,0.966667,3
11,12h,0.023364,6.900000,42.800000,6.191406,0.970833,0.966667,3
11,18h,0.023364,6.900000,42.800000,6.191406,0.970833,0.966667,3
11,24h,0.023364,6.900000,42.800000,6.191406,0.970833,0.966667,3
12,1h,0.021505,6.900000,46.500000,5.068359,0.971939,0.889213,4
12,6h,0.021505,6.900000,46.500000,5.068359,0.971939,0.889213,4
12,12h,0.021505,6.900000,46.500000,5.068359,0.971939,0.889213,4
12,18h,0.021505,6.900000,46.500000,5.068359,0.971939,0.889213,4
12,24h,0.021505,6.900000,46.500000,5.068359,0.971939,0.889213,4
