Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,1h,0.015706,9.031776,63.669584,0.448283,0.762681,0.606884,1,1920,459,23.906250,5033875.950000,1650059.100000,0.000000,10967.050000,3594.900000,0.000000,10967.050000,3594.900000,0.000000
1,6h,0.015455,9.340461,64.702680,0.445001,0.762681,0.606884,1,320,90,28.125000,5929785.000000,1943730.000000,0.000000,65886.500000,21597.000000,0.000000,65886.500000,21597.000000,0.000000
1,12h,0.015172,9.578028,65.912112,0.449219,0.762681,0.606884,1,160,45,28.125000,5929785.000000,1943730.000000,0.000000,131773.000000,43194.000000,0.000000,131773.000000,43194.000000,0.000000
1,18h,0.015373,9.427118,65.049281,0.445000,0.762681,0.606884,1,107,31,28.971963,6128097.050000,2008734.900000,0.000000,197680.550000,64797.900000,0.000000,197680.550000,64797.900000,0.000000
1,24h,0.015172,9.578242,65.912968,0.449219,0.762681,0.606884,1,80,24,30.000000,6325609.200000,2073477.600000,0.000000,263567.050000,86394.900000,0.000000,263567.050000,86394.900000,0.000000
2,1h,0.015767,9.036214,63.422500,0.537140,0.882299,0.803832,2,1921,458,23.841749,5018433.750000,1647101.250000,11425.781250,10957.278930,3596.290939,24.947121,10998.750000,3600.000000,2285.156250
2,6h,0.015493,9.339814,64.544808,0.523148,0.882299,0.803832,2,324,92,28.395062,5915546.950000,1940536.850000,11622.812500,64299.423370,21092.791848,126.334918,66055.350000,21598.050000,9121.042480
2,12h,0.015241,9.572035,65.613994,0.536228,0.882299,0.803832,2,164,46,28.048780,5887016.200000,1937701.100000,23532.475586,127978.613043,42123.936957,511.575556,132110.700000,43196.100000,22932.050781
2,18h,0.015402,9.400827,64.926009,0.537228,0.882299,0.803832,2,110,32,29.090909,6022279.900000,1982473.700000,24533.183594,188196.246875,61952.303125,766.661987,198166.050000,64794.150000,22731.909180
2,24h,0.015298,9.578371,65.367886,0.507152,0.882299,0.803832,2,84,24,28.571429,6341816.400000,2073577.200000,0.000000,264242.350000,86399.050000,0.000000,264242.350000,86399.050000,0.000000
3,1h,0.016180,9.020893,61.802924,0.866037,0.677404,0.806731,2,1921,447,23.269131,4945298.600000,1606851.500000,33837.890625,11063.307830,3594.746085,75.699979,11391.800000,3600.000000,1691.894531
