Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,1h,0.015706,9.031776,63.669584,0.448283,1.000000,1.000000,1,1920,459,23.906250,6600236.400000,1650059.100000,0.000000,14379.600000,3594.900000,0.000000,14379.600000,3594.900000,0.000000
1,6h,0.015455,9.340461,64.702680,0.445001,1.000000,1.000000,1,320,90,28.125000,7774920.000000,1943730.000000,0.000000,86388.000000,21597.000000,0.000000,86388.000000,21597.000000,0.000000
1,12h,0.015172,9.578028,65.912112,0.449219,1.000000,1.000000,1,160,45,28.125000,7774920.000000,1943730.000000,0.000000,172776.000000,43194.000000,0.000000,172776.000000,43194.000000,0.000000
1,18h,0.015373,9.427118,65.049281,0.445000,1.000000,1.000000,1,107,31,28.971963,8034939.600000,2008734.900000,0.000000,259191.600000,64797.900000,0.000000,259191.600000,64797.900000,0.000000
1,24h,0.015172,9.578242,65.912968,0.449219,1.000000,1.000000,1,80,24,30.000000,8293910.400000,2073477.600000,0.000000,345579.600000,86394.900000,0.000000,345579.600000,86394.900000,0.000000
2,1h,0.015698,9.036214,63.701700,0.537140,1.000000,1.000000,2,1921,458,23.841749,6588405.000000,1647101.250000,11425.781250,14385.163755,3596.290939,24.947121,14400.000000,3600.000000,2285.156250
2,6h,0.015435,9.339814,64.786473,0.523148,1.000000,1.000000,2,324,92,28.395062,7762147.400000,1940536.850000,11622.812500,84371.167391,21092.791848,126.334918,86392.200000,21598.050000,9121.042480
2,12h,0.015177,9.572035,65.888139,0.536228,1.000000,1.000000,2,164,46,28.048780,7750804.400000,1937701.100000,23532.475586,168495.747826,42123.936957,511.575556,172784.400000,43196.100000,22932.050781
2,18h,0.015337,9.400827,65.203308,0.537228,1.000000,1.000000,2,110,32,29.090909,7929894.800000,1982473.700000,24533.183594,247809.212500,61952.303125,766.661987,259176.600000,64794.150000,22731.909180
2,24h,0.015251,9.578371,65.567886,0.507152,1.000000,1.000000,2,84,24,28.571429,8294308.800000,2073577.200000,0.000000,345596.200000,86399.050000,0.000000,345596.200000,86399.050000,0.000000
3,1h,0.015727,9.020893,63.582924,0.866037,1.000000,1.000000,2,1921,447,23.269131,6427406.000000,1606851.500000,33837.890625,14378.984340,3594.746085,75.699979,14400.000000,3600.000000,1691.894531
3,6h,0.015455,9.340746,64.703790,0.872204,1.000000,1.000000,2,322,88,27.329193,7603032.000000,1900758.000000,40605.468750,86398.090909,21599.522727,461.425781,86400.000000,21600.000000,10151.367188
3,12h,0.015179,9.569699,65.878797,0.861740,1.000000,1.000000,2,162,43,26.543210,7395672.800000,1848918.200000,36544.545898,171992.390698,42998.097674,849.873160,172800.000000,43200.000000,20302.734375
3,18h,0.015296,9.444087,65.376349,0.894066,1.000000,1.000000,2,110,33,30.000000,8361991.200000,2090497.800000,68870.822754,253393.672727,63348.418182,2086.994629,259200.000000,64800.000000,30454.101562
3,24h,0.015251,9.578340,65.567768,0.860803,1.000000,1.000000,2,84,24,28.571429,8294216.000000,2073554.000000,40605.468750,345592.333333,86398.083333,1691.894531,345600.000000,86400.000000,40605.468750
4,1h,0.015719,9.026162,63.618329,4.935687,1.000000,1.000000,2,1921,460,23.945862,6619498.400000,1654874.600000,242630.859375,14390.213913,3597.553478,527.458390,14400.000000,3600.000000,1880.859375
