Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,1h,0.002264,6.900000,441.600000,0.449219,0.264040,0.297781,1
1,6h,0.002264,6.900000,441.600000,0.449219,0.264040,0.297781,1
1,12h,0.002264,6.900000,441.600000,0.449219,0.264040,0.297781,1
1,18h,0.002264,6.900000,441.600000,0.449219,0.264040,0.297781,1
1,24h,0.002264,6.900000,441.600000,0.449219,0.264040,0.297781,1
2,1h,0.002280,6.900000,438.600000,0.512695,0.632755,0.649521,2
2,6h,0.002280,6.900000,438.600000,0.512695,0.632755,0.649521,2
2,12h,0.002280,6.900000,438.600000,0.512695,0.632755,0.649521,2
2,18h,0.002280,6.900000,438.600000,0.512695,0.632755,0.649521,2
2,24h,0.002280,6.900000,438.600000,0.512695,0.632755,0.649521,2
3,1h,0.002395,6.900000,417.600000,0.825195,0.638221,0.640865,2
3,6h,0.002395,6.900000,417.600000,0.825195,0.638221,0.640865,2
3,12h,0.002395,6.900000,417.600000,0.825195,0.638221,0.640865,2
3,18h,0.002395,6.900000,417.600000,0.825195,0.638221,0.640865,2
3,24h,0.002395,6.900000,417.600000,0.825195,0.638221,0.640865,2
4,1h,0.004946,6.900000,202.200000,2.011719,0.784274,0.812248,2
4,6h,0.004946,6.900000,202.200000,2.011719,0.784274,0.812248,2
4,12h,0.004946,6.900000,202.200000,2.011719,0.784274,0.812248,2
4,18h,0.004946,6.900000,202.200000,2.011719,0.784274,0.812248,2
4,24h,0.004946,6.900000,202.200000,2.011719,0.784274,0.812248,2
5,1h,0.005981,6.900000,167.200000,4.628906,0.566964,0.575949,2
5,6h,0.005981,6.900000,167.200000,4.628906,0.566964,0.575949,2
5,12h,0.005981,6.900000,167.200000,4.628906,0.566964,0.575949,2
5,18h,0.005981,6.900000,167.200000,4.628906,0.566964,0.575949,2
5,24h,0.005981,6.900000,167.200000,4.628906,0.566964,0.575949,2
6,1h,0.002395,6.900000,417.600000,0.888672,0.758814,0.768910,3
6,6h,0.002395,6.900000,417.600000,0.888672,0.758814,0.768910,3
6,12h,0.002395,6.900000,417.600000,0.888672,0.758814,0.768910,3
6,18h,0.002395,6.900000,417.600000,0.888672,0.758814,0.768910,3
6,24h,0.002395,6.900000,417.600000,0.888672,0.758814,0.768910,3
7,1h,0.005020,6.900000,199.200000,2.075195,0.858948,0.877561,3
7,6h,0.005020,6.900000,199.200000,2.075195,0.858948,0.877561,3
7,12h,0.005020,6.900000,199.200000,2.075195,0.858948,0.877561,3
7,18h,0.005020,6.900000,199.200000,2.075195,0.858948,0.877561,3
7,24h,0.005020,6.900000,199.200000,2.075195,0.858948,0.877561,3
8,1h,0.006090,6.900000,164.200000,4.692383,0.717720,0.723329,3
8,6h,0.006090,6.900000,164.200000,4.692383,0.717720,0.723329,3
8,12h,0.006090,6.900000,164.200000,4.692383,0.717720,0.723329,3
8,18h,0.006090,6.900000,164.200000,4.692383,0.717720,0.723329,3
8,24h,0.006090,6.900000,164.200000,4.692383,0.717720,0.723329,3
9,1h,0.005612,6.900000,178.200000,2.387695,0.881173,0.889815,3
9,6h,0.005612,6.900000,178.200000,2.387695,0.881173,0.889815,3
9,12h,0.005612,6.900000,178.200000,2.387695,0.881173,0.889815,3
9,18h,0.005612,6.900000,178.200000,2.387695,0.881173,0.889815,3
9,24h,0.005612,6.900000,178.200000,2.387695,0.881173,0.889815,3
10,1h,0.006983,6.900000,143.200000,5.004883,0.773810,0.765476,3
10,6h,0.006983,6.900000,143.200000,5.004883,0.773810,0.765476,3
10,12h,0.006983,6.900000,143.200000,5.004883,0.773810,0.765476,3
10,18h,0.006983,6.900000,143.200000,5.004883,0.773810,0.765476,3
10,24h,0.006983,6.900000,143.200000,5.004883,0.773810,0.765476,3
