Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,1h,0.001963,9.031776,509.356675,0.448283,0.264040,0.297781,1,1920,459,23.906250,13941803.700000,1650059.100000,0.000000,30374.300000,3594.900000,0.000000,30374.300000,3594.900000,0.000000
1,6h,0.001932,9.340461,517.621440,0.445001,0.264040,0.297781,1,320,90,28.125000,16423110.000000,1943730.000000,0.000000,182479.000000,21597.000000,0.000000,182479.000000,21597.000000,0.000000
1,12h,0.001896,9.578028,527.296896,0.449219,0.264040,0.297781,1,160,45,28.125000,16423110.000000,1943730.000000,0.000000,364958.000000,43194.000000,0.000000,364958.000000,43194.000000,0.000000
1,18h,0.001922,9.427118,520.394246,0.445000,0.264040,0.297781,1,107,31,28.971963,16972354.300000,2008734.900000,0.000000,547495.300000,64797.900000,0.000000,547495.300000,64797.900000,0.000000
1,24h,0.001896,9.578242,527.303741,0.449219,0.264040,0.297781,1,80,24,30.000000,17519383.200000,2073477.600000,0.000000,729974.300000,86394.900000,0.000000,729974.300000,86394.900000,0.000000
2,1h,0.001979,9.036214,505.425600,0.537140,0.632755,0.649521,2,1921,458,23.841749,13877415.000000,1647101.250000,11425.781250,30300.032751,3596.290939,24.947121,30555.000000,3600.000000,2285.156250
2,6h,0.001943,9.339814,514.666802,0.523148,0.632755,0.649521,2,324,92,28.395062,16368530.200000,1940536.850000,11622.812500,177918.806522,21092.791848,126.334918,183504.600000,21598.050000,9121.042480
2,12h,0.001912,9.572035,522.992933,0.536228,0.632755,0.649521,2,164,46,28.048780,16222550.200000,1937701.100000,23532.475586,352664.134783,42123.936957,511.575556,367009.200000,43196.100000,22932.050781
2,18h,0.001932,9.400827,517.466985,0.537228,0.632755,0.649521,2,110,32,29.090909,16592712.400000,1982473.700000,24533.183594,518522.262500,61952.303125,766.661987,550513.800000,64794.150000,22731.909180
2,24h,0.001917,9.578371,521.543088,0.507152,0.632755,0.649521,2,84,24,28.571429,17617838.400000,2073577.200000,0.000000,734076.600000,86399.050000,0.000000,734076.600000,86399.050000,0.000000
3,1h,0.002075,9.020893,481.963392,0.866037,0.638221,0.640865,2,1921,447,23.269131,13721532.500000,1606851.500000,33837.890625,30696.940716,3594.746085,75.699979,31797.500000,3600.000000,1691.894531
3,6h,0.002039,9.340746,490.390320,0.872204,0.638221,0.640865,2,322,88,27.329193,16222890.000000,1900758.000000,40605.468750,184351.022727,21599.522727,461.425781,191072.500000,21600.000000,10151.367188
3,12h,0.001997,9.569699,500.697598,0.861740,0.638221,0.640865,2,162,43,26.543210,15823463.400000,1848918.200000,36544.545898,367987.520930,42998.097674,849.873160,382145.000000,43200.000000,20302.734375
3,18h,0.002022,9.444087,494.614510,0.894066,0.638221,0.640865,2,110,33,30.000000,17489610.600000,2090497.800000,68870.822754,529988.200000,63348.418182,2086.994629,573217.500000,64800.000000,30454.101562
3,24h,0.002008,9.578340,497.950144,0.860803,0.638221,0.640865,2,84,24,28.571429,17751470.000000,2073554.000000,40605.468750,739644.583333,86398.083333,1691.894531,764290.000000,86400.000000,40605.468750
4,1h,0.004311,9.030498,231.939280,2.122977,0.784274,0.812248,2,1920,450,23.437500,12909094.000000,1619465.000000,86167.968750,28686.875556,3598.811111,191.484375,65480.400000,3599.100000,453.515625
4,6h,0.004225,9.381117,236.680268,2.141600,0.784274,0.812248,2,322,91,28.260870,15443847.200000,1941155.400000,103074.218750,169712.606593,21331.378022,1132.683723,392938.800000,21599.200000,2721.484375
4,12h,0.004206,9.458820,237.773565,2.131314,0.784274,0.812248,2,163,47,28.834356,17228570.800000,1997240.700000,115584.765625,366565.336170,42494.482979,2459.250332,785934.000000,43198.500000,5443.359375
4,18h,0.004311,9.425410,231.985000,2.125815,0.784274,0.812248,2,110,33,30.000000,14453680.800000,2054776.200000,95617.968750,437990.327273,62265.945455,2897.514205,1178929.200000,64799.300000,8165.234375
4,24h,0.004391,9.483889,227.732971,2.108689,0.784274,0.812248,2,83,22,26.506024,11462003.200000,1806317.600000,75196.875000,521000.145455,82105.345455,3418.039773,1571868.000000,86397.000000,10886.718750
5,1h,0.005193,9.026162,192.552729,4.935687,0.566964,0.575949,2,1921,460,23.945862,13605010.200000,1654874.600000,242630.859375,29576.109130,3597.553478,527.458390,93600.000000,3600.000000,1880.859375
