Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,1h,0.014487,9.791556,69.025836,0.448283,0.762681,0.606884,1
1,6h,0.015233,9.476442,65.644804,0.445001,0.762681,0.606884,1
1,12h,0.015057,9.650864,66.413424,0.449219,0.762681,0.606884,1
1,18h,0.015292,9.477056,65.394031,0.445000,0.762681,0.606884,1
1,24h,0.015109,9.617778,66.185080,0.449219,0.762681,0.606884,1
2,1h,0.014774,9.638671,67.687665,0.527769,0.882299,0.803832,2
2,6h,0.015312,9.450478,65.307200,0.523148,0.882299,0.803832,2
2,12h,0.015146,9.632555,66.024968,0.536228,0.882299,0.803832,2
2,18h,0.015335,9.442900,65.212266,0.537228,0.882299,0.803832,2
2,24h,0.015245,9.612096,65.595983,0.507152,0.882299,0.803832,2
3,1h,0.015399,9.490090,64.939247,0.890555,0.677404,0.806731,2
3,6h,0.015757,9.428300,63.463830,0.872204,0.677404,0.806731,2
3,12h,0.015517,9.619744,64.444989,0.861740,0.677404,0.806731,2
3,18h,0.015695,9.481412,63.716309,0.894066,0.677404,0.806731,2
3,24h,0.015629,9.609222,63.985153,0.860803,0.677404,0.806731,2
4,1h,0.017640,9.431618,56.689301,4.935687,0.900128,0.728426,2
4,6h,0.017750,9.477198,56.338348,4.939655,0.900128,0.728426,2
4,12h,0.017589,9.717971,56.853062,5.080312,0.900128,0.728426,2
4,18h,0.017725,9.496548,56.416758,4.865895,0.900128,0.728426,2
4,24h,0.017488,9.692686,57.182437,4.963315,0.900128,0.728426,2
5,1h,0.019571,9.408705,51.095626,2.122977,0.971774,0.945565,2
5,6h,0.019694,9.418958,50.776575,2.128132,0.971774,0.945565,2
5,12h,0.019695,9.517364,50.773765,2.131314,0.971774,0.945565,2
5,18h,0.019488,9.473331,51.312928,2.125815,0.971774,0.945565,2
5,24h,0.019307,9.525971,51.795672,2.108689,0.971774,0.945565,2
6,1h,0.015611,9.471228,64.057631,0.948417,0.930769,0.871154,3
6,6h,0.015953,9.434643,62.684234,0.960702,0.930769,0.871154,3
6,12h,0.015701,9.618713,63.689446,0.932998,0.930769,0.871154,3
6,18h,0.015906,9.464081,62.868032,0.960461,0.930769,0.871154,3
6,24h,0.015825,9.609551,63.189307,0.930081,0.930769,0.871154,3
7,1h,0.017689,9.386015,56.530966,5.007153,0.932671,0.822369,3
7,6h,0.017830,9.459800,56.085713,4.974955,0.932671,0.822369,3
7,12h,0.017592,9.715915,56.844458,5.156049,0.932671,0.822369,3
7,18h,0.017573,9.611874,56.905974,5.025437,0.932671,0.822369,3
7,24h,0.017457,9.743365,57.282185,5.062762,0.932671,0.822369,3
8,1h,0.019653,9.340726,50.883345,2.193987,0.980874,0.965847,3
8,6h,0.019689,9.455013,50.789388,2.213273,0.980874,0.965847,3
8,12h,0.019635,9.512423,50.929661,2.225734,0.980874,0.965847,3
8,18h,0.019529,9.487432,51.205925,2.183752,0.980874,0.965847,3
8,24h,0.019171,9.624457,52.163342,2.175504,0.980874,0.965847,3
9,1h,0.017698,9.357598,56.503247,5.350501,0.816752,0.852284,3
9,6h,0.017800,9.464979,56.180697,5.355364,0.816752,0.852284,3
9,12h,0.017742,9.605032,56.363007,5.495378,0.816752,0.852284,3
9,18h,0.017756,9.446988,56.318437,5.255091,0.816752,0.852284,3
9,24h,0.017713,9.502881,56.457286,5.257741,0.816752,0.852284,3
10,1h,0.019723,9.286169,50.702515,2.560155,0.854167,0.983025,3
10,6h,0.019687,9.441873,50.795592,2.625473,0.854167,0.983025,3
10,12h,0.019611,9.544768,50.992682,2.570037,0.854167,0.983025,3
10,18h,0.019534,9.480072,51.192188,2.574034,0.854167,0.983025,3
10,24h,0.019544,9.472222,51.167248,2.486225,0.854167,0.983025,3
11,1h,0.019650,9.349391,50.891459,6.614602,0.970833,0.966667,3
11,6h,0.019560,9.501086,51.124527,6.615215,0.970833,0.966667,3
11,12h,0.019537,9.602199,51.185777,6.698516,0.970833,0.966667,3
11,18h,0.019330,9.646456,51.732571,6.654156,0.970833,0.966667,3
11,24h,0.019338,9.532861,51.712578,6.537814,0.970833,0.966667,3
12,1h,0.017990,9.336545,55.585913,5.416465,0.971939,0.889213,4
12,6h,0.018070,9.433261,55.340207,5.404484,0.971939,0.889213,4
12,12h,0.017980,9.608448,55.616358,5.567305,0.971939,0.889213,4
12,18h,0.017959,9.525742,55.682806,5.379376,0.971939,0.889213,4
12,24h,0.017782,9.593152,56.235088,5.416271,0.971939,0.889213,4
13,1h,0.020073,9.269450,49.817871,2.621046,1.000000,0.987269,4
13,6h,0.020000,9.463058,50.001029,2.698211,1.000000,0.987269,4
13,12h,0.019916,9.518169,50.209685,2.638769,1.000000,0.987269,4
13,18h,0.019784,9.561090,50.545509,2.643167,1.000000,0.987269,4
13,24h,0.019558,9.634614,51.130209,2.591505,1.000000,0.987269,4
14,1h,0.019716,9.300868,50.720255,6.677362,0.977564,0.977564,4
14,6h,0.019592,9.463575,51.040183,6.710446,0.977564,0.977564,4
14,12h,0.019527,9.616204,51.210017,6.773999,0.977564,0.977564,4
