Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,1h,0.016710,7.480492,59.843938,0.449219,1.000000,1.000000,1,1920,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,6h,0.017856,7.000492,56.003937,0.449219,1.000000,1.000000,1,320,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,12h,0.017979,6.952492,55.619937,0.449219,1.000000,1.000000,1,160,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,18h,0.018020,6.936592,55.492737,0.449219,1.000000,1.000000,1,107,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,24h,0.018041,6.928492,55.427937,0.449219,1.000000,1.000000,1,80,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1h,0.016976,7.363167,58.905336,0.512695,1.000000,1.000000,2,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,6h,0.017904,6.981627,55.853016,0.512695,1.000000,1.000000,2,321,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,12h,0.018003,6.943407,55.547256,0.512695,1.000000,1.000000,2,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,18h,0.018036,6.930627,55.445016,0.512695,1.000000,1.000000,2,107,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,24h,0.018052,6.924387,55.395096,0.512695,1.000000,1.000000,2,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1h,0.017248,7.247312,57.978496,0.825195,1.000000,1.000000,2,1921,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,6h,0.017948,6.964712,55.717696,0.825195,1.000000,1.000000,2,320,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,12h,0.018020,6.936632,55.493056,0.825195,1.000000,1.000000,2,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,18h,0.018045,6.927272,55.418176,0.825195,1.000000,1.000000,2,108,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,24h,0.018057,6.922532,55.380256,0.825195,1.000000,1.000000,2,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1h,0.017337,7.209929,57.679432,4.628906,1.000000,1.000000,2,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,6h,0.017882,6.990269,55.922152,4.628906,1.000000,1.000000,2,320,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,12h,0.017938,6.968429,55.747432,4.628906,1.000000,1.000000,2,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,18h,0.017957,6.960989,55.687913,4.628906,1.000000,1.000000,2,107,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,24h,0.017966,6.957449,55.659592,4.628906,1.000000,1.000000,2,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,1h,0.017384,7.190357,57.522858,2.011719,1.000000,1.000000,2,1918,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,6h,0.017946,6.965237,55.721897,2.011719,1.000000,1.000000,2,320,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,12h,0.018005,6.942677,55.541418,2.011719,1.000000,1.000000,2,160,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,18h,0.018024,6.935177,55.481417,2.011719,1.000000,1.000000,2,107,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,24h,0.018034,6.931397,55.451178,2.011719,1.000000,1.000000,2,80,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1h,0.017262,7.241227,57.929814,0.888672,1.000000,1.000000,3,1921,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
