Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,1h,0.014487,9.791556,69.025836,0.448283,1.000000,1.000000,1
1,6h,0.015233,9.476442,65.644804,0.445001,1.000000,1.000000,1
1,12h,0.015057,9.650864,66.413424,0.449219,1.000000,1.000000,1
1,18h,0.015292,9.477056,65.394031,0.445000,1.000000,1.000000,1
1,24h,0.015109,9.617778,66.185080,0.449219,1.000000,1.000000,1
2,1h,0.014717,9.638671,67.946413,0.527769,1.000000,1.000000,2
2,6h,0.015255,9.450478,65.553846,0.523148,1.000000,1.000000,2
2,12h,0.015082,9.632555,66.304329,0.536228,1.000000,1.000000,2
2,18h,0.015268,9.442900,65.494346,0.537228,1.000000,1.000000,2
2,24h,0.015198,9.612096,65.799873,0.507152,1.000000,1.000000,2
3,1h,0.014947,9.490090,66.904769,0.890555,1.000000,1.000000,2
3,6h,0.015311,9.428300,65.311505,0.872204,1.000000,1.000000,2
3,12h,0.015100,9.619744,66.225502,0.861740,1.000000,1.000000,2
3,18h,0.015236,9.481412,65.634735,0.894066,1.000000,1.000000,2
3,24h,0.015202,9.609222,65.781942,0.860803,1.000000,1.000000,2
4,1h,0.015043,9.431618,66.478060,4.935687,1.000000,1.000000,2
4,6h,0.015206,9.477198,65.762985,4.939655,1.000000,1.000000,2
4,12h,0.014982,9.717971,66.747042,5.080312,1.000000,1.000000,2
4,18h,0.015251,9.496548,65.570092,4.865895,1.000000,1.000000,2
4,24h,0.015015,9.692686,66.601979,4.963315,1.000000,1.000000,2
5,1h,0.015077,9.408705,66.324098,2.122977,1.000000,1.000000,2
5,6h,0.015299,9.418958,65.363232,2.128132,1.000000,1.000000,2
5,12h,0.015268,9.517364,65.494347,2.131314,1.000000,1.000000,2
5,18h,0.015236,9.473331,65.635954,2.125815,1.000000,1.000000,2
5,24h,0.015191,9.525971,65.830433,2.108689,1.000000,1.000000,2
6,1h,0.014979,9.471228,66.760140,0.948417,1.000000,1.000000,3
6,6h,0.015285,9.434643,65.422025,0.960702,1.000000,1.000000,3
6,12h,0.015101,9.618713,66.222000,0.932998,1.000000,1.000000,3
6,18h,0.015252,9.464081,65.566751,0.960461,1.000000,1.000000,3
6,24h,0.015201,9.609551,65.784358,0.930081,1.000000,1.000000,3
7,1h,0.015115,9.386015,66.161390,5.007153,1.000000,1.000000,3
