Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,1h,0.002089,7.480492,478.751500,0.449219,0.264040,0.297781,1
1,6h,0.002232,7.000492,448.031500,0.449219,0.264040,0.297781,1
1,12h,0.002247,6.952492,444.959500,0.449219,0.264040,0.297781,1
1,18h,0.002253,6.936592,443.941900,0.449219,0.264040,0.297781,1
1,24h,0.002255,6.928492,443.423500,0.449219,0.264040,0.297781,1
2,1h,0.002136,7.363167,468.148340,0.512695,0.632755,0.649521,2
2,6h,0.002253,6.981627,443.769380,0.512695,0.632755,0.649521,2
2,12h,0.002266,6.943407,441.326900,0.512695,0.632755,0.649521,2
2,18h,0.002270,6.930627,440.512580,0.512695,0.632755,0.649521,2
2,24h,0.002272,6.924387,440.113220,0.512695,0.632755,0.649521,2
3,1h,0.002279,7.247312,438.752034,0.825195,0.638221,0.640865,2
3,6h,0.002373,6.964712,421.335234,0.825195,0.638221,0.640865,2
3,12h,0.002383,6.936632,419.602914,0.825195,0.638221,0.640865,2
3,18h,0.002386,6.927272,419.025474,0.825195,0.638221,0.640865,2
3,24h,0.002388,6.922532,418.736514,0.825195,0.638221,0.640865,2
4,1h,0.004623,7.190357,216.298993,2.011719,0.784274,0.812248,2
4,6h,0.004873,6.965237,205.217713,2.011719,0.784274,0.812248,2
4,12h,0.004899,6.942677,204.106513,2.011719,0.784274,0.812248,2
4,18h,0.004908,6.935177,203.736132,2.011719,0.784274,0.812248,2
4,24h,0.004913,6.931397,203.550913,2.011719,0.784274,0.812248,2
5,1h,0.005659,7.209929,176.705788,4.628906,0.566964,0.575949,2
5,6h,0.005873,6.990269,170.281467,4.628906,0.566964,0.575949,2
5,12h,0.005895,6.968429,169.643068,4.628906,0.566964,0.575949,2
5,18h,0.005902,6.960989,169.422268,4.628906,0.566964,0.575949,2
5,24h,0.005906,6.957449,169.323387,4.628906,0.566964,0.575949,2
6,1h,0.002279,7.241227,438.727693,0.888672,0.758814,0.768910,3
6,6h,0.002373,6.964267,421.333453,0.888672,0.758814,0.768910,3
6,12h,0.002383,6.936727,419.603293,0.888672,0.758814,0.768910,3
6,18h,0.002386,6.927487,419.026333,0.888672,0.758814,0.768910,3
6,24h,0.002388,6.922927,418.738093,0.888672,0.758814,0.768910,3
7,1h,0.004766,7.137592,209.827672,2.075195,0.858948,0.877561,3
7,6h,0.004959,6.957052,201.639112,2.075195,0.858948,0.877561,3
7,12h,0.004980,6.938932,200.815672,2.075195,0.858948,0.877561,3
7,18h,0.004986,6.932992,200.548732,2.075195,0.858948,0.877561,3
7,24h,0.004990,6.929932,200.409592,2.075195,0.858948,0.877561,3
8,1h,0.005832,7.176364,171.463267,4.692383,0.717720,0.723329,3
8,6h,0.005991,6.985264,166.906387,4.692383,0.717720,0.723329,3
8,12h,0.006008,6.966244,166.452067,4.692383,0.717720,0.723329,3
8,18h,0.006013,6.959824,166.300147,4.692383,0.717720,0.723329,3
8,24h,0.006016,6.956584,166.220467,4.692383,0.717720,0.723329,3
9,1h,0.005410,7.090797,184.851206,2.387695,0.881173,0.889815,3
9,6h,0.005557,6.951837,179.953766,2.387695,0.881173,0.889815,3
