Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,1h,0.001811,9.791556,552.206688,0.448283,0.264040,0.297781,1,1920,459,23.906250,14011190.828613,1788833.357227,0.000000,30525.470215,3897.240430,0.000000,30525.470215,3897.240430,0.000000
1,6h,0.001904,9.476442,525.158433,0.445001,0.264040,0.297781,1,320,90,28.125000,16437242.724609,1971995.449219,0.000000,182636.030273,21911.060547,0.000000,182636.030273,21911.060547,0.000000
1,12h,0.001882,9.650864,531.307388,0.449219,0.264040,0.297781,1,160,45,28.125000,16430492.724609,1958495.449219,0.000000,365122.060547,43522.121094,0.000000,365122.060547,43522.121094,0.000000
1,18h,0.001911,9.477056,523.152245,0.445000,0.264040,0.297781,1,107,31,28.971963,16977658.185059,2019342.670117,0.000000,547666.393066,65140.086133,0.000000,547666.393066,65140.086133,0.000000
1,24h,0.001889,9.617778,529.480638,0.449219,0.264040,0.297781,1,80,24,30.000000,17523658.160156,2082027.520313,0.000000,730152.423340,86751.146680,0.000000,730152.423340,86751.146680,0.000000
2,1h,0.001853,9.638671,539.690086,0.527769,0.632755,0.649521,2,1921,458,23.841749,13932579.400635,1757430.051270,11425.781250,30420.479041,3837.183518,24.947121,30676.153564,3838.557129,2285.156250
2,6h,0.001920,9.450478,520.731085,0.523148,0.632755,0.649521,2,324,92,28.395062,16380050.899463,1963578.248926,11622.812500,178044.031516,21343.241836,126.334918,183631.527979,21851.905957,9121.042480
2,12h,0.001900,9.632555,526.244212,0.536228,0.632755,0.649521,2,164,46,28.048780,16228771.390674,1950143.481348,23532.475586,352799.378058,42394.423508,511.575556,367143.055957,43463.811914,22932.050781
2,18h,0.001924,9.442900,519.723563,0.537228,0.632755,0.649521,2,110,32,29.090909,16597278.993262,1991606.886523,24533.183594,518664.968539,62237.715204,766.661987,550654.583936,65075.717871,22731.909180
2,24h,0.001911,9.612096,523.340639,0.507152,0.632755,0.649521,2,84,24,28.571429,17621383.538672,2080667.477344,0.000000,734224.314111,86694.478223,0.000000,734224.314111,86694.478223,0.000000
3,1h,0.001977,9.490090,505.755321,0.890555,0.638221,0.640865,2,1922,459,23.881374,13849373.273608,1732933.047217,54140.625000,30172.926522,3775.453262,117.953431,31888.539575,3776.579150,1691.894531
3,6h,0.002021,9.428300,494.776918,0.872204,0.638221,0.640865,2,322,88,27.329193,16231699.891699,1918377.783398,40605.468750,184451.135133,21799.747539,461.425781,191168.746851,21962.578125,10151.367188
3,12h,0.001988,9.619744,503.096315,0.861740,0.638221,0.640865,2,162,43,26.543210,15828222.277881,1858435.955762,36544.545898,368098.192509,43219.440832,849.873160,382247.493701,43805.156250,20302.734375
3,18h,0.002015,9.481412,496.301492,0.894066,0.638221,0.640865,2,110,33,30.000000,17493875.688721,2099027.977441,68870.822754,530117.445113,63606.908407,2086.994629,573326.240552,65647.734375,30454.101562
3,24h,0.002003,9.609222,499.303695,0.860803,0.638221,0.640865,2,84,24,28.571429,17754659.866504,2079933.733008,40605.468750,739777.494438,86663.905542,1691.894531,764404.987402,87490.312500,40605.468750
4,1h,0.004030,9.408705,248.138945,2.122977,0.784274,0.812248,2,1920,450,23.437500,12942012.942383,1685302.884766,86167.968750,28760.028761,3745.117522,191.484375,65607.542871,3853.385742,453.515625
4,6h,0.004203,9.418958,237.910257,2.128132,0.784274,0.812248,2,322,88,27.329193,14149015.406934,1886549.113867,94047.265625,160784.265988,21438.058112,1068.718928,393101.663379,21923.426758,2721.484375
4,12h,0.004166,9.517364,240.035955,2.131314,0.784274,0.812248,2,163,47,28.834356,17234891.416309,2009881.932617,115584.765625,366699.817368,42763.445375,2459.250332,786139.732910,43609.965820,5443.359375
4,18h,0.004277,9.473331,233.792157,2.125815,0.784274,0.812248,2,110,33,30.000000,14458678.970508,2064772.541016,95617.968750,438141.786985,62568.864879,2897.514205,1179177.802441,65296.504883,8165.234375
4,24h,0.004362,9.525971,229.276285,2.108689,0.784274,0.812248,2,83,22,26.506024,11465810.925781,1813933.051562,75196.875000,521173.223899,82451.502344,3418.039773,1572159.465820,86979.931641,10886.718750
5,1h,0.004914,9.431618,203.520683,4.935687,0.566964,0.575949,2,1921,460,23.945862,13641966.731055,1728787.662109,242630.859375,29656.449415,3758.234048,527.458390,93712.851562,3825.703125,1880.859375
