Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,15m,0.001455,12.262938,687.204794,0.449219,0.264040,0.297781,1,51199,12737,38462,12737,24.877439,38646.459961,5987.919922,0.000000,7729.291992,1197.583984,0.000000,7729.291992,1197.583984,0.000000
1,30m,0.001663,10.730529,601.244211,0.449219,0.264040,0.297781,1,25608,6377,19231,6377,24.902374,76542.919922,10475.839844,0.000000,15308.583984,2095.167969,0.000000,15308.583984,2095.167969,0.000000
1,1h,0.001796,9.917646,556.734673,0.449219,0.264040,0.297781,1,12724,3127,9597,3127,24.575605,152627.351074,19486.202148,0.000000,30525.470215,3897.240430,0.000000,30525.470215,3897.240430,0.000000
1,2h,0.001870,9.519062,534.758212,0.449219,0.264040,0.297781,1,6345,1551,4794,1551,24.444444,304796.213379,37506.926758,0.000000,60959.242676,7501.385352,0.000000,60959.242676,7501.385352,0.000000
1,4h,0.001915,9.274312,522.323964,0.449219,0.264040,0.297781,1,3154,757,2397,757,24.001268,608842.426758,73513.853516,0.000000,121768.485352,14702.770703,0.000000,121768.485352,14702.770703,0.000000
1,8h,0.001935,9.171511,516.734169,0.449219,0.264040,0.297781,1,1576,377,1199,377,23.921320,1217226.364746,145562.229492,0.000000,243445.272949,29112.445898,0.000000,243445.272949,29112.445898,0.000000
1,12h,0.001950,9.076312,512.919804,0.449219,0.264040,0.297781,1,1043,244,799,244,23.394056,1825610.302734,217610.605469,0.000000,365122.060547,43522.121094,0.000000,365122.060547,43522.121094,0.000000
1,24h,0.001946,9.131971,513.934832,0.449219,0.264040,0.297781,1,527,127,400,127,24.098672,3650762.116699,433755.733398,0.000000,730152.423340,86751.146680,0.000000,730152.423340,86751.146680,0.000000
2,15m,0.001542,11.636489,648.344336,0.521964,0.632755,0.649521,2,51189,12737,38452,12737,24.886206,44232.214600,8609.179199,1713.867188,5529.026825,1076.147400,214.233398,7744.487842,1137.925684,571.289062
2,30m,0.001725,10.409590,579.804524,0.522523,0.632755,0.649521,2,25585,6357,19228,6357,24.846590,84131.245605,13951.991211,2285.156250,12018.749372,1993.141602,326.450893,15368.975684,2035.851367,1142.578125
