composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.306821,74.076134,0.013500,0.449219,0.000000,0.449219,0.062171,62.171200
2,2,8.830369,70.066532,0.014272,0.449219,0.063705,0.512924,0.061922,61.922400
3,2,8.350924,64.628313,0.015473,0.449219,0.377584,0.826803,0.060367,60.367200
4,2,8.084333,54.594601,0.018317,2.539062,2.100471,4.639533,0.053149,56.608600
5,2,8.084195,48.505028,0.020616,1.230469,0.785215,2.015684,0.048186,40.713000
6,3,8.324692,63.765428,0.015682,0.449219,0.441211,0.890429,0.059584,60.369600
7,3,7.947226,54.048944,0.018502,2.539062,2.164225,4.703287,0.053161,56.407800
8,3,7.868668,47.647106,0.020988,1.230469,0.848851,2.079320,0.048176,40.469000
9,3,7.845654,53.643634,0.018642,2.539062,2.478820,5.017883,0.053152,54.826800
10,3,7.669868,46.856036,0.021342,1.230469,1.162892,2.393361,0.048182,38.913000
11,3,7.768609,47.248945,0.021164,3.320312,2.885683,6.205995,0.048173,39.452000
12,4,7.819424,52.779786,0.018947,2.539062,2.542502,5.081565,0.052368,54.827600
13,4,7.643629,45.992364,0.021743,1.230469,1.226686,2.457155,0.047399,38.914600
14,4,7.631514,46.703337,0.021412,3.320312,2.949437,6.269750,0.048185,39.251200
15,4,7.530001,46.299440,0.021599,3.320312,3.263841,6.584153,0.048180,37.673400
16,5,7.503759,45.435739,0.022009,3.320312,3.327543,6.647856,0.047396,37.674200
