composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,10.215165,77.691720,0.012871,0.449219,0.000000,0.449219,0.068272,68.272000
2,2,9.690538,73.479411,0.013609,0.449219,0.066793,0.516012,0.067996,67.996000
3,2,9.159392,67.766172,0.014757,0.449219,0.394418,0.843637,0.066292,66.292000
4,2,8.827765,57.017312,0.017539,2.539062,2.202507,4.741570,0.058386,62.168000
5,2,8.847017,50.769306,0.019697,1.230469,0.822824,2.053293,0.052898,44.639600
6,3,9.131492,66.873640,0.014954,0.449219,0.461502,0.910720,0.065444,66.300800
7,3,8.676324,56.440917,0.017718,2.539062,2.269360,4.808422,0.058397,61.946000
8,3,8.610550,49.865831,0.020054,1.230469,0.889766,2.120235,0.052882,44.376800
9,3,8.560254,55.993323,0.017859,2.539062,2.600183,5.139246,0.058373,60.203800
10,3,8.390911,49.028308,0.020396,1.230469,1.219310,2.449779,0.052902,42.682600
11,3,8.456609,49.280893,0.020292,3.320312,3.024326,6.344638,0.052890,43.268600
12,4,8.531032,55.094835,0.018151,2.539062,2.667110,5.206173,0.057514,60.210400
13,4,8.361421,48.128015,0.020778,1.230469,1.286480,2.516948,0.052040,42.683600
14,4,8.305308,48.706262,0.020531,3.320312,3.090800,6.411112,0.052903,43.040000
15,4,8.192489,48.273327,0.020715,3.320312,3.421888,6.742200,0.052906,41.324200
16,5,8.160404,47.367891,0.021111,3.320312,3.487440,6.807752,0.052033,41.315200
