composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.791556,69.025836,0.014487,0.448283,0.000000,0.448283,0.020104,20.104000
2,2,9.638671,67.687665,0.014774,0.448296,0.079473,0.527769,0.020020,20.020000
3,2,9.490090,64.939247,0.015399,0.448595,0.441960,0.890555,0.019520,19.520000
4,2,9.431618,56.689301,0.017640,2.529859,2.405828,4.935687,0.017192,18.310000
5,2,9.408705,51.095626,0.019571,1.226988,0.895989,2.122977,0.015624,13.126000
6,3,9.471228,64.057631,0.015611,0.447971,0.500445,0.948417,0.019286,19.540000
7,3,9.386015,56.530966,0.017689,2.529859,2.477295,5.007153,0.017200,18.250000
8,3,9.340726,50.883345,0.019653,1.227731,0.966256,2.193987,0.015644,13.056000
9,3,9.357598,56.503247,0.017698,2.531235,2.819266,5.350501,0.017228,17.750000
10,3,9.286169,50.702515,0.019723,1.228488,1.331667,2.560155,0.015648,12.531000
11,3,9.349391,50.891459,0.019650,3.316545,3.298057,6.614602,0.015640,12.759000
12,4,9.336545,55.585913,0.017990,2.529578,2.886887,5.416465,0.016954,17.728000
13,4,9.269450,49.817871,0.020073,1.227008,1.394037,2.621046,0.015400,12.551000
14,4,9.300868,50.720255,0.019716,3.309704,3.367658,6.677362,0.015660,12.729000
15,4,9.273876,50.627975,0.019752,3.310515,3.711477,7.021992,0.015656,12.144000
16,5,9.248402,49.714997,0.020115,3.295147,3.772331,7.067478,0.015398,12.182000
