composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.236149,56.640774,0.017655,0.449219,0.000000,0.449219,0.000669,0.668800
2,2,7.231070,56.400679,0.017730,0.449219,0.063477,0.512695,0.000668,0.668000
3,2,7.225927,54.923536,0.018207,0.449219,0.384098,0.833316,0.000651,0.651200
4,2,7.223085,48.312622,0.020699,2.539062,2.144013,4.683075,0.000573,0.612800
5,2,7.223071,43.825907,0.022818,1.230469,0.798669,2.029138,0.000519,0.440400
6,3,7.225612,54.152531,0.018466,0.449219,0.458016,0.907234,0.000642,0.651200
7,3,7.221566,48.306693,0.020701,2.539062,2.208877,4.747940,0.000574,0.610400
8,3,7.220762,43.816862,0.022822,1.230469,0.862431,2.092900,0.000521,0.439600
9,3,7.220463,48.267806,0.020718,2.539062,2.541652,5.080715,0.000573,0.593800
10,3,7.218623,43.808495,0.022827,1.230469,1.182847,2.413316,0.000521,0.422800
11,3,7.219622,43.812358,0.022825,3.320312,2.937535,6.257848,0.000518,0.425600
12,4,7.220170,47.531475,0.021039,2.539062,2.604285,5.143348,0.000564,0.593800
13,4,7.218320,43.072144,0.023217,1.230469,1.254265,2.484734,0.000512,0.422800
14,4,7.218175,43.806716,0.022828,3.320312,3.002400,6.322712,0.000521,0.426400
15,4,7.208933,43.786110,0.022838,3.320312,3.320072,6.640384,0.000520,0.408800
16,5,7.216788,43.066125,0.023220,3.320312,3.386523,6.706835,0.000512,0.409600
