composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.562011,67.075700,0.014909,0.447626,0.000000,0.447626,0.010141,10.140800
2,2,9.497745,66.345307,0.015073,0.447833,0.075886,0.523720,0.010106,10.106400
3,2,9.459599,64.250930,0.015564,0.447609,0.438033,0.885643,0.009851,9.851200
4,2,9.914021,58.805693,0.017005,2.530691,2.432913,4.963604,0.008664,9.247800
5,2,9.579211,51.650835,0.019361,1.227233,0.911974,2.139207,0.007847,6.690600
6,3,9.473639,63.346411,0.015786,0.447959,0.521845,0.969804,0.009721,9.853600
7,3,9.895035,58.734097,0.017026,2.529458,2.504487,5.033945,0.008663,9.208600
8,3,9.541268,51.525698,0.019408,1.226265,0.982564,2.208829,0.007849,6.645000
9,3,9.913169,58.806035,0.017005,2.529676,2.863931,5.393607,0.008662,8.951200
10,3,9.545026,51.563250,0.019394,1.226001,1.351134,2.577135,0.007851,6.361200
11,3,10.063884,53.378395,0.018734,3.310643,3.345527,6.656170,0.007854,6.471200
12,4,9.933003,57.946530,0.017257,2.530404,2.951874,5.482278,0.008542,8.968000
13,4,9.550368,50.621621,0.019754,1.225705,1.424494,2.650199,0.007717,6.366800
14,4,10.043680,53.317492,0.018756,3.303026,3.418616,6.721642,0.007859,6.437600
15,4,10.056358,53.347567,0.018745,3.300451,3.761392,7.061843,0.007847,6.161000
16,5,10.078394,52.505903,0.019045,3.307278,3.847977,7.155255,0.007732,6.178200
