composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,8.148684,64.829106,0.015425,0.449219,0.000000,0.449219,0.031120,31.120000
2,2,7.910339,62.719482,0.015944,0.449219,0.064619,0.513838,0.030992,30.992000
3,2,7.672274,59.301774,0.016863,0.449219,0.378514,0.827733,0.030220,30.220000
4,2,7.557368,51.172999,0.019542,2.539062,2.101129,4.640191,0.026548,28.292000
5,2,7.544909,45.832591,0.021819,1.230469,0.786008,2.016477,0.024080,20.379000
6,3,7.659475,58.512850,0.017090,0.449219,0.442353,0.891572,0.029832,30.232000
7,3,7.488770,50.900152,0.019646,2.539062,2.165072,4.704134,0.026552,28.176000
8,3,7.437522,45.401525,0.022026,1.230469,0.849797,2.080266,0.024080,20.272000
9,3,7.439700,50.697118,0.019725,2.539062,2.480959,5.020022,0.026540,27.386000
10,3,7.339527,45.012104,0.022216,1.230469,1.165293,2.395762,0.024084,19.488000
11,3,7.407924,45.284733,0.022082,3.320312,2.888167,6.208479,0.024080,19.767000
12,4,7.426969,49.908569,0.020037,2.539062,2.545128,5.084190,0.026156,27.406000
13,4,7.326594,44.222791,0.022613,1.230469,1.228546,2.459015,0.023690,19.496000
14,4,7.339743,45.013199,0.022216,3.320312,2.951884,6.272196,0.024092,19.671000
15,4,7.290686,44.817777,0.022313,3.320312,3.266785,6.587098,0.024088,18.874000
16,5,7.277775,44.028627,0.022712,3.320312,3.330954,6.651266,0.023698,18.886000
