composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.110047,56.442159,0.017717,0.449219,0.000000,0.449219,0.002600,2.600000
2,2,7.090946,56.086644,0.017830,0.449219,0.063477,0.512695,0.002600,2.600000
3,2,7.073792,54.526927,0.018340,0.449219,0.375977,0.825195,0.002528,2.528000
4,2,7.100054,48.060446,0.020807,2.539062,2.123699,4.662762,0.002216,2.371000
5,2,7.074415,43.439608,0.023020,1.230469,0.789414,2.019883,0.002012,1.710000
6,3,7.073287,53.814077,0.018582,0.449219,0.439453,0.888672,0.002498,2.532000
7,3,7.094942,48.040330,0.020816,2.539062,2.188041,4.727103,0.002224,2.371000
8,3,7.066110,43.406748,0.023038,1.230469,0.853025,2.083493,0.002020,1.710000
9,3,7.093670,48.035277,0.020818,2.539062,2.508140,5.047202,0.002220,2.303000
10,3,7.060674,43.385326,0.023049,1.230469,1.166600,2.397069,0.002016,1.642000
11,3,7.102084,43.549500,0.022962,3.320312,2.904949,6.225262,0.002020,1.674000
12,4,7.093285,47.322907,0.021131,2.539062,2.571616,5.110679,0.002194,2.311000
13,4,7.060289,42.672956,0.023434,1.230469,1.230077,2.460546,0.001990,1.650000
14,4,7.096911,43.529144,0.022973,3.320312,2.969291,6.289603,0.002028,1.674000
15,4,7.095520,43.523611,0.022976,3.320312,3.289390,6.609702,0.002020,1.598000
16,5,7.095134,42.811241,0.023358,3.320312,3.352866,6.673179,0.001994,1.606000
