composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.677492,58.309968,0.017150,0.449219,0.000000,0.449219,0.002848,2.848000
2,2,7.677530,58.110119,0.017209,0.449219,0.063477,0.512695,0.002852,2.852000
3,2,7.677582,56.667130,0.017647,0.449219,0.386128,0.835347,0.002776,2.776000
4,2,7.677578,49.964710,0.020014,2.539062,2.180125,4.719188,0.002444,2.593000
5,2,7.654544,45.216254,0.022116,1.230469,0.819173,2.049642,0.002212,1.863000
6,3,7.677582,55.945530,0.017875,0.449219,0.451055,0.900273,0.002742,2.780000
7,3,7.677562,49.921481,0.020031,2.539062,2.257482,4.796545,0.002448,2.594000
8,3,7.663848,45.234861,0.022107,1.230469,0.884463,2.114932,0.002220,1.863000
9,3,7.677578,49.964710,0.020014,2.539062,2.574717,5.113779,0.002452,2.525000
10,3,7.657970,45.395900,0.022028,1.230469,1.195791,2.426260,0.002236,1.775000
11,3,7.674297,45.342158,0.022055,3.320312,2.998561,6.318873,0.002228,1.812000
12,4,7.677577,49.243110,0.020307,2.539062,2.639644,5.178706,0.002422,2.533000
13,4,7.657970,44.674300,0.022384,1.230469,1.260718,2.491186,0.002206,1.783000
14,4,7.674283,45.342129,0.022055,3.320312,3.064345,6.384657,0.002232,1.804000
15,4,7.674297,45.342158,0.022055,3.320312,3.393153,6.713465,0.002236,1.744000
16,5,7.674297,44.620557,0.022411,3.320312,3.458079,6.778392,0.002204,1.748000
