composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.000492,56.003937,0.017856,0.449219,0.000000,0.449219,0.002560,2.560000
2,2,6.981627,55.649366,0.017970,0.449219,0.063477,0.512695,0.002556,2.556000
3,2,6.964712,54.090607,0.018487,0.449219,0.375977,0.825195,0.002484,2.484000
4,2,6.990269,47.753630,0.020941,2.539062,2.089844,4.628906,0.002188,2.333000
5,2,6.965237,43.134439,0.023183,1.230469,0.781250,2.011719,0.001984,1.680000
6,3,6.964267,53.377997,0.018734,0.449219,0.439453,0.888672,0.002454,2.488000
7,3,6.985264,47.733609,0.020950,2.539062,2.153320,4.692383,0.002192,2.329000
8,3,6.957052,43.101698,0.023201,1.230469,0.844727,2.075195,0.001988,1.676000
9,3,6.984069,47.728829,0.020952,2.539062,2.465820,5.004883,0.002192,2.265000
10,3,6.951837,43.080838,0.023212,1.230469,1.157227,2.387695,0.001988,1.612000
11,3,6.992274,43.242586,0.023125,3.320312,2.871094,6.191406,0.001984,1.629000
12,4,6.983624,47.016219,0.021269,2.539062,2.529297,5.068359,0.002162,2.269000
13,4,6.951392,42.368228,0.023603,1.230469,1.220703,2.451172,0.001958,1.616000
14,4,6.987269,43.222565,0.023136,3.320312,2.934570,6.254883,0.001988,1.625000
15,4,6.986074,43.217785,0.023139,3.320312,3.247070,6.567383,0.001988,1.561000
16,5,6.985629,42.505175,0.023527,3.320312,3.310547,6.630859,0.001958,1.565000
