composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.909979,59.449884,0.016821,0.449219,0.000000,0.449219,0.001456,1.456000
2,2,7.943255,59.547366,0.016793,0.449219,0.063477,0.512695,0.001496,1.496000
3,2,7.935966,59.491352,0.016809,0.449219,0.416582,0.865801,0.001488,1.488000
4,2,7.928042,59.585884,0.016782,2.539062,2.225266,4.764328,0.001464,1.464000
5,2,7.882003,59.299683,0.016863,1.230469,0.833527,2.063996,0.001464,1.464000
6,3,7.896903,59.335000,0.016853,0.449219,0.465155,0.914374,0.001496,1.496000
7,3,7.969557,59.743682,0.016738,2.539062,2.315357,4.854420,0.001496,1.496000
8,3,7.920232,59.437855,0.016824,1.230469,0.903259,2.133728,0.001496,1.496000
9,3,7.970851,59.753199,0.016736,2.539062,2.655400,5.194463,0.001496,1.496000
10,3,7.911360,59.398066,0.016836,1.230469,1.250319,2.480788,0.001488,1.488000
11,3,7.962691,59.761301,0.016733,3.320312,3.068492,6.388805,0.001496,1.496000
12,4,7.970943,59.753945,0.016735,2.539062,2.721777,5.260840,0.001520,1.520000
13,4,7.843533,59.126658,0.016913,1.230469,1.284230,2.514699,0.001488,1.488000
14,4,7.885727,59.443744,0.016823,3.320312,3.102669,6.422981,0.001496,1.496000
15,4,7.945341,59.686299,0.016754,3.320312,3.479056,6.799369,0.001504,1.504000
16,5,7.881393,59.431126,0.016826,3.320312,3.495963,6.816276,0.001528,1.528000
