composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.302328,74.040373,0.013506,0.449219,0.000000,0.449219,0.062171,62.171200
2,2,8.825243,70.242827,0.014236,0.449219,0.063705,0.512924,0.062147,62.147200
3,2,8.342678,66.401953,0.015060,0.449219,0.377584,0.826803,0.062162,62.161600
4,2,8.038038,63.977282,0.015631,2.539062,2.100471,4.639533,0.062130,62.129600
5,2,8.064075,64.184738,0.015580,1.230469,0.785215,2.015684,0.062120,62.120000
6,3,8.315815,66.187871,0.015109,0.449219,0.441211,0.890429,0.062165,62.164800
7,3,7.900296,62.880919,0.015903,2.539062,2.164225,4.703287,0.062154,62.153600
8,3,7.847916,62.463855,0.016009,1.230469,0.848851,2.079320,0.062101,62.100800
9,3,7.795590,62.047834,0.016117,2.539062,2.478820,5.017883,0.062141,62.140800
10,3,7.645992,60.856844,0.016432,1.230469,1.162892,2.393361,0.062114,62.113600
11,3,7.706690,61.339861,0.016303,3.320312,2.885683,6.205995,0.062094,62.094400
12,4,7.768740,61.833947,0.016172,2.539062,2.542544,5.081606,0.062147,62.147200
13,4,7.619118,60.642814,0.016490,1.230469,1.226686,2.457155,0.062118,62.118400
14,4,7.568961,60.243594,0.016599,3.320312,2.949437,6.269750,0.062118,62.118400
15,4,7.464325,59.410934,0.016832,3.320312,3.263841,6.584153,0.062109,62.108800
16,5,7.437451,59.196855,0.016893,3.320312,3.327564,6.647877,0.062112,62.112000
