composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,12.208747,85.531267,0.011692,0.447350,0.000000,0.447350,0.081560,81.560000
2,2,11.585330,81.168016,0.012320,0.447373,0.074137,0.521511,0.081552,81.552000
3,2,10.957478,76.765728,0.013027,0.447549,0.442176,0.889725,0.081584,81.584000
4,2,10.606563,74.310590,0.013457,2.529392,2.427038,4.956430,0.081528,81.528000
5,2,10.614485,74.343818,0.013451,1.226042,0.910546,2.136588,0.081528,81.528000
6,3,10.912120,76.456763,0.013079,0.446658,0.514353,0.961011,0.081528,81.528000
7,3,10.427191,73.045068,0.013690,2.528803,2.500897,5.029699,0.081600,81.600000
8,3,10.331587,72.370402,0.013818,1.226366,0.988406,2.214772,0.081552,81.552000
9,3,10.298401,72.147241,0.013861,2.530501,2.876961,5.407462,0.081624,81.624000
10,3,10.074800,70.577770,0.014169,1.226721,1.348336,2.575058,0.081616,81.616000
11,3,10.202738,71.467506,0.013992,3.307846,3.349050,6.656897,0.081560,81.560000
12,4,10.265040,71.921340,0.013904,2.531432,2.950296,5.481728,0.081648,81.648000
13,4,10.036686,70.313395,0.014222,1.226451,1.418732,2.645183,0.081624,81.624000
14,4,10.017461,70.179090,0.014249,3.305992,3.420443,6.726434,0.081576,81.576000
15,4,9.893577,69.308938,0.014428,3.305596,3.786001,7.091597,0.081664,81.664000
16,5,9.861451,69.084707,0.014475,3.307470,3.869391,7.176861,0.081736,81.736000
