composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.848553,59.140582,0.016909,0.449219,0.000000,0.449219,0.000968,0.968000
2,2,7.841747,59.089736,0.016923,0.449219,0.063477,0.512695,0.000976,0.976000
3,2,7.837496,59.059071,0.016932,0.449219,0.375977,0.825195,0.000976,0.976000
4,2,7.876319,59.349953,0.016849,2.539062,2.225266,4.764328,0.000976,0.976000
5,2,7.846511,59.127714,0.016913,1.230469,0.813911,2.044380,0.000976,0.976000
6,3,7.837770,59.061269,0.016932,0.449219,0.439453,0.888672,0.000984,0.984000
7,3,7.874859,59.338973,0.016852,2.539062,2.292211,4.831274,0.000984,0.984000
8,3,7.843966,59.108314,0.016918,1.230469,0.877922,2.108391,0.000992,0.992000
9,3,7.876943,59.354048,0.016848,2.539062,2.635098,5.174160,0.000984,0.984000
10,3,7.844236,59.111092,0.016917,1.230469,1.194727,2.425195,0.000992,0.992000
11,3,7.920370,59.571616,0.016787,3.320312,3.024334,6.344646,0.001008,1.008000
12,4,7.877218,59.356246,0.016847,2.539062,2.698574,5.237637,0.000992,0.992000
13,4,7.856777,59.162595,0.016903,1.230469,1.264614,2.495083,0.001032,1.032000
14,4,7.912446,59.534540,0.016797,3.320312,3.091099,6.411412,0.001024,1.024000
15,4,8.017512,59.961544,0.016677,3.320312,3.477256,6.797568,0.001024,1.024000
16,5,7.958328,59.726146,0.016743,3.320312,3.517834,6.838147,0.001048,1.048000
